class,cg21946667,cg06128509,cg15004938,cg01062443,cg23838005
1.0,0.63326,0.0366206,0.79539,0.147728,0.361802
1.0,0.640344,0.0405046,0.722293,0.161724,0.3958
1.0,0.578636,0.0541092,0.902881,0.350574,0.500992
1.0,0.744909,0.0357399,0.753189,0.19495,0.394071
1.0,0.61134,0.0509875,0.876917,0.324803,0.578768
1.0,0.77574,0.0328317,0.800999,0.127348,0.301078
1.0,0.801878,0.0385581,0.760093,0.112234,0.411072
1.0,0.664005,0.0493077,0.803216,0.124641,0.385708
1.0,0.616595,0.0517547,0.866417,0.320933,0.525815
1.0,0.727835,0.0379228,0.81681,0.19289,0.363574
1.0,0.664468,0.0973852,0.884155,0.34482,0.591635
1.0,0.856644,0.0833443,0.846982,0.114483,0.363705
1.0,0.800532,0.0370127,0.761301,0.152833,0.376034
1.0,0.823244,0.0481331,0.772291,0.148742,0.35681
1.0,0.766109,0.0298214,0.765276,0.102262,0.353241
1.0,0.703059,0.0298185,0.77656,0.147975,0.345311
1.0,0.68509,0.0485805,0.787645,0.160903,0.3009
1.0,0.79532,0.058905,0.842849,0.13774,0.370018
1.0,0.88958,0.0481361,0.786258,0.116893,0.328213
1.0,0.688149,0.0631036,0.817153,0.221976,0.421466
1.0,0.758362,0.0307477,0.783693,0.093035,0.320965
4.0,0.727557,0.0546479,0.837716,0.213603,0.462096
4.0,0.765101,0.0290619,0.757304,0.148566,0.357925
4.0,0.665447,0.0615683,0.859537,0.306526,0.570688
4.0,0.764889,0.0551531,0.849501,0.164945,0.413573
4.0,0.753431,0.0452253,0.776192,0.133466,0.280316
4.0,0.78076,0.0297889,0.762094,0.127021,0.448321
4.0,0.725378,0.0554914,0.787227,0.212721,0.396814
4.0,0.733091,0.0539599,0.854245,0.217608,0.449362
4.0,0.756777,0.0614392,0.760487,0.133431,0.318811
4.0,0.727092,0.0373495,0.796823,0.144944,0.352929
4.0,0.731085,0.0645521,0.753665,0.142293,0.431348
4.0,0.688884,0.0650641,0.892299,0.312871,0.538524
4.0,0.757647,0.052901,0.776303,0.167559,0.316656
4.0,0.792978,0.0383182,0.801302,0.0965042,0.283739
4.0,0.651782,0.0446605,0.797593,0.243561,0.380989
4.0,0.751751,0.0457492,0.82848,0.17119,0.400691
4.0,0.69094,0.0279673,0.811818,0.0926151,0.258053
4.0,0.619306,0.0546993,0.877027,0.374487,0.630887
4.0,0.871011,0.051983,0.851968,0.143358,0.377647
4.0,0.802807,0.044764,0.80721,0.141794,0.364208
4.0,0.785883,0.0599621,0.796866,0.139035,0.288531
4.0,0.744989,0.0387892,0.844317,0.18039,0.407381
4.0,0.716985,0.0554436,0.814123,0.240672,0.422608
4.0,0.779623,0.0849553,0.796331,0.178798,0.409069
4.0,0.798362,0.0597946,0.799999,0.22283,0.355115
4.0,0.778792,0.0673224,0.76384,0.147118,0.34048
4.0,0.815287,0.0375125,0.753701,0.107134,0.285177
4.0,0.700938,0.0617414,0.859232,0.275532,0.49485
4.0,0.783262,0.0549788,0.826969,0.214851,0.409547
4.0,0.615921,0.0574584,0.840199,0.355922,0.607005
4.0,0.772248,0.0453239,0.802163,0.189239,0.356152
4.0,0.700015,0.0577634,0.846995,0.278412,0.469883
4.0,0.801624,0.0601895,0.786979,0.119448,0.270116
4.0,0.75177,0.0482934,0.737566,0.115478,0.343315
4.0,0.79342,0.0281335,0.760368,0.119932,0.311
4.0,0.751143,0.0701426,0.827258,0.250328,0.218604
4.0,0.752987,0.0425333,0.835571,0.191346,0.382435
4.0,0.645157,0.0455249,0.878528,0.405982,0.630422
4.0,0.738424,0.0703768,0.781479,0.183933,0.342874
4.0,0.639848,0.0531982,0.882375,0.342812,0.495528
4.0,0.759566,0.0398283,0.777111,0.157046,0.345803
4.0,0.897695,0.0550264,0.838282,0.119106,0.335871
4.0,0.823826,0.0373787,0.813308,0.13398,0.338981
4.0,0.748166,0.0398802,0.775213,0.110205,0.340701
4.0,0.554253,0.0496496,0.891511,0.474238,0.540767
4.0,0.750612,0.0372315,0.802327,0.0928822,0.355567
4.0,0.761989,0.0464962,0.809622,0.134204,0.386163
4.0,0.763102,0.0468986,0.765797,0.140966,0.417764
4.0,0.763768,0.0876089,0.814006,0.201083,0.368223
4.0,0.825111,0.0381992,0.816366,0.141641,0.406669
4.0,0.765297,0.0556503,0.783255,0.115254,0.276635
4.0,0.71317,0.0427599,0.767567,0.146454,0.331871
4.0,0.753386,0.0586261,0.753808,0.154602,0.309618
4.0,0.817166,0.0486573,0.817576,0.105215,0.359801
4.0,0.780827,0.0501393,0.770727,0.160603,0.315197
4.0,0.816427,0.0563003,0.843716,0.142522,0.417657
4.0,0.616374,0.0656023,0.882558,0.459292,0.588486
4.0,0.754938,0.0615378,0.809184,0.197201,0.442081
4.0,0.743464,0.0572429,0.82284,0.177541,0.397648
4.0,0.824494,0.0339579,0.76913,0.107839,0.323311
4.0,0.820538,0.0283496,0.78508,0.110083,0.293741
4.0,0.657899,0.0692022,0.847799,0.285477,0.469126
