class,cg06385324,cg03068376,cg26864230,cg09545123,cg09007236
1.0,0.0703758,0.051987,0.0770173,0.0900961,0.111234
1.0,0.0278038,0.044816,0.0501436,0.0337926,0.0549313
1.0,0.134819,0.117184,0.0735939,0.0996331,0.161387
1.0,0.0834665,0.0499083,0.0742331,0.0743618,0.0865791
1.0,0.0391682,0.0503866,0.0507138,0.0499133,0.0393967
1.0,0.0437853,0.0266565,0.0685659,0.0681827,0.0488934
1.0,0.0715195,0.0488148,0.0593641,0.0752507,0.0721466
1.0,0.0624759,0.0452625,0.0546261,0.0841831,0.117071
1.0,0.0489482,0.0374269,0.0404769,0.105499,0.0564986
1.0,0.0420876,0.0352253,0.0366508,0.0562809,0.0565087
1.0,0.06936,0.0424871,0.0757337,0.0784259,0.10304
1.0,0.0994777,0.0792511,0.0584382,0.0967767,0.204492
1.0,0.058558,0.0449356,0.0559444,0.0984173,0.0442855
1.0,0.035396,0.0333298,0.0428858,0.0577184,0.045545
1.0,0.0740205,0.0508805,0.060293,0.0679468,0.0891673
1.0,0.0424296,0.0414013,0.0462729,0.0530871,0.078444
1.0,0.0224169,0.0678048,0.285409,0.021512,0.032229
1.0,0.149951,0.138025,0.173505,0.087271,0.210073
1.0,0.0403866,0.0383398,0.0235096,0.0668769,0.0276696
1.0,0.110554,0.0360588,0.0350269,0.0719161,0.0494548
1.0,0.0524189,0.0532195,0.0554063,0.0644451,0.0432329
1.0,0.0567449,0.0488242,0.0437537,0.0200913,0.0759598
1.0,0.0820765,0.0409276,0.0512476,0.0654541,0.0750892
1.0,0.0822325,0.0707061,0.0545458,0.0803032,0.067152
1.0,0.0547683,0.0706233,0.0921642,0.0664971,0.0520633
1.0,0.0898541,0.0495522,0.0602382,0.069682,0.0779037
1.0,0.0511999,0.0323497,0.0305635,0.0536422,0.0352321
1.0,0.12186,0.0632604,0.0894409,0.0823224,0.100269
1.0,0.0857358,0.0528242,0.053327,0.0819758,0.0916103
1.0,0.149669,0.111245,0.102959,0.114928,0.143334
1.0,0.0689446,0.0319049,0.0223366,0.0440809,0.0519473
1.0,0.0982079,0.100603,0.0727805,0.0750349,0.0628628
1.0,0.0460984,0.0488732,0.0337119,0.0611165,0.0347307
1.0,0.029405,0.0349812,0.0301045,0.0361704,0.0395517
1.0,0.0345192,0.0349375,0.0194686,0.0437125,0.0475293
1.0,0.132208,0.0717562,0.117428,0.0933271,0.0727907
1.0,0.0800679,0.0603399,0.045067,0.0513006,0.118899
1.0,0.124446,0.111027,0.0682926,0.0778736,0.158904
1.0,0.106449,0.0663752,0.0942517,0.0846457,0.0856784
1.0,0.141174,0.0637101,0.0511273,0.0843596,0.168976
1.0,0.0542241,0.0396584,0.0463439,0.0397505,0.0480624
1.0,0.0454964,0.0342538,0.0205084,0.0548587,0.0310494
1.0,0.0490554,0.0491427,0.0321906,0.0801231,0.0337576
1.0,0.0222109,0.0455617,0.0401533,0.0513154,0.0422852
1.0,0.240404,0.286027,0.149176,0.266457,0.399755
1.0,0.0482385,0.0379753,0.0410753,0.0937861,0.0350795
1.0,0.082701,0.0410646,0.0559021,0.142643,0.0428
1.0,0.0619597,0.0440227,0.0645085,0.155984,0.0590567
1.0,0.073446,0.0597819,0.0851934,0.0826104,0.106667
1.0,0.0468369,0.0316482,0.0195714,0.0720936,0.0304327
1.0,0.0387585,0.0429864,0.0358885,0.0592112,0.0360572
1.0,0.0627136,0.0896492,0.0527624,0.0474904,0.0501238
1.0,0.0615943,0.0492159,0.0444486,0.0665747,0.0498969
1.0,0.0821588,0.0673385,0.0273536,0.0953082,0.0370184
1.0,0.053421,0.0565265,0.0438303,0.0577624,0.047469
1.0,0.0618322,0.0415588,0.0323024,0.061643,0.0490315
1.0,0.184696,0.0995164,0.0580942,0.107872,0.107283
1.0,0.100883,0.064772,0.0421004,0.0822879,0.113915
1.0,0.0711773,0.0509114,0.0537191,0.0708116,0.0676319
1.0,0.050389,0.0392653,0.0529135,0.0373075,0.0411214
1.0,0.0210899,0.0267058,0.0270903,0.041554,0.0342225
1.0,0.0993327,0.0654336,0.0567401,0.0699391,0.117089
1.0,0.133736,0.0781444,0.0415181,0.0925187,0.124968
1.0,0.0806103,0.0541564,0.121337,0.0632833,0.11205
1.0,0.055871,0.0389455,0.0342907,0.0799242,0.0718155
1.0,0.0503672,0.0289835,0.0765108,0.0520846,0.0691394
1.0,0.0650044,0.0519081,0.0496806,0.0629899,0.0541616
1.0,0.0558149,0.0669191,0.0427845,0.0686986,0.057548
1.0,0.0689298,0.0353241,0.0389878,0.0664373,0.0293385
1.0,0.0462079,0.0452782,0.0407908,0.0698848,0.0246378
1.0,0.0432652,0.0512939,0.0391193,0.0911352,0.078845
1.0,0.199076,0.173085,0.100315,0.056509,0.159521
1.0,0.0686462,0.0500251,0.0375734,0.0565574,0.0719258
1.0,0.084417,0.0294177,0.0509799,0.0589331,0.0478865
1.0,0.0269095,0.0844116,0.0884595,0.0461519,0.031769
1.0,0.130231,0.0947211,0.0836437,0.0975003,0.135319
