class,cg11777506,cg14337027,cg02052915,cg13017471,cg05678033
1.0,0.597191,0.550378,0.427964,0.847875,0.840226
1.0,0.795973,0.21144,0.328916,0.87765,0.463113
1.0,0.811004,0.289157,0.374988,0.928333,0.697415
1.0,0.758103,0.231626,0.314524,0.82884,0.884027
1.0,0.737601,0.337108,0.451571,0.893565,0.698376
1.0,0.707414,0.267871,0.244527,0.847199,0.771219
1.0,0.856853,0.185077,0.254756,0.860105,0.800664
1.0,0.763125,0.230489,0.339705,0.876808,0.826756
1.0,0.832841,0.290283,0.378859,0.910617,0.708161
1.0,0.823063,0.170071,0.20733,0.859651,0.669577
1.0,0.710531,0.275411,0.425953,0.928289,0.742283
1.0,0.673066,0.428715,0.262508,0.900153,0.737513
1.0,0.781122,0.213433,0.262645,0.864007,0.546644
1.0,0.809548,0.150266,0.248685,0.900578,0.526441
1.0,0.774653,0.211052,0.297809,0.858435,0.699368
1.0,0.793068,0.21685,0.316997,0.840429,0.808381
1.0,0.823077,0.259951,0.344055,0.837057,0.476871
1.0,0.774993,0.392984,0.243764,0.869689,0.686689
1.0,0.843901,0.734961,0.407933,0.896329,0.710511
1.0,0.837899,0.216612,0.28612,0.855192,0.585594
1.0,0.730604,0.324911,0.258546,0.878485,0.770857
-1.0,0.648796,0.593386,0.669405,0.847185,0.844086
-1.0,0.578232,0.585241,0.620877,0.824047,0.913884
-1.0,0.523831,0.57015,0.674576,0.831286,0.778699
-1.0,0.621194,0.569397,0.434232,0.795589,0.892003
-1.0,0.632187,0.594911,0.699119,0.815289,0.914757
-1.0,0.599432,0.609776,0.421609,0.816559,0.828577
-1.0,0.486672,0.637315,0.762132,0.833844,0.886308
-1.0,0.615896,0.619822,0.67348,0.854002,0.926318
-1.0,0.526701,0.646551,0.58562,0.834663,0.917116
-1.0,0.543111,0.529453,0.684145,0.841808,0.891459
-1.0,0.652894,0.559985,0.579512,0.82464,0.898417
-1.0,0.661394,0.527115,0.325716,0.838417,0.88618
-1.0,0.508641,0.570761,0.573914,0.832666,0.83793
-1.0,0.544757,0.459596,0.425935,0.816808,0.79625
-1.0,0.624954,0.531371,0.499095,0.824094,0.792474
-1.0,0.627292,0.551589,0.606517,0.791837,0.889045
-1.0,0.532179,0.570554,0.483274,0.842401,0.825958
-1.0,0.554756,0.507287,0.467644,0.827831,0.919811
-1.0,0.748555,0.35579,0.300753,0.837713,0.757182
-1.0,0.561635,0.613261,0.637815,0.839551,0.87376
-1.0,0.519102,0.602071,0.606233,0.820162,0.833062
-1.0,0.507486,0.536831,0.447036,0.83555,0.827459
-1.0,0.435148,0.699182,0.611864,0.838392,0.87703
