FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
102568,cg06358970,1.0,cg10104482,0.4662266671657562,cg17842912,0.4596589505672455,cg17150474,0.4478748142719269,cg12443753,0.4443499445915222,cg22093805,0.4428750276565552
242478,cg15934776,0.3340778350830078,cg22039234,0.5853488445281982,cg25354918,0.5609108209609985,cg19542849,0.4398665726184845,cg11298724,0.3838610351085663,cg26355072,0.35039764642715454
272284,cg18126442,0.20847705006599426,cg02931001,0.5510624647140503,cg00592781,0.5380322933197021,cg11229513,0.5326946973800659,cg13612083,0.5280075669288635,cg02488942,0.5174480676651001
91985,cg05630556,0.19150450825691223,cg24053748,0.3992040455341339,cg02624770,0.3940666615962982,cg14380094,0.36709535121917725,cg12766736,0.3635067343711853,cg03711485,0.3634165823459625
24382,cg01416891,0.16554181277751923,cg18217235,0.5294723510742188,cg11770080,0.47105059027671814,cg05940231,0.4691365659236908,cg03457195,0.46192389726638794,cg13223107,0.460646390914917
221,cg00010954,0.16261979937553406,cg18217235,0.46297144889831543,cg00491255,0.4615958631038666,cg01791371,0.448444128036499,cg15509361,0.42157015204429626,cg09415754,0.4187345504760742
125673,cg07824824,0.14200459420681,cg00491255,0.4453604221343994,cg03457195,0.42944401502609253,cg18217235,0.41752713918685913,cg08396985,0.41736939549446106,cg08703337,0.4134247303009033
332310,cg22827250,0.1416431963443756,cg07274716,0.6595546007156372,cg22488797,0.578650176525116,cg22637594,0.5090863108634949,cg04931256,0.4523959159851074,cg13369325,0.44770169258117676
374869,cg26037614,0.055124714970588684,cg03216529,0.4856390357017517,cg16761550,0.48437851667404175,cg20244474,0.480351060628891,cg02538199,0.48012539744377136,cg26365553,0.4791267216205597
390585,cg27133034,0.024137061089277267,cg05168229,0.4070291221141815,cg00004700,0.39176249504089355,cg21251203,0.39169958233833313,cg14327359,0.3902963399887085,cg07324245,0.39028751850128174
