class,cg03068376,cg06385324,cg26864230,cg27413732,cg19212550,cg14913676,cg20122548,cg16082606,cg09545123,cg09029902,cg17492891,cg05241830,cg14210817,cg25742745,cg08957018,cg09551996,cg00656478,cg02379079,cg01454528,cg00589181,cg06128509,cg17183362,cg07195224,cg04656009,cg20446404,cg24343720,cg06024135,cg27471901,cg08042322,cg01328621,cg13272159,cg06881421,cg07563765,cg02301292,cg13380204,cg03761979,cg16000683,cg09007236,cg22867629,cg01588475,cg03606020,cg00830526,cg02361702,cg02989768,cg15768901,cg17868994,cg10646633,cg04181864,cg11036962,cg24046411
1.0,0.051987,0.0703758,0.0770173,0.0927862,0.717041,0.0420511,0.0369549,0.060778,0.0900961,0.409438,0.041123,0.865486,0.597765,0.0987646,0.037321,0.0641064,0.888556,0.642362,0.0499328,0.883216,0.0546479,0.0758993,0.653676,0.689412,0.394018,0.71029,0.0502134,0.223242,0.488545,0.824512,0.0633379,0.73692,0.903527,0.767037,0.642347,0.0288056,0.689524,0.111234,0.789171,0.652796,0.449557,0.0410927,0.844764,0.0226368,0.277085,0.0490496,0.0269202,0.956982,0.887446,0.0418493
1.0,0.044816,0.0278038,0.0501436,0.0550817,0.753448,0.0413486,0.0197422,0.0526818,0.0337926,0.349681,0.0199349,0.867671,0.519285,0.0839074,0.0196944,0.0688847,0.882644,0.571053,0.0564452,0.825084,0.0290619,0.0809143,0.533285,0.70052,0.360579,0.671612,0.0305925,0.200186,0.526903,0.762969,0.0399535,0.689574,0.971712,0.798026,0.557046,0.0164225,0.632692,0.0549313,0.770753,0.534297,0.505596,0.0217316,0.787749,0.0260557,0.139038,0.0295216,0.0271113,0.95537,0.828308,0.0353915
1.0,0.117184,0.134819,0.0735939,0.070217,0.661163,0.043017,0.0400598,0.052072,0.0996331,0.525073,0.0372441,0.895217,0.733182,0.121149,0.033072,0.0859379,0.916032,0.672995,0.0530398,0.911482,0.0615683,0.102426,0.70469,0.821527,0.408916,0.761948,0.0388711,0.268854,0.462764,0.854133,0.0834644,0.768167,0.872103,0.79129,0.564855,0.0307993,0.795343,0.161387,0.868536,0.658689,0.534852,0.0427899,0.898487,0.0265743,0.179428,0.0601327,0.0202014,0.948899,0.91327,0.0602526
1.0,0.0499083,0.0834665,0.0742331,0.0754961,0.76746,0.033905,0.0263766,0.0555337,0.0743618,0.341181,0.0322306,0.836774,0.587514,0.117031,0.0384612,0.0765745,0.891237,0.632724,0.0557301,0.863751,0.0551531,0.0933091,0.549574,0.776586,0.38707,0.734026,0.0333845,0.219857,0.448477,0.837682,0.0645761,0.698992,0.952254,0.807561,0.698152,0.0297588,0.645489,0.0865791,0.836621,0.580523,0.544253,0.0384495,0.795489,0.031546,0.126495,0.0560178,0.0208864,0.953061,0.865065,0.0402615
1.0,0.0503866,0.0391682,0.0507138,0.0580876,0.677401,0.0429169,0.0277189,0.0413701,0.0499133,0.39829,0.0301146,0.82808,0.606473,0.139139,0.0251047,0.0663215,0.852728,0.642055,0.0551664,0.862996,0.0452253,0.0927473,0.481819,0.702571,0.394657,0.69322,0.0340614,0.245086,0.378239,0.789237,0.036542,0.6565,0.976796,0.785048,0.559789,0.021597,0.607047,0.0393967,0.833941,0.605578,0.492602,0.0283528,0.775179,0.0272639,0.29248,0.0313346,0.0222229,0.953626,0.886929,0.0491613
1.0,0.0266565,0.0437853,0.0685659,0.0752194,0.765795,0.0691371,0.0282308,0.0601317,0.0681827,0.31926,0.0279163,0.841877,0.517676,0.117192,0.0313567,0.0435711,0.854264,0.560773,0.0465232,0.830295,0.0297889,0.0725627,0.487243,0.707141,0.233694,0.672179,0.0324797,0.202877,0.4937,0.823073,0.0616993,0.677624,0.958114,0.728165,0.550572,0.0283714,0.630993,0.0488934,0.78909,0.603047,0.565703,0.0308166,0.792209,0.0252499,0.25577,0.0356881,0.0482672,0.956232,0.884307,0.0419545
1.0,0.0488148,0.0715195,0.0593641,0.063761,0.775707,0.0350236,0.0371498,0.0437624,0.0752507,0.407584,0.0397272,0.861732,0.530239,0.102236,0.0437996,0.0756039,0.886953,0.630694,0.0407996,0.873077,0.0554914,0.0917555,0.488864,0.756693,0.376226,0.691004,0.0298918,0.134078,0.591643,0.811725,0.0493819,0.706293,0.961814,0.768693,0.555436,0.0283637,0.658172,0.0721466,0.804942,0.632466,0.459671,0.0486048,0.836272,0.0215277,0.21065,0.0422396,0.0261282,0.935323,0.862817,0.036403
1.0,0.0452625,0.0624759,0.0546261,0.096428,0.710894,0.0498362,0.0326614,0.0595963,0.0841831,0.412371,0.033232,0.890639,0.624567,0.102184,0.0283623,0.0829838,0.893458,0.627534,0.061959,0.913667,0.0539599,0.104677,0.611778,0.842435,0.379752,0.729904,0.0439156,0.258737,0.44081,0.827034,0.0622627,0.734786,0.925332,0.790136,0.662679,0.0299622,0.731729,0.117071,0.841862,0.625609,0.580954,0.0642986,0.83149,0.0259672,0.156678,0.0549754,0.0289922,0.950405,0.874706,0.0406774
1.0,0.0374269,0.0489482,0.0404769,0.0681905,0.752186,0.0623514,0.0337162,0.0632779,0.105499,0.311146,0.0445659,0.822318,0.528178,0.068294,0.0337411,0.0740658,0.85461,0.581538,0.0587636,0.913251,0.0614392,0.0766549,0.381136,0.697967,0.312737,0.654271,0.0253124,0.174964,0.550644,0.794532,0.044397,0.722836,0.961833,0.758169,0.47175,0.0284945,0.602023,0.0564986,0.764584,0.594927,0.47991,0.054007,0.750145,0.0249445,0.170248,0.0421871,0.0351881,0.955181,0.855412,0.0423474
1.0,0.0352253,0.0420876,0.0366508,0.0733045,0.847795,0.043893,0.01962,0.03768,0.0562809,0.254661,0.0150213,0.858868,0.409718,0.0733581,0.013241,0.0563285,0.890301,0.527556,0.0527108,0.84017,0.0373495,0.064009,0.516524,0.678625,0.364188,0.636203,0.028451,0.201798,0.729082,0.787076,0.0380658,0.639462,0.971123,0.791053,0.362295,0.0189028,0.613266,0.0565087,0.792509,0.525214,0.425288,0.0161156,0.823607,0.0255699,0.125372,0.02776,0.0199269,0.9518,0.858691,0.0339941
1.0,0.0424871,0.06936,0.0757337,0.107161,0.80345,0.040014,0.0366033,0.0455149,0.0784259,0.303546,0.038557,0.835443,0.399242,0.0784644,0.0382472,0.0730054,0.85785,0.551411,0.0659987,0.845789,0.0645521,0.0815897,0.548955,0.756299,0.336865,0.628872,0.040131,0.191525,0.773466,0.772837,0.0412774,0.61351,0.918481,0.774972,0.419445,0.025176,0.603572,0.10304,0.85282,0.561182,0.444207,0.0356155,0.783588,0.0227024,0.203523,0.0590626,0.0209078,0.952728,0.845869,0.0421843
1.0,0.0792511,0.0994777,0.0584382,0.107307,0.689865,0.0475793,0.030681,0.0511543,0.0967767,0.387218,0.0263619,0.906039,0.515119,0.122204,0.0340509,0.0891332,0.897154,0.599634,0.0727461,0.900352,0.0650641,0.126838,0.578904,0.816107,0.478716,0.761615,0.0370624,0.245504,0.574745,0.851533,0.0618667,0.789429,0.786239,0.868013,0.430701,0.0294627,0.812741,0.204492,0.797796,0.723681,0.581326,0.0482131,0.905131,0.0231594,0.298546,0.066028,0.0223918,0.954918,0.923986,0.0469826
