class,cg05415871,cg07804728,cg06489728,cg22736354,cg13202751,cg04836492,cg13939055,cg20003638,cg00135497,cg03127558,cg14383422,cg21946667,cg02404636,cg18192222,cg13493426,cg03735012,cg05028639,cg12559685,cg02886806,cg15792367,cg04097388,cg05599106,cg11788523,cg18086664,cg18074954,cg06818047,cg01596963,cg12795947,cg16481556,cg19367176,cg09603381,cg13356175,cg26333652,cg00461685,cg10334121,cg22672359,cg02183025,cg24756378,cg22407458,cg04071270,cg19640789,cg11733430,cg10924085,cg25299750,cg25471715,cg07643912,cg00821186,cg07157058,cg10613684,cg16308533
1.0,0.80478,0.777106,0.972861,0.147435,0.290767,0.884717,0.271158,0.618983,0.639832,0.759974,0.139431,0.49948,0.0223916,0.076116,0.795641,0.146258,0.949843,0.594752,0.758782,0.429921,0.873758,0.13366,0.19364,0.0303262,0.0272539,0.850108,0.401947,0.66696,0.897038,0.933185,0.737226,0.365424,0.445302,0.581309,0.79992,0.0275088,0.297863,0.503615,0.197355,0.700577,0.921124,0.945849,0.436585,0.156559,0.662291,0.14958,0.918285,0.0218037,0.648354,0.517638
1.0,0.893383,0.810248,0.884995,0.263214,0.349366,0.877108,0.398916,0.671313,0.775147,0.929032,0.270722,0.642291,0.0338658,0.029242,0.819176,0.218401,0.86248,0.748362,0.912957,0.489563,0.903775,0.18837,0.322775,0.0393675,0.296474,0.670357,0.497884,0.748846,0.979563,0.940289,0.896683,0.352124,0.585577,0.822602,0.880968,0.0334795,0.347581,0.629705,0.324794,0.751677,0.986732,0.923962,0.954179,0.252833,0.600083,0.219708,0.892579,0.191324,0.859965,0.536185
1.0,0.796579,0.805156,0.976287,0.254818,0.3783,0.845342,0.435409,0.642499,0.736325,0.911605,0.321491,0.655624,0.0290735,0.0624866,0.848299,0.354245,0.951072,0.703115,0.828745,0.430852,0.87678,0.156189,0.277543,0.0279862,0.125011,0.833164,0.462709,0.776148,0.975799,0.900123,0.878436,0.344371,0.514632,0.703251,0.781059,0.0417026,0.341559,0.528732,0.256889,0.719992,0.983733,0.918384,0.925792,0.189291,0.556818,0.244241,0.834558,0.0198075,0.747901,0.658738
1.0,0.829237,0.867013,0.974267,0.301044,0.369433,0.852757,0.434402,0.717618,0.670962,0.907354,0.307726,0.70113,0.0279771,0.0252413,0.846454,0.375306,0.953295,0.750362,0.832605,0.366855,0.277215,0.130803,0.331205,0.0258429,0.277729,0.911676,0.473852,0.661653,0.971962,0.889305,0.899651,0.334704,0.598386,0.651077,0.827263,0.0318236,0.341951,0.682311,0.333377,0.777599,0.986288,0.93917,0.912757,0.287462,0.567228,0.327925,0.881067,0.0209789,0.710126,0.641768
1.0,0.938527,0.875315,0.973721,0.268259,0.399342,0.87027,0.52328,0.748015,0.79442,0.922322,0.447738,0.758744,0.0294624,0.0342073,0.900572,0.4692,0.945127,0.860307,0.888731,0.394946,0.292485,0.116731,0.300135,0.0281655,0.12817,0.915629,0.510048,0.704248,0.976566,0.878477,0.891956,0.26907,0.560308,0.725538,0.879679,0.0335535,0.398519,0.654707,0.430998,0.739146,0.965031,0.935059,0.91371,0.377889,0.553563,0.345758,0.898166,0.0221101,0.793759,0.842723
1.0,0.893996,0.833262,0.968977,0.290828,0.374426,0.849164,0.381008,0.685532,0.665298,0.861187,0.466896,0.651947,0.034616,0.030745,0.844958,0.539266,0.823458,0.680924,0.893856,0.391356,0.898102,0.108225,0.325473,0.0312151,0.208287,0.836293,0.481182,0.679073,0.97728,0.957278,0.878834,0.277623,0.619218,0.629601,0.764017,0.043517,0.457807,0.557773,0.354295,0.768924,0.981521,0.918274,0.917659,0.292625,0.514225,0.310361,0.825276,0.0256059,0.767954,0.599477
1.0,0.952152,0.900171,0.913929,0.274922,0.339104,0.282457,0.41577,0.705589,0.771847,0.903647,0.317287,0.700095,0.220045,0.111493,0.818501,0.428537,0.949414,0.744269,0.844022,0.412567,0.286288,0.124749,0.240702,0.0349422,0.0420642,0.816279,0.449643,0.694337,0.962093,0.386561,0.868964,0.26698,0.580212,0.715278,0.840151,0.024113,0.415451,0.526621,0.315346,0.806163,0.987352,0.946635,0.42888,0.217436,0.528127,0.288806,0.525693,0.022338,0.702195,0.650981
1.0,0.860574,0.886825,0.976348,0.258752,0.454867,0.878177,0.387533,0.702941,0.768727,0.733691,0.404634,0.700326,0.0272643,0.0202646,0.731843,0.425336,0.895177,0.668656,0.821832,0.419294,0.871786,0.122687,0.281544,0.0420828,0.0694541,0.832539,0.473321,0.706951,0.97819,0.930163,0.902292,0.313336,0.532903,0.68706,0.867749,0.0270565,0.401554,0.701834,0.225054,0.739173,0.923233,0.921318,0.927864,0.189132,0.560837,0.309625,0.896897,0.0283149,0.807012,0.57982
1.0,0.680104,0.853847,0.968486,0.291348,0.41966,0.873387,0.330104,0.753031,0.839786,0.921631,0.436383,0.759985,0.0280166,0.0392113,0.812499,0.423594,0.880432,0.85667,0.761612,0.378938,0.273687,0.0889159,0.325152,0.0326232,0.14085,0.810851,0.474686,0.645484,0.978541,0.872219,0.857482,0.264986,0.522501,0.70536,0.755422,0.0439801,0.430078,0.583705,0.34288,0.779578,0.970781,0.914804,0.449017,0.295609,0.532985,0.409974,0.887131,0.0156702,0.69411,0.682008
1.0,0.907231,0.893701,0.969392,0.283936,0.401741,0.886091,0.361141,0.754593,0.855712,0.924537,0.423329,0.783699,0.0177768,0.0348597,0.881511,0.491859,0.890364,0.832506,0.900529,0.341883,0.892668,0.100188,0.310856,0.032216,0.179335,0.852536,0.530935,0.779236,0.9748,0.922346,0.93669,0.227472,0.609525,0.722044,0.824022,0.0280822,0.451547,0.786491,0.262638,0.771557,0.986805,0.935703,0.915201,0.159626,0.475394,0.11688,0.901775,0.0197399,0.830465,0.819557
