FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
182122,cg11777506,1.0,69872,0.7610189914703369,220025,0.743888258934021,44955,0.7295533418655396,57948,0.7270429730415344,284731,0.7224413752555847
220025,cg14337027,0.9911180138587952,323946,0.9108848571777344,48193,0.9003454446792603,284731,0.8777084350585938,251240,0.8774294853210449,381538,0.8733394742012024
34755,cg02052915,0.4522113800048828,155544,0.9173903465270996,75650,0.9008523225784302,190369,0.8999629020690918,298407,0.8983345627784729,218205,0.8673653602600098
117173,cg07263322,0.23701909184455872,312074,0.7168713808059692,79794,0.706609845161438,128871,0.694460928440094,220025,0.6926496624946594,331927,0.6878266334533691
198761,cg13017471,0.18866781890392303,320678,0.7812034487724304,302290,0.7763844728469849,236499,0.757957935333252,191001,0.7527797222137451,40230,0.7443172335624695
92728,cg05678033,0.1852525919675827,58561,0.7113588452339172,229966,0.6703407764434814,12784,0.6342412233352661,103970,0.6105861663818359,273253,0.6093220710754395
52902,cg03151469,0.18208558857440948,48014,0.6943161487579346,40034,0.6907700300216675,93220,0.6734288930892944,30513,0.6561071276664734,77623,0.6529355645179749
130081,cg08121954,0.13984811305999756,323547,0.7315796613693237,273253,0.71210777759552,276804,0.7063950300216675,47506,0.7059130668640137,50875,0.6941924095153809
35076,cg02069243,0.1108505055308342,8521,0.7732979655265808,266665,0.7687090635299683,236499,0.7631163597106934,213218,0.7607409954071045,83185,0.7586264610290527
243355,cg16001135,0.10932455956935883,259141,0.6501283645629883,212479,0.635757565498352,66880,0.6296141743659973,352143,0.6229086518287659,282555,0.6188969016075134
280417,cg18731546,0.08948343247175217,175037,0.7019258737564087,80927,0.6793773770332336,286399,0.6778644323348999,302665,0.6651566624641418,380062,0.6598570942878723
101633,cg06289444,0.07568949460983276,134383,0.6473444700241089,63610,0.6410260200500488,101471,0.6379508376121521,220715,0.6361652612686157,302501,0.6256936192512512
264954,cg17560338,0.06183595955371857,233031,0.559948205947876,357433,0.5563687086105347,3705,0.5359369516372681,121911,0.5352867245674133,94454,0.5217309594154358
180662,cg11675098,0.05775900557637215,367247,0.6415830850601196,282355,0.6143125891685486,182122,0.6030210256576538,276056,0.6003483533859253,336650,0.598453938961029
114297,cg07090424,0.057260897010564804,138004,0.5687916874885559,67933,0.5663287043571472,18616,0.5500166416168213,121151,0.5436557531356812,34309,0.535362184047699
339515,cg23345340,0.05386526510119438,138096,0.6050867438316345,140895,0.6037546396255493,359843,0.6014510989189148,365191,0.6001412868499756,89432,0.5681636333465576
323547,cg22117637,0.05248279497027397,178413,0.741085410118103,45083,0.7341384887695312,44453,0.7339781522750854,130081,0.7315796613693237,91665,0.7297107577323914
363684,cg25148025,0.050576090812683105,77623,0.7918206453323364,262111,0.7836664915084839,214721,0.7669107913970947,128720,0.7636862993240356,127682,0.7546714544296265
84837,cg05162320,0.0478089302778244,190369,0.6577705144882202,298407,0.642163872718811,271008,0.638554573059082,194815,0.6278511881828308,218205,0.6230330467224121
389233,cg27038382,0.04345797002315521,39413,0.73288494348526,362209,0.7094060182571411,116813,0.7022328972816467,176629,0.7009010314941406,175037,0.6907965540885925
21678,cg01248426,0.0429338775575161,110937,0.6839644312858582,324655,0.681757390499115,300131,0.6802064776420593,355333,0.6619608402252197,246565,0.6556345820426941
164111,cg10461878,0.04157911613583565,232266,0.7371374368667603,317859,0.7201191186904907,396614,0.7061598300933838,182122,0.6871919631958008,382725,0.6870799660682678
152366,cg09641127,0.03782368823885918,187518,0.6526522636413574,146097,0.6512657999992371,373083,0.6365300416946411,217641,0.6359592080116272,245226,0.6225761771202087
313207,cg21253742,0.031052308157086372,237205,0.6321655511856079,273253,0.6200737953186035,133168,0.6147684454917908,44224,0.6143027544021606,343068,0.6035716533660889
145839,cg09191574,0.029551252722740173,79132,0.6335169672966003,347485,0.6115445494651794,12597,0.6053084135055542,166707,0.6016587018966675,194767,0.5998561382293701
245628,cg16174681,0.021238503977656364,266873,0.6826199889183044,184327,0.674079954624176,10041,0.6365138292312622,77623,0.6361173391342163,343922,0.6334416270256042
311224,cg21128569,0.017226403579115868,125292,0.7826389074325562,86290,0.7518249750137329,200533,0.7512948513031006,287930,0.7475017309188843,190369,0.7043683528900146
367871,cg25477497,0.010368864051997662,143448,0.7829182744026184,92008,0.7689590454101562,266554,0.7388229966163635,109723,0.7115711569786072,94703,0.6937115788459778
347849,cg23982212,0.006217485293745995,118329,0.6508904695510864,266896,0.6275700330734253,10091,0.6232956647872925,104860,0.620116651058197,256264,0.6085898876190186
126078,cg07851948,0.0014963926514610648,176072,0.598649263381958,68130,0.5825604200363159,397126,0.5777182579040527,105393,0.572166919708252,362458,0.5693830847740173
