class,cg21051964,cg15256305,cg00590036,cg17590135,cg04875128,cg10584587,cg05453358,cg03127558,cg01953615,cg03735012,cg03545227,cg20002958,cg00135497,cg07804728,cg14710459,cg03354992,cg15896098,cg14527097,cg08874430,cg12559685,cg23935300,cg02983451,cg26168643,cg15544650,cg07871971,cg08926713,cg03760191,cg18752716,cg21610439,cg10899301,cg08128680,cg26935102,cg13590117,cg14800351,cg09180512,cg27101452,cg26154534,cg15668967,cg14426312,cg01717881,cg22407458,cg03329165,cg02118635,cg26889367,cg05115468,cg19640789,cg11552078,cg23018039,cg19722847,cg11199182
1.0,0.8773,0.116447,0.101338,0.961918,0.201264,0.819037,0.917958,0.921154,0.749526,0.347914,0.155073,0.870345,0.644755,0.802142,0.801212,0.123509,0.0177035,0.819485,0.0118749,0.691721,0.91354,0.287072,0.525229,0.099936,0.710834,0.782734,0.834049,0.885103,0.811575,0.128432,0.0745653,0.474023,0.813142,0.471406,0.984228,0.950925,0.261936,0.868514,0.107706,0.957102,0.359907,0.0363761,0.021768,0.13133,0.0288192,0.96652,0.19212,0.932901,0.107192,0.911481
1.0,0.872593,0.12578,0.154425,0.963411,0.386283,0.890593,0.897336,0.872952,0.745203,0.358986,0.174749,0.841997,0.700624,0.880792,0.822716,0.188309,0.213125,0.890245,0.0134403,0.646684,0.922807,0.286633,0.514966,0.037041,0.683729,0.653982,0.756144,0.869083,0.882836,0.135123,0.0160303,0.480082,0.930261,0.49374,0.984327,0.973144,0.130619,0.840427,0.178095,0.96533,0.366933,0.067947,0.0162136,0.0192829,0.0366641,0.977499,0.373328,0.92286,0.0920058,0.898984
1.0,0.937992,0.172886,0.118038,0.965015,0.0482444,0.939017,0.820114,0.916477,0.699464,0.127589,0.125575,0.900457,0.976158,0.890489,0.882261,0.0650135,0.0105794,0.691451,0.00687234,0.709591,0.924525,0.156721,0.559964,0.0669926,0.734916,0.570938,0.746795,0.899306,0.780545,0.0677665,0.0117609,0.367622,0.965932,0.555601,0.986382,0.986126,0.170506,0.238623,0.0763089,0.954104,0.321797,0.0238386,0.0154773,0.0109606,0.0194781,0.988568,0.229888,0.95245,0.048768,0.941871
1.0,0.929291,0.108932,0.132875,0.964196,0.296457,0.932285,0.884231,0.940686,0.740472,0.293041,0.167993,0.88099,0.738817,0.928504,0.621459,0.130511,0.0154955,0.904083,0.00819201,0.824751,0.929889,0.344323,0.596429,0.042741,0.876567,0.815918,0.827785,0.0955012,0.851962,0.141707,0.014445,0.487083,0.950286,0.495437,0.986361,0.961391,0.31012,0.894284,0.0697072,0.138182,0.419081,0.023867,0.0172801,0.0244853,0.022859,0.986226,0.182187,0.94783,0.122565,0.607574
1.0,0.922791,0.0962084,0.167987,0.948355,0.0405235,0.970457,0.734654,0.849019,0.729707,-0.016541,0.151773,0.89589,0.876853,0.905896,0.832222,0.0567523,0.00770364,0.918905,0.00860344,0.749583,0.919048,0.0128535,0.590673,-0.0040437,0.835032,0.682915,0.680073,0.887325,0.771714,0.104262,0.00997556,0.44616,0.949226,0.558771,0.983854,0.975043,0.11129,0.26346,0.117224,0.966637,0.198455,0.0234342,0.015669,0.0151366,0.022186,0.986691,0.245995,0.948613,0.0820281,0.910372
1.0,0.881663,0.220221,0.121143,0.96881,0.318482,0.969717,0.826249,0.903561,0.767996,0.419265,0.17611,0.840689,0.711512,0.838443,0.55792,0.129654,0.0127285,0.811215,0.00888548,0.840076,0.922001,0.376481,0.555729,0.0895242,0.83862,0.73136,0.809479,0.892286,0.844141,0.12056,0.0196994,0.482102,0.914572,0.482905,0.980111,0.974826,0.212191,0.859931,0.0881695,0.954699,0.35451,0.0275107,0.0214262,0.0270305,0.0152636,0.985687,0.21356,0.947129,0.0927529,0.925381
1.0,0.943771,0.602732,0.108125,0.427235,0.508536,0.969474,0.951056,0.93982,0.78446,0.58413,0.23712,0.870219,0.858613,0.916394,0.805961,0.297368,0.0170731,0.889478,0.0107567,0.855104,0.913955,0.664157,0.783986,0.0480563,0.844501,0.857585,0.926439,0.886896,0.874075,0.140663,0.0117719,0.51456,0.948674,0.636174,0.981731,0.970854,0.0920158,0.889876,0.130073,0.971342,0.552036,0.0345925,0.0180157,0.0144236,0.0215967,0.986002,0.26052,0.934647,0.109482,0.922486
1.0,0.791055,0.338473,0.12922,0.433566,0.393289,0.935254,0.942308,0.90952,0.768462,0.384761,0.221297,0.875922,0.700197,0.922654,0.853565,0.104106,0.0110924,0.871006,0.0115617,0.642494,0.912303,0.304877,0.735251,0.0268258,0.693165,0.791347,0.821009,0.905296,0.837022,0.137647,0.011796,0.460961,0.949845,0.484607,0.981653,0.96092,0.0645216,0.836372,0.105734,0.960499,0.459534,0.0371893,0.0216899,0.0174361,0.023495,0.978851,0.275766,0.930981,0.102391,0.926813
1.0,0.941638,0.263457,0.195027,0.425575,0.161918,0.96472,0.727048,0.923182,0.722,0.231215,0.16612,0.87244,0.84904,0.91822,0.655697,0.131417,0.013791,0.890592,0.0109078,0.694957,0.892241,0.194087,0.557512,0.0881705,0.783484,0.745573,0.74955,0.888607,0.796822,0.129087,0.0157419,0.366377,0.937414,0.575797,0.984047,0.981637,0.20857,0.828723,0.102434,0.944102,0.339785,0.0345366,0.0220098,0.0172703,0.0220589,0.985809,0.173366,0.952097,0.0835622,0.924741
1.0,0.812753,0.326107,0.135218,0.96877,0.339232,0.934143,0.926897,0.932777,0.788071,0.360034,0.182736,0.815445,0.695008,0.876589,0.85573,0.139986,0.0157723,0.922335,0.0130027,0.79338,0.923899,0.280265,0.592026,0.122648,0.798976,0.783352,0.832232,0.874562,0.866744,0.147769,0.0358254,0.447248,0.905665,0.501964,0.985558,0.973879,0.177814,0.862942,0.0825767,0.963896,0.454107,0.0332219,0.0267171,0.0505172,0.0242273,0.984876,0.195387,0.935246,0.118485,0.9153
