class,cg03068376,cg06385324,cg27413732,cg26864230,cg19212550,cg20122548,cg14913676,cg05241830,cg16082606,cg09029902,cg17492891,cg08957018,cg01454528,cg14210817,cg04656009,cg09545123,cg27471901,cg09551996,cg00656478,cg01328621,cg25742745,cg00589181,cg20446404,cg06128509,cg02379079,cg03606020,cg07195224,cg17183362,cg07563765,cg02301292,cg26817972,cg13380204,cg15768901,cg08042322,cg24046411,cg05634428,cg17868994,cg03761979,cg08327690,cg06475503,cg06024135,cg10646633,cg22867629,cg06881421,cg01406536,cg02989768,cg02361702,cg24343720,cg03235119,cg09007236,cg09910856,cg13272159,cg15719025,cg20958098,cg11036962,cg10178628,cg00830526,cg04181864,cg00567536,cg23479892,cg19483011,cg24659854,cg15209921,cg01117788,cg07093324,cg05835416,cg00128877,cg03799378,cg15004938,cg18835596
1.0,0.051987,0.0703758,0.0927862,0.0770173,0.717041,0.0369549,0.0420511,0.865486,0.060778,0.409438,0.041123,0.037321,0.0499328,0.597765,0.689412,0.0900961,0.223242,0.0641064,0.888556,0.824512,0.0987646,0.883216,0.394018,0.0546479,0.642362,0.449557,0.653676,0.0758993,0.903527,0.767037,0.898112,0.642347,0.277085,0.488545,0.0418493,0.5884,0.0490496,0.0288056,0.0491475,0.948738,0.0502134,0.0269202,0.789171,0.73692,0.0340684,0.0226368,0.844764,0.71029,0.0620611,0.111234,0.869593,0.0633379,0.0858949,0.897843,0.887446,0.562807,0.0410927,0.956982,0.025192,0.0159547,0.87553,0.115458,0.852701,0.961884,0.417869,0.568356,0.0876803,0.89951,0.837716,0.86225
1.0,0.044816,0.0278038,0.0550817,0.0501436,0.753448,0.0197422,0.0413486,0.867671,0.0526818,0.349681,0.0199349,0.0196944,0.0564452,0.519285,0.70052,0.0337926,0.200186,0.0688847,0.882644,0.762969,0.0839074,0.825084,0.360579,0.0290619,0.571053,0.505596,0.533285,0.0809143,0.971712,0.798026,0.900282,0.557046,0.139038,0.526903,0.0353915,0.651869,0.0295216,0.0164225,0.0734925,0.94737,0.0305925,0.0271113,0.770753,0.689574,0.0204049,0.0260557,0.787749,0.671612,0.0165489,0.0549313,0.887065,0.0399535,0.0868041,0.838535,0.828308,0.505941,0.0217316,0.95537,0.0220264,0.0215052,0.829351,0.0947486,0.900012,0.966119,0.185496,0.65042,0.058853,0.877967,0.757304,0.864096
1.0,0.117184,0.134819,0.070217,0.0735939,0.661163,0.0400598,0.043017,0.895217,0.052072,0.525073,0.0372441,0.033072,0.0530398,0.733182,0.821527,0.0996331,0.268854,0.0859379,0.916032,0.854133,0.121149,0.911482,0.408916,0.0615683,0.672995,0.534852,0.70469,0.102426,0.872103,0.79129,0.912364,0.564855,0.179428,0.462764,0.0602526,0.678036,0.0601327,0.0307993,0.0300074,0.935294,0.0388711,0.0202014,0.868536,0.768167,0.035698,0.0265743,0.898487,0.761948,0.0595164,0.161387,0.903646,0.0834644,0.0974531,0.880609,0.91327,0.619591,0.0427899,0.948899,0.0297275,0.0281839,0.91335,0.0895306,0.913948,0.97086,0.394436,0.630449,0.0978952,0.942528,0.859537,0.880745
1.0,0.0499083,0.0834665,0.0754961,0.0742331,0.76746,0.0263766,0.033905,0.836774,0.0555337,0.341181,0.0322306,0.0384612,0.0557301,0.587514,0.776586,0.0743618,0.219857,0.0765745,0.891237,0.837682,0.117031,0.863751,0.38707,0.0551531,0.632724,0.544253,0.549574,0.0933091,0.952254,0.807561,0.890808,0.698152,0.126495,0.448477,0.0402615,0.665359,0.0560178,0.0297588,0.0466629,0.944378,0.0333845,0.0208864,0.836621,0.698992,0.0469546,0.031546,0.795489,0.734026,0.0206151,0.0865791,0.889543,0.0645761,0.0681508,0.831599,0.865065,0.547003,0.0384495,0.953061,0.0263096,0.022742,0.870165,0.113665,0.875614,0.972906,0.2689,0.61354,0.0878901,0.901597,0.849501,0.82843
1.0,0.0503866,0.0391682,0.0580876,0.0507138,0.677401,0.0277189,0.0429169,0.82808,0.0413701,0.39829,0.0301146,0.0251047,0.0551664,0.606473,0.702571,0.0499133,0.245086,0.0663215,0.852728,0.789237,0.139139,0.862996,0.394657,0.0452253,0.642055,0.492602,0.481819,0.0927473,0.976796,0.785048,0.85845,0.559789,0.29248,0.378239,0.0491613,0.608592,0.0313346,0.021597,0.296055,0.932258,0.0340614,0.0222229,0.833941,0.6565,0.028979,0.0272639,0.775179,0.69322,0.0307933,0.0393967,0.881235,0.036542,0.109375,0.850727,0.886929,0.530997,0.0283528,0.953626,0.025287,0.0211807,0.873819,0.112555,0.858897,0.967485,0.440613,0.49339,0.0502819,0.903082,0.776192,0.775611
1.0,0.0266565,0.0437853,0.0752194,0.0685659,0.765795,0.0282308,0.0691371,0.841877,0.0601317,0.31926,0.0279163,0.0313567,0.0465232,0.517676,0.707141,0.0681827,0.202877,0.0435711,0.854264,0.823073,0.117192,0.830295,0.233694,0.0297889,0.560773,0.565703,0.487243,0.0725627,0.958114,0.728165,0.881348,0.550572,0.25577,0.4937,0.0419545,0.663685,0.0356881,0.0283714,0.130931,0.941508,0.0324797,0.0482672,0.78909,0.677624,0.0330427,0.0252499,0.792209,0.672179,0.0843976,0.0488934,0.900599,0.0616993,0.0694137,0.793517,0.884307,0.470608,0.0308166,0.956232,0.0216969,0.0145972,0.844062,0.0998898,0.89345,0.966083,0.402495,0.628751,0.100657,0.89194,0.762094,0.844784
1.0,0.0488148,0.0715195,0.063761,0.0593641,0.775707,0.0371498,0.0350236,0.861732,0.0437624,0.407584,0.0397272,0.0437996,0.0407996,0.530239,0.756693,0.0752507,0.134078,0.0756039,0.886953,0.811725,0.102236,0.873077,0.376226,0.0554914,0.630694,0.459671,0.488864,0.0917555,0.961814,0.768693,0.876469,0.555436,0.21065,0.591643,0.036403,0.507533,0.0422396,0.0283637,0.11924,0.948668,0.0298918,0.0261282,0.804942,0.706293,0.03913,0.0215277,0.836272,0.691004,0.0540393,0.0721466,0.888798,0.0493819,0.0838071,0.831713,0.862817,0.557625,0.0486048,0.935323,0.0214672,0.0185507,0.883252,0.164597,0.891708,0.955314,0.20028,0.616677,0.106052,0.892194,0.787227,0.885662
1.0,0.0452625,0.0624759,0.096428,0.0546261,0.710894,0.0326614,0.0498362,0.890639,0.0595963,0.412371,0.033232,0.0283623,0.061959,0.624567,0.842435,0.0841831,0.258737,0.0829838,0.893458,0.827034,0.102184,0.913667,0.379752,0.0539599,0.627534,0.580954,0.611778,0.104677,0.925332,0.790136,0.884873,0.662679,0.156678,0.44081,0.0406774,0.663161,0.0549754,0.0299622,0.091204,0.944512,0.0439156,0.0289922,0.841862,0.734786,0.0568839,0.0259672,0.83149,0.729904,0.0761363,0.117071,0.902802,0.0622627,0.0866398,0.888429,0.874706,0.576465,0.0642986,0.950405,0.0229206,0.0176929,0.843053,0.111337,0.890432,0.964049,0.303701,0.615487,0.105534,0.903667,0.854245,0.871595
1.0,0.0374269,0.0489482,0.0681905,0.0404769,0.752186,0.0337162,0.0623514,0.822318,0.0632779,0.311146,0.0445659,0.0337411,0.0587636,0.528178,0.697967,0.105499,0.174964,0.0740658,0.85461,0.794532,0.068294,0.913251,0.312737,0.0614392,0.581538,0.47991,0.381136,0.0766549,0.961833,0.758169,0.89068,0.47175,0.170248,0.550644,0.0423474,0.597071,0.0421871,0.0284945,0.0208483,0.940601,0.0253124,0.0351881,0.764584,0.722836,0.0367684,0.0249445,0.750145,0.654271,0.0580287,0.0564986,0.879336,0.044397,0.0888189,0.860747,0.855412,0.503867,0.054007,0.955181,0.0222689,0.0174414,0.809661,0.111314,0.882166,0.962908,0.22799,0.564759,0.0912945,0.879877,0.760487,0.829048
1.0,0.0352253,0.0420876,0.0733045,0.0366508,0.847795,0.01962,0.043893,0.858868,0.03768,0.254661,0.0150213,0.013241,0.0527108,0.409718,0.678625,0.0562809,0.201798,0.0563285,0.890301,0.787076,0.0733581,0.84017,0.364188,0.0373495,0.527556,0.425288,0.516524,0.064009,0.971123,0.791053,0.853353,0.362295,0.125372,0.729082,0.0339941,0.660327,0.02776,0.0189028,0.0429434,0.952127,0.028451,0.0199269,0.792509,0.639462,0.0205241,0.0255699,0.823607,0.636203,0.0224176,0.0565087,0.881125,0.0380658,0.0207531,0.833077,0.858691,0.524883,0.0161156,0.9518,0.0210099,0.0163155,0.821438,0.069016,0.872222,0.973363,0.23385,0.63712,0.0506642,0.881867,0.796823,0.81065
