class,cg03068376,cg06385324,cg27413732,cg19212550,cg26864230,cg20122548,cg05241830,cg27471901,cg14913676,cg04656009,cg08957018,cg01328621,cg08327690,cg03606020,cg09029902,cg06475503,cg17492891,cg05634428,cg16082606,cg26817972,cg01454528,cg09551996,cg00656478,cg14210817,cg00589181,cg15768901,cg03071134,cg24046411,cg13380204,cg07563765,cg03235119,cg23479892,cg17868994,cg02301292,cg01406536,cg09545123,cg20446404,cg03761979,cg25742745,cg26469955,cg00235657,cg17183362,cg08042322,cg15209921,cg06128509,cg02720618,cg09636293,cg03799378,cg00567536,cg14107978,cg22643080,cg10646633,cg27451521,cg22867629,cg02379079,cg15719025,cg24659854,cg19410609,cg18835596,cg07195224,cg10178628,cg24756213,cg25983288,cg10535919,cg09384183,cg07093324,cg20958098,cg15094912,cg05071493,cg14193825,cg05501817,cg13120955,cg27190839,cg06881421,cg19483011,cg05835416,cg06535115,cg00595787,cg08581745,cg17751153,cg10490745,cg06024135,cg08368934,cg02361702,cg19205064,cg00128877,cg21948655,cg02989768,cg01751320,cg01117788,cg09910856,cg08277259,cg00106432,cg00830526,cg24054683,cg08054046,cg05745622,cg01833196,cg09007236,cg02754084
1.0,0.051987,0.0703758,0.0927862,0.717041,0.0770173,0.0369549,0.865486,0.223242,0.0420511,0.689412,0.037321,0.824512,0.0491475,0.449557,0.409438,0.948738,0.041123,0.5884,0.060778,0.898112,0.0499328,0.0641064,0.888556,0.597765,0.883216,0.277085,0.788862,0.0418493,0.642347,0.903527,0.0620611,0.0159547,0.0490496,0.767037,0.0340684,0.0900961,0.394018,0.0288056,0.0987646,0.931696,0.889475,0.0758993,0.488545,0.852701,0.0546479,0.127574,0.0423356,0.89951,0.025192,0.0355555,0.0550136,0.0269202,0.880986,0.789171,0.642362,0.0858949,0.115458,0.847636,0.86225,0.653676,0.562807,0.793498,0.951846,0.0343371,0.899723,0.417869,0.897843,0.0326662,0.896391,0.903303,0.0412846,0.907624,0.794277,0.73692,0.87553,0.568356,0.0319795,0.914915,0.896415,0.818778,0.0555549,0.0502134,0.796076,0.844764,0.700719,0.0876803,0.872785,0.0226368,0.873296,0.961884,0.869593,0.87948,0.893188,0.0410927,0.956789,0.0191288,0.973954,0.046968,0.111234,0.436045
1.0,0.044816,0.0278038,0.0550817,0.753448,0.0501436,0.0197422,0.867671,0.200186,0.0413486,0.70052,0.0196944,0.762969,0.0734925,0.505596,0.349681,0.94737,0.0199349,0.651869,0.0526818,0.900282,0.0564452,0.0688847,0.882644,0.519285,0.825084,0.139038,0.852751,0.0353915,0.557046,0.971712,0.0165489,0.0215052,0.0295216,0.798026,0.0204049,0.0337926,0.360579,0.0164225,0.0839074,0.942854,0.869944,0.0809143,0.526903,0.900012,0.0290619,0.0668814,0.0489027,0.877967,0.0220264,0.0476183,0.050326,0.0271113,0.874708,0.770753,0.571053,0.0868041,0.0947486,0.854765,0.864096,0.533285,0.505941,0.806886,0.964551,0.0415929,0.891407,0.185496,0.838535,0.0275855,0.878125,0.90403,0.0322896,0.874295,0.860357,0.689574,0.829351,0.65042,0.0324882,0.889708,0.875099,0.816893,0.0397477,0.0305925,0.812087,0.787749,0.6981,0.058853,0.901691,0.0260557,0.876383,0.966119,0.887065,0.876313,0.858681,0.0217316,0.962873,0.0172471,0.9726,0.0381514,0.0549313,0.425961
1.0,0.117184,0.134819,0.070217,0.661163,0.0735939,0.0400598,0.895217,0.268854,0.043017,0.821527,0.033072,0.854133,0.0300074,0.534852,0.525073,0.935294,0.0372441,0.678036,0.052072,0.912364,0.0530398,0.0859379,0.916032,0.733182,0.911482,0.179428,0.815904,0.0602526,0.564855,0.872103,0.0595164,0.0281839,0.0601327,0.79129,0.035698,0.0996331,0.408916,0.0307993,0.121149,0.940251,0.93737,0.102426,0.462764,0.913948,0.0615683,0.0599613,0.056715,0.942528,0.0297275,0.044075,0.0480349,0.0202014,0.884781,0.868536,0.672995,0.0974531,0.0895306,0.866293,0.880745,0.70469,0.619591,0.885264,0.963562,0.0463793,0.902054,0.394436,0.880609,0.0296029,0.914878,0.820609,0.0516897,0.924961,0.897098,0.768167,0.91335,0.630449,0.0345291,0.958407,0.90857,0.82085,0.0744713,0.0388711,0.780242,0.898487,0.739743,0.0978952,0.914011,0.0265743,0.883709,0.97086,0.903646,0.937546,0.901281,0.0427899,0.956716,0.0169811,0.966582,0.0847194,0.161387,0.553717
1.0,0.0499083,0.0834665,0.0754961,0.76746,0.0742331,0.0263766,0.836774,0.219857,0.033905,0.776586,0.0384612,0.837682,0.0466629,0.544253,0.341181,0.944378,0.0322306,0.665359,0.0555337,0.890808,0.0557301,0.0765745,0.891237,0.587514,0.863751,0.126495,0.792764,0.0402615,0.698152,0.952254,0.0206151,0.022742,0.0560178,0.807561,0.0469546,0.0743618,0.38707,0.0297588,0.117031,0.927215,0.908599,0.0933091,0.448477,0.875614,0.0551531,0.108036,0.0514306,0.901597,0.0263096,0.045958,0.0400572,0.0208864,0.854337,0.836621,0.632724,0.0681508,0.113665,0.849228,0.82843,0.549574,0.547003,0.813569,0.961434,0.0431001,0.879253,0.2689,0.831599,0.0309692,0.914378,0.902984,0.0577701,0.910035,0.889126,0.698992,0.870165,0.61354,0.0339954,0.906303,0.904585,0.857037,0.0620344,0.0333845,0.823083,0.795489,0.73613,0.0878901,0.892735,0.031546,0.87266,0.972906,0.889543,0.911137,0.885576,0.0384495,0.958988,0.0175646,0.967992,0.0719297,0.0865791,0.373944
1.0,0.0503866,0.0391682,0.0580876,0.677401,0.0507138,0.0277189,0.82808,0.245086,0.0429169,0.702571,0.0251047,0.789237,0.296055,0.492602,0.39829,0.932258,0.0301146,0.608592,0.0413701,0.85845,0.0551664,0.0663215,0.852728,0.606473,0.862996,0.29248,0.656564,0.0491613,0.559789,0.976796,0.0307933,0.0211807,0.0313346,0.785048,0.028979,0.0499133,0.394657,0.021597,0.139139,0.925088,0.855979,0.0927473,0.378239,0.858897,0.0452253,0.142442,0.0563547,0.903082,0.025287,0.0322176,0.0544484,0.0222229,0.851266,0.833941,0.642055,0.109375,0.112555,0.824342,0.775611,0.481819,0.530997,0.758067,0.956047,0.0410342,0.874753,0.440613,0.850727,0.0319289,0.885749,0.922118,0.0353068,0.896481,0.737326,0.6565,0.873819,0.49339,0.0408273,0.896969,0.896684,0.841785,0.0368041,0.0340614,0.774397,0.775179,0.69504,0.0502819,0.882962,0.0272639,0.84609,0.967485,0.881235,0.870804,0.866751,0.0283528,0.952022,0.022863,0.973191,0.0634458,0.0393967,0.396753
1.0,0.0266565,0.0437853,0.0752194,0.765795,0.0685659,0.0282308,0.841877,0.202877,0.0691371,0.707141,0.0313567,0.823073,0.130931,0.565703,0.31926,0.941508,0.0279163,0.663685,0.0601317,0.881348,0.0465232,0.0435711,0.854264,0.517676,0.830295,0.25577,0.801382,0.0419545,0.550572,0.958114,0.0843976,0.0145972,0.0356881,0.728165,0.0330427,0.0681827,0.233694,0.0283714,0.117192,0.932864,0.913203,0.0725627,0.4937,0.89345,0.0297889,0.0635406,0.0376092,0.89194,0.0216969,0.041364,0.054376,0.0482672,0.884201,0.78909,0.560773,0.0694137,0.0998898,0.809729,0.844784,0.487243,0.470608,0.837184,0.968205,0.0285824,0.863113,0.402495,0.793517,0.0337777,0.902735,0.905264,0.0272337,0.863852,0.771469,0.677624,0.844062,0.628751,0.0338063,0.906436,0.900121,0.822286,0.0413582,0.0324797,0.779201,0.792209,0.690138,0.100657,0.882387,0.0252499,0.853795,0.966083,0.900599,0.865126,0.863482,0.0308166,0.960647,0.0157525,0.973517,0.0478375,0.0488934,0.248502
1.0,0.0488148,0.0715195,0.063761,0.775707,0.0593641,0.0371498,0.861732,0.134078,0.0350236,0.756693,0.0437996,0.811725,0.11924,0.459671,0.407584,0.948668,0.0397272,0.507533,0.0437624,0.876469,0.0407996,0.0756039,0.886953,0.530239,0.873077,0.21065,0.345788,0.036403,0.555436,0.961814,0.0540393,0.0185507,0.0422396,0.768693,0.03913,0.0752507,0.376226,0.0283637,0.102236,0.943415,0.916115,0.0917555,0.591643,0.891708,0.0554914,0.041944,0.0404219,0.892194,0.0214672,0.0376769,0.0400709,0.0261282,0.882676,0.804942,0.630694,0.0838071,0.164597,0.841024,0.885662,0.488864,0.557625,0.782061,0.964341,0.0305048,0.889373,0.20028,0.831713,0.0392923,0.917404,0.92384,0.0539764,0.912836,0.809687,0.706293,0.883252,0.616677,0.03563,0.915806,0.883281,0.837725,0.05309,0.0298918,0.809654,0.836272,0.678779,0.106052,0.891741,0.0215277,0.899335,0.955314,0.888798,0.882328,0.895639,0.0486048,0.967594,0.0173955,0.972385,0.0418559,0.0721466,0.421388
1.0,0.0452625,0.0624759,0.096428,0.710894,0.0546261,0.0326614,0.890639,0.258737,0.0498362,0.842435,0.0283623,0.827034,0.091204,0.580954,0.412371,0.944512,0.033232,0.663161,0.0595963,0.884873,0.061959,0.0829838,0.893458,0.624567,0.913667,0.156678,0.814887,0.0406774,0.662679,0.925332,0.0761363,0.0176929,0.0549754,0.790136,0.0568839,0.0841831,0.379752,0.0299622,0.102184,0.931358,0.910413,0.104677,0.44081,0.890432,0.0539599,0.112474,0.0415222,0.903667,0.0229206,0.0374969,0.0455274,0.0289922,0.860558,0.841862,0.627534,0.0866398,0.111337,0.858383,0.871595,0.611778,0.576465,0.787719,0.958064,0.0365969,0.887922,0.303701,0.888429,0.0309934,0.918087,0.884466,0.062395,0.922563,0.802772,0.734786,0.843053,0.615487,0.0363156,0.896052,0.90109,0.848167,0.0431108,0.0439156,0.816895,0.83149,0.7167,0.105534,0.877841,0.0259672,0.902372,0.964049,0.902802,0.911891,0.919546,0.0642986,0.952057,0.0157078,0.967673,0.05522,0.117071,0.372484
1.0,0.0374269,0.0489482,0.0681905,0.752186,0.0404769,0.0337162,0.822318,0.174964,0.0623514,0.697967,0.0337411,0.794532,0.0208483,0.47991,0.311146,0.940601,0.0445659,0.597071,0.0632779,0.89068,0.0587636,0.0740658,0.85461,0.528178,0.913251,0.170248,0.719206,0.0423474,0.47175,0.961833,0.0580287,0.0174414,0.0421871,0.758169,0.0367684,0.105499,0.312737,0.0284945,0.068294,0.922845,0.878677,0.0766549,0.550644,0.882166,0.0614392,0.0611429,0.0463425,0.879877,0.0222689,0.0327526,0.0538846,0.0351881,0.84846,0.764584,0.581538,0.0888189,0.111314,0.768921,0.829048,0.381136,0.503867,0.803306,0.959203,0.0335449,0.856118,0.22799,0.860747,0.0423787,0.899464,0.886652,0.0512124,0.880363,0.79354,0.722836,0.809661,0.564759,0.0292621,0.903437,0.899414,0.830672,0.0508306,0.0253124,0.799314,0.750145,0.644043,0.0912945,0.87716,0.0249445,0.888419,0.962908,0.879336,0.848658,0.901285,0.054007,0.948702,0.0179703,0.960982,0.0436668,0.0564986,0.305803
1.0,0.0352253,0.0420876,0.0733045,0.847795,0.0366508,0.01962,0.858868,0.201798,0.043893,0.678625,0.013241,0.787076,0.0429434,0.425288,0.254661,0.952127,0.0150213,0.660327,0.03768,0.853353,0.0527108,0.0563285,0.890301,0.409718,0.84017,0.125372,0.439715,0.0339941,0.362295,0.971123,0.0224176,0.0163155,0.02776,0.791053,0.0205241,0.0562809,0.364188,0.0189028,0.0733581,0.916523,0.880912,0.064009,0.729082,0.872222,0.0373495,0.0412804,0.04531,0.881867,0.0210099,0.0357767,0.0487912,0.0199269,0.868065,0.792509,0.527556,0.0207531,0.069016,0.785277,0.81065,0.516524,0.524883,0.791302,0.960381,0.0323867,0.86774,0.23385,0.833077,0.0251256,0.87167,0.8989,0.0326666,0.848668,0.882911,0.639462,0.821438,0.63712,0.0265988,0.86922,0.867622,0.805851,0.0378181,0.028451,0.783797,0.823607,0.690034,0.0506642,0.894271,0.0255699,0.856479,0.973363,0.881125,0.87634,0.866236,0.0161156,0.953273,0.0129655,0.975548,0.0304649,0.0565087,0.4148
