class,cg20716209,cg17590135,cg27413732,cg07804728,cg21051964,cg04500632,cg19212550,cg27009008,cg01338084,cg26864230,cg23018039,cg05415871,cg24046864,cg25141069,cg22407458,cg21946667,cg10334121,cg10462643,cg21948655,cg10678486,cg11693709,cg17492891,cg23099959,cg08957018,cg26996201,cg05714219,cg13590117,cg26916609,cg12624829,cg05835416,cg27349795,cg06475503,cg02061431,cg21149764,cg02515103,cg05115468,cg14332346,cg02000145,cg19722347,cg12698628,cg14862260,cg11323483,cg23843090,cg22052948,cg06359059,cg26154534,cg03760191,cg11851429,cg04875128,cg14363146,cg05634428,cg25986322,cg11354603,cg04704634,cg20416129,cg24800175,cg22641350,cg13969273,cg20488820,cg07676859,cg05482498,cg01248426,cg23386807,cg22850234,cg14640772,cg17371436,cg04992576,cg08185095,cg09278980,cg05497345,cg15094912,cg20578893,cg01970427,cg18764516,cg23008404,cg10599951,cg01914455,cg00656478,cg05241830,cg27627006,cg19958866,cg00855396,cg12309938,cg13956443,cg19747632,cg08642716,cg19640789,cg06997008,cg08118581,cg07871971,cg11826324,cg12161132,cg02825728,cg08327690,cg25699073,cg26333652,cg22498143,cg13027556,cg22541336,cg12559685,cg01918222,cg10150615,cg00985564,cg26362488,cg26435172,cg10788213,cg21200382,cg11784305,cg11969637,cg18020955,cg10510478,cg22209441,cg01060282,cg05419984,cg17527563,cg03087607,cg23009962,cg04164023,cg16803707,cg21492137,cg05293407,cg22313322,cg05212836,cg15004938,cg02558362,cg06804311,cg16052570,cg19998533,cg21126573,cg27237541,cg12938320,cg13619623,cg17836114,cg19570702,cg26484108,cg14527097,cg07850477,cg17208530,cg21398280,cg02157083,cg12775613,cg05070626,cg26820845,cg23460843,cg09545123,cg22510376,cg22447839,cg24492374,cg22008551,cg16288872,cg20002958,cg04058144,cg13652536,cg05303208,cg00949670,cg15879426,cg14992768,cg23944920,cg24691656,cg08390760,cg06941312,cg10584042,cg02255700
1.0,0.0316082,0.961918,0.0898217,0.802142,0.8773,0.886985,0.826376,0.0111334,0.221554,0.0506816,0.932901,0.929554,0.829591,0.0189767,0.359907,0.63326,0.72322,0.741594,0.855413,0.0272319,0.7419,0.0135691,0.874303,0.0181807,0.081454,0.031027,0.813142,0.957478,0.0227912,0.702796,0.0290026,0.947726,0.0665054,0.938926,0.023339,0.0288192,0.661222,0.0312649,0.892259,0.437357,0.861039,0.880953,0.890593,0.257691,0.025685,0.261936,0.834049,0.00952819,0.201264,0.0188659,0.442994,0.765749,0.499543,0.817264,0.899495,0.0371178,0.927986,0.0312571,0.127832,0.418401,0.108625,0.679077,0.0785379,0.0319784,0.0848345,0.0335714,0.827526,0.690978,0.0662257,0.0932267,0.0313907,0.941726,0.906574,0.0266269,0.763981,0.914232,0.0364551,0.865587,0.826368,0.268461,0.0256535,0.914523,0.816929,0.867539,0.039254,0.808098,0.96652,0.907725,0.878008,0.710834,0.687319,0.941256,0.666374,0.0176618,0.820385,0.476551,0.0390106,0.885025,0.919643,0.691721,0.595603,0.0391438,0.896981,0.0216124,0.556804,0.962944,0.110314,0.0389899,0.720268,0.323569,0.910491,0.722656,0.895038,0.0724875,0.748946,0.144442,0.977156,0.852355,0.0259523,0.812881,0.0416838,0.0399473,0.0395265,0.79539,0.432692,0.97811,0.827426,0.55383,0.0140655,0.618488,0.79028,0.89018,0.0415255,0.94602,0.788358,0.819485,0.037393,0.781906,0.961107,0.785852,0.940117,0.0630876,0.0658416,0.0245454,0.0433068,0.00933868,0.0388407,0.0141205,0.658492,0.931597,0.870345,0.0208544,0.840703,0.263403,0.0278458,0.967596,0.753209,0.861616,0.0449459,0.0467686,0.050039,0.0566734,0.0668665
1.0,0.0461886,0.963411,0.0433151,0.880792,0.872593,0.882984,0.895316,0.0427761,0.0290103,0.0392374,0.92286,0.760213,0.868989,0.0134706,0.366933,0.640344,0.911858,0.767902,0.879631,0.0429706,0.770947,0.045765,0.849386,0.0364705,0.0167076,0.0276394,0.930261,0.84704,0.0217636,0.557288,0.0300123,0.955155,0.0771683,0.917707,0.0360484,0.0366641,0.0100819,0.0269467,0.902476,0.0562105,0.962491,0.89231,0.864526,0.370722,0.0298758,0.130619,0.756144,0.0162951,0.386283,0.0314156,0.578913,0.840809,0.482752,0.805837,0.866773,0.0353494,0.834716,0.0218995,0.167016,0.490595,0.31832,0.64887,0.0145308,0.0235299,0.0696907,0.0356678,0.808306,0.368935,0.12487,0.122872,0.0374154,0.92068,0.795016,0.0292081,0.906501,0.896415,0.0280582,0.855986,0.837817,0.478943,0.021985,0.870984,0.87483,0.9018,0.0400893,0.81165,0.977499,0.901955,0.809189,0.683729,0.693077,0.968101,0.758204,0.0463797,0.869542,0.633344,0.0382174,0.910382,0.924449,0.646684,0.591106,0.0542177,0.93693,0.0202959,0.539153,0.962834,0.059989,0.0223141,0.83194,0.262267,0.95358,0.736071,0.878603,0.0915186,0.928763,0.250779,0.978985,0.978325,0.0353167,0.799945,0.0523552,0.0450749,0.036941,0.722293,0.226331,0.978283,0.829224,0.479697,0.0184366,0.735781,0.899345,0.902798,0.0410835,0.933587,0.831043,0.890245,0.0351544,0.811971,0.807547,0.806244,0.946767,0.0594023,0.0675641,0.0229443,0.105958,0.0354521,0.0547524,0.0105334,0.577182,0.952641,0.841997,0.0179049,0.81011,0.219544,0.0309332,0.955375,0.832608,0.763167,0.0689477,0.023153,0.0610443,0.0743583,0.128342
1.0,0.0170434,0.965015,0.0532857,0.890489,0.937992,0.919301,0.593908,0.00750825,0.0192965,0.0309581,0.95245,0.958989,0.959297,0.0181119,0.321797,0.578636,0.911978,0.914235,0.933391,0.0395063,0.849386,0.0236659,0.872137,0.0234467,0.0114183,0.0254054,0.965932,0.955168,0.0143642,0.495706,0.0243486,0.932202,0.0538848,0.939952,0.0322376,0.0194781,0.0305205,0.0173788,0.916908,0.0762522,0.891545,0.911716,0.926153,0.181173,0.0185904,0.170506,0.746795,0.0275454,0.0482444,0.011484,0.703121,0.880459,0.248386,0.846909,0.903975,0.0400297,0.957571,0.0223842,0.0711841,0.0535312,0.255588,0.696679,0.0109706,0.0258605,0.0848268,0.0277825,0.865807,0.287015,0.15877,0.161269,0.0237609,0.90445,0.924998,0.0239101,0.88628,0.938796,0.028672,0.944788,0.912546,0.417468,0.0158689,0.932584,0.78083,0.916757,0.044269,0.891932,0.988568,0.928158,0.905473,0.734916,0.828886,0.976434,0.833936,0.018639,0.795641,0.270494,0.0322854,0.942337,0.920127,0.709591,0.593995,0.082415,0.942465,0.0136884,0.613502,0.969601,0.122805,0.0503658,0.771775,0.286466,0.969066,0.777565,0.925844,0.0723816,0.93832,0.280708,0.980711,0.975862,0.0362342,0.903468,0.0590539,0.052408,0.0397149,0.902881,0.333995,0.982349,0.869603,0.638739,0.0150079,0.777569,0.934514,0.90041,0.0335286,0.950318,0.75603,0.691451,0.0436041,0.834631,0.971053,0.785685,0.934267,0.0894363,0.067893,0.0162723,0.0677998,0.027683,0.0303126,0.135671,0.641845,0.947874,0.900457,0.0198976,0.84633,0.166467,0.0201737,0.971755,0.86438,0.849681,0.0366068,0.0114748,0.0588269,0.0807801,0.0868923
1.0,0.0734553,0.964196,0.0574692,0.928504,0.929291,0.890394,0.816224,0.00861912,0.0200918,0.0266182,0.94783,0.897023,0.87217,0.0147177,0.419081,0.744909,0.875065,0.844987,0.909624,0.0457052,0.749147,0.0156021,0.914137,0.0208136,0.0411036,0.0183331,0.950286,0.960644,0.0269674,0.658062,0.0260304,0.952968,0.048924,0.930514,0.0188557,0.022859,0.568754,0.0361095,0.894717,0.0584637,0.936657,0.904401,0.873429,0.357044,0.0307435,0.31012,0.827785,0.00432946,0.296457,0.0143529,0.642741,0.804282,0.64543,0.837474,0.874528,0.0590287,0.938571,0.0227881,0.152618,0.384418,0.115613,0.639902,0.0169663,0.0198926,0.0970257,0.0307206,0.841267,0.498593,0.128758,0.117768,0.0250049,0.931272,0.948566,0.0188803,0.898995,0.923341,0.0460446,0.835839,0.859749,0.342367,0.022969,0.908222,0.856267,0.910657,0.0358196,0.840074,0.986226,0.91246,0.824734,0.876567,0.723546,0.959173,0.654159,0.0843238,0.914638,0.381543,0.0420498,0.905945,0.908493,0.824751,0.519663,0.0444379,0.907641,0.0247188,0.577184,0.972787,0.0603833,0.0281328,0.719217,0.321493,0.965494,0.728563,0.901072,0.0645492,0.920037,0.186074,0.983274,0.947688,0.0275923,0.879882,0.0369722,0.0322592,0.0288596,0.753189,0.267368,0.983335,0.819825,0.5551,0.0142424,0.651982,0.915706,0.879342,0.0397135,0.95055,0.790833,0.904083,0.0397865,0.775112,0.966531,0.756129,0.95583,0.0562639,0.0561008,0.0330678,0.0353678,0.0193433,0.0192667,0.0110993,0.618653,0.938123,0.88099,0.0165886,0.830343,0.237668,0.0217103,0.974022,0.753614,0.875841,0.0222842,0.0391898,0.0739237,0.0475562,0.0569753
1.0,0.023073,0.948355,0.0708839,0.905896,0.922791,0.88348,0.6123,0.00759234,0.017089,0.0448133,0.948613,0.958354,0.88281,0.0160365,0.198455,0.61134,0.892854,0.902291,0.9059,0.0430107,0.765074,0.0307597,0.907272,0.0338011,0.0285494,0.0283947,0.949226,0.95466,0.0196133,0.58453,0.0223737,0.947895,0.0426663,0.923244,0.0283731,0.022186,0.00509298,0.0424127,0.936637,0.143854,0.880321,0.901364,0.917549,0.163824,0.0146537,0.11129,0.680073,0.0183872,0.0405235,0.0170412,0.652997,0.896491,0.27228,0.82574,0.901507,0.250887,0.948731,0.0208297,0.0913049,0.0817264,0.194963,0.703403,0.0142494,0.0218906,0.121819,0.0244045,0.849907,0.164149,0.173108,0.125444,0.030267,0.904319,0.890376,0.0181414,0.909799,0.932681,0.0298129,0.929772,0.884845,0.43956,0.0175216,0.929769,0.865123,0.927635,0.0642124,0.836145,0.986691,0.905267,0.877806,0.835032,0.858524,0.974853,0.833896,0.0247579,0.741957,0.124747,0.0162082,0.908566,0.910957,0.749583,0.660979,0.0660072,0.919788,0.0189158,0.632791,0.966772,0.167414,0.031333,0.669583,0.215791,0.956008,0.803676,0.887058,0.0610361,0.934992,0.311773,0.977992,0.950039,0.0439716,0.894953,0.0543665,0.0378658,0.0237048,0.876917,0.419765,0.982847,0.886915,0.652054,0.0125256,0.762548,0.942723,0.858897,0.0296716,0.941199,0.820057,0.918905,0.0342821,0.802433,0.913294,0.767917,0.932448,0.143691,0.108109,0.0165253,0.0875084,0.0128116,0.0297847,0.00640207,0.604641,0.950275,0.89589,0.0219156,0.822861,0.197682,0.031403,0.965709,0.832964,0.903365,0.0578461,0.0149649,0.0464611,0.0459665,0.113279
1.0,0.0268748,0.96881,0.0534961,0.838443,0.881663,0.916632,0.856484,0.00913162,0.0206511,0.029503,0.947129,0.955009,0.86381,0.0158325,0.35451,0.77574,0.883488,0.77627,0.855991,0.0330349,0.703459,0.0166463,0.885786,0.0174322,0.0275957,0.0453314,0.914572,0.816304,0.0187959,0.604349,0.0350175,0.945315,0.0774532,0.926095,0.028262,0.0152636,0.00737639,0.0266127,0.909682,0.0691227,0.915895,0.90975,0.869509,0.416989,0.0241358,0.212191,0.809479,0.0111249,0.318482,0.0151733,0.49334,0.751977,0.640473,0.823735,0.89104,0.207162,0.962699,0.0216156,0.0966073,0.573629,0.223045,0.662585,0.0268936,0.029658,0.100281,0.0333466,0.848651,0.517611,0.124428,0.103761,0.0265952,0.934124,0.928788,0.0240243,0.84776,0.924718,0.0318633,0.870461,0.85084,0.33261,0.0238262,0.908407,0.819467,0.864352,0.0343452,0.80892,0.985687,0.916366,0.892338,0.83862,0.707625,0.963815,0.722539,0.050035,0.778137,0.560764,0.132206,0.89848,0.870089,0.840076,0.525683,0.0293319,0.89653,0.0203769,0.534072,0.957972,0.0934828,0.0436096,0.705371,0.296971,0.970006,0.735136,0.897124,0.0593025,0.92681,0.171258,0.97898,0.969858,0.0256823,0.863961,0.0418257,0.0447569,0.0337044,0.800999,0.336347,0.977516,0.839434,0.512233,0.0176804,0.597682,0.883817,0.877595,0.0346589,0.936321,0.824599,0.811215,0.0373735,0.737145,0.960705,0.749577,0.951461,0.0772005,0.0509563,0.0230318,0.0329985,0.0337286,0.0258509,0.240227,0.59717,0.937066,0.840689,0.0224545,0.842569,0.193028,0.0244702,0.966925,0.691041,0.904715,0.0492259,0.018221,0.0720855,0.0524898,0.0548941
1.0,0.0279706,0.427235,0.0485444,0.916394,0.943771,0.891064,0.739164,0.0115907,0.0210048,0.031094,0.934647,0.955237,0.877589,0.0189847,0.552036,0.801878,0.909675,0.871353,0.880878,0.0395049,0.74059,0.0318923,0.9129,0.0279706,0.0124258,0.027758,0.948674,0.830527,0.021776,0.532047,0.0235726,0.952597,0.125696,0.939335,0.0331568,0.0215967,0.0101404,0.0291816,0.915943,0.0371643,0.881537,0.914455,0.895977,0.646491,0.0237844,0.0920158,0.926439,0.0143769,0.508536,0.014601,0.703147,0.830648,0.644098,0.859303,0.898845,0.105569,0.946967,0.0253035,0.167267,0.629627,0.130981,0.724289,0.0159704,0.0257416,0.0566604,0.0356801,0.840198,0.249446,0.417475,0.154671,0.025231,0.922232,0.888452,0.0233546,0.899689,0.923168,0.0582212,0.900373,0.868135,0.522582,0.0183043,0.868891,0.884892,0.895961,0.0476169,0.849673,0.986002,0.891847,0.854359,0.844501,0.75247,0.93932,0.865117,0.0746865,0.850991,0.761892,0.0558145,0.897863,0.899011,0.855104,0.588713,0.0821378,0.893847,0.024787,0.601825,0.973444,0.41993,0.0295239,0.729696,0.52292,0.959908,0.769374,0.879069,0.083872,0.944547,0.360342,0.978427,0.976742,0.0437318,0.863774,0.0660528,0.0396817,0.0253476,0.760093,0.391238,0.980084,0.808006,0.517341,0.0161398,0.722722,0.915099,0.904616,0.0559856,0.946296,0.882222,0.889478,0.0403466,0.841356,0.969024,0.783198,0.944447,0.0235737,0.0617873,0.113287,0.0612317,0.0406388,0.0249847,0.00798975,0.619206,0.955057,0.870219,0.0189,0.681968,0.280333,0.0261754,0.968161,0.7929,0.863414,0.061199,0.019586,0.0397364,0.0807157,0.0680544
1.0,0.0413233,0.433566,0.0809222,0.922654,0.791055,0.882871,0.800054,0.0130032,0.0222875,0.0612868,0.930981,0.931132,0.867525,0.0237403,0.459534,0.664005,0.906734,0.858773,0.86327,0.0535139,0.803265,0.0346736,0.905706,0.0319257,0.0282148,0.0211378,0.949845,0.736314,0.0203632,0.597007,0.025022,0.952961,0.0924607,0.0248355,0.021329,0.023495,0.00609607,0.0460101,0.896601,0.0469944,0.866978,0.905732,0.874518,0.388905,0.0196265,0.0645216,0.821009,0.010446,0.393289,0.0179072,0.748332,0.8382,0.62779,0.821167,0.848238,0.155763,0.935707,0.0201866,0.140278,0.505503,0.155502,0.722306,0.0179056,0.13684,0.094978,0.0232025,0.837077,0.452182,0.18768,0.126692,0.0288787,0.842154,0.908262,0.0230957,0.878344,0.93147,0.0702015,0.895379,0.80243,0.406591,0.0228442,0.851469,0.868478,0.890736,0.0318525,0.836784,0.978851,0.901753,0.862081,0.693165,0.708723,0.958686,0.777253,0.0856104,0.763492,0.644653,0.0507049,0.887628,0.891376,0.642494,0.57279,0.05576,0.906287,0.0258234,0.545427,0.968346,0.0963074,0.0446548,0.759591,0.338849,0.951865,0.724016,0.89818,0.0600794,0.943501,0.232459,0.97848,0.948251,0.0347541,0.868119,0.0710923,0.041853,0.0300145,0.803216,0.287915,0.977047,0.82248,0.533377,0.0145056,0.714797,0.891302,0.880135,0.0379079,0.94379,0.799896,0.871006,0.04204,0.815289,0.965623,0.766968,0.938654,0.0723874,0.070849,0.0917119,0.0736498,0.0289495,0.0260321,0.010693,0.51177,0.943023,0.875922,0.0215502,0.718465,0.240181,0.0329349,0.969322,0.698368,0.823545,0.0490608,0.0193222,0.0683094,0.080417,0.0848203
1.0,0.0313331,0.425575,0.0670064,0.91822,0.941638,0.913162,0.488818,0.00891284,0.197941,0.0690786,0.952097,0.948546,0.928678,0.0228117,0.339785,0.616595,0.87086,0.905857,0.900934,0.0422764,0.832047,0.0380058,0.866696,0.0327537,0.040794,0.0314589,0.937414,0.946782,0.0200028,0.501058,0.0307571,0.935022,0.0518136,0.918793,0.0351978,0.0220589,0.0367516,0.0218148,0.906918,0.0674,0.868917,0.900423,0.876748,0.215617,0.022935,0.20857,0.74955,0.0273934,0.161918,0.0130146,0.563141,0.852679,0.41,0.848774,0.906544,0.0907064,0.950242,0.0296865,0.104874,0.302654,0.206903,0.684393,0.0169579,0.0308238,0.0966306,0.0361895,0.863145,0.296747,0.156424,0.120203,0.0299302,0.923263,0.926253,0.0290281,0.874085,0.932221,0.0353441,0.909873,0.878972,0.39503,0.0207538,0.922736,0.778977,0.911359,0.0535289,0.85238,0.985809,0.928184,0.903874,0.783484,0.831599,0.929406,0.842305,0.0311011,0.779101,0.392785,0.0471095,0.93279,0.922803,0.694957,0.563899,0.0699022,0.924175,0.0243028,0.558249,0.959122,0.458975,0.0409319,0.778285,0.3177,0.951981,0.783326,0.921483,0.0724053,0.929647,0.273365,0.97135,0.962155,0.034871,0.889214,0.0493719,0.070103,0.040022,0.866417,0.382597,0.971125,0.838388,0.5157,0.0156037,0.703555,0.930402,0.892545,0.0472268,0.912522,0.778723,0.890592,0.0459689,0.793784,0.966137,0.75637,0.930675,0.102787,0.083549,0.0331237,0.0808554,0.0320475,0.0457772,0.01729,0.539449,0.92729,0.87244,0.0133869,0.807727,0.168187,0.0296735,0.958125,0.824762,0.839429,0.0428862,0.0165101,0.0535107,0.0558181,0.0483457
1.0,0.0399106,0.96877,0.0684477,0.876589,0.812753,0.880603,0.794245,0.011614,0.0365606,0.0330061,0.935246,0.740644,0.869826,0.0197155,0.454107,0.727835,0.836051,0.830987,0.852859,0.0339553,0.751977,0.0143947,0.890955,0.0208149,0.0541893,0.030104,0.905665,0.95876,0.0251933,0.576818,0.0281057,0.948683,0.0656776,0.918364,0.0292884,0.0242273,0.0151454,0.0411559,0.901888,0.0371696,0.912773,0.882895,0.904986,0.414129,0.0256926,0.177814,0.832232,0.0167137,0.339232,0.019888,0.538907,0.806223,0.480895,0.814851,0.906745,0.0248154,0.790433,0.0221546,0.130754,0.460584,0.156316,0.727031,0.0269145,0.0275886,0.308651,0.0304705,0.841905,0.37903,0.178866,0.113499,0.025543,0.931241,0.936073,0.0258036,0.879551,0.906921,0.0493384,0.850105,0.871307,0.403745,0.0276012,0.913958,0.889492,0.911511,0.0310784,0.823086,0.984876,0.904207,0.880716,0.798976,0.754499,0.961758,0.839074,0.044338,0.818898,0.529701,0.0475642,0.880136,0.881805,0.79338,0.617132,0.035681,0.927161,0.0275187,0.609029,0.971364,0.117156,0.0410251,0.748874,0.306989,0.964407,0.770159,0.915717,0.0665717,0.934065,0.267731,0.980351,0.972427,0.0286675,0.871538,0.0348763,0.0442393,0.0395593,0.81681,0.333165,0.978525,0.844443,0.558911,0.0170693,0.713187,0.894954,0.887456,0.0357897,0.928918,0.809924,0.922335,0.0439379,0.73745,0.942142,0.778926,0.94726,0.039444,0.0667898,0.0225756,0.0598275,0.0239826,0.0247662,0.0147877,0.652149,0.942996,0.815445,0.01923,0.691281,0.220583,0.0231684,0.969673,0.791389,0.807211,0.0490446,0.0231303,0.0603208,0.0518643,0.0538688
