Features,Importance Score,Difference,Cancer,Clear
cg06535115,0.067632161,0.007071646,0.03875625,0.031684605
cg23479892,0.226394683,0.011814315,0.027990963,0.016176647
cg03235119,0.228810236,0.017909948,0.037990418,0.020080469
cg01406536,0.174708083,0.00795474,0.032926161,0.024971421
cg06024135,0.018874167,0.00951599,0.037048044,0.027532053
cg15094912,0.074900433,0.007922372,0.03366576,0.025743388
cg00830526,0.008186433,0.010436673,0.034843378,0.024406705
cg08054046,0.029519472,0.003674246,0.021507356,0.01783311
cg10646633,0.112562016,0.00496042,0.02485248,0.01989206
cg02989768,0.011889399,0.004575479,0.025793801,0.021218323
cg07842593,0.003274012,0.003976995,0.024393289,0.020416294
cg03761979,0.16077581,0.006634875,0.025330307,0.018695433
cg00567536,0.123170011,0.004098778,0.022302697,0.018203919
cg20122548,0.407109708,0.011062855,0.032876586,0.021813731
cg08957018,0.348638058,0.010442559,0.030202064,0.019759504
cg17492891,0.288712323,0.009974702,0.02946784,0.019493138
cg02720618,0.156092733,0.050875162,0.106270143,0.05539498
cg24659854,0.119046099,0.029886833,0.10472202,0.074835187
cg17183362,0.139276341,0.03311261,0.091862291,0.058749681
cg25742745,0.133127794,0.034784568,0.099875565,0.065090997
cg08327690,0.361097485,0.05421712,0.079874185,0.025657065
cg24046411,0.253943831,0.018038632,0.051424916,0.033386284
cg01833196,0.0209378,0.030320687,0.068382676,0.038061989
cg26864230,0.503972411,0.030142603,0.059094739,0.028952136
cg09545123,0.143205285,0.030826428,0.073121351,0.042294923
cg03068376,1,0.02696634,0.059505211,0.032538871
cg06385324,0.730542362,0.040171957,0.075411454,0.035239497
cg09636293,0.152910411,0.003075361,0.05117042,0.048095059
cg22643080,0.132950395,0.009415251,0.054054724,0.044639473
cg27413732,0.628310084,0.021581949,0.07392253,0.052340581
cg09551996,0.262573987,0.020075971,0.069959794,0.049883822
cg01454528,0.253344685,0.011244986,0.06108087,0.049835884
cg15719025,0.112524755,0.021106571,0.081163451,0.06005688
cg00128877,0.030983245,0.021325186,0.075664361,0.054339176
cg10535919,0.111858517,0.002703631,0.03741776,0.034714129
cg17836114,0.026589522,0.01887996,0.056813982,0.037934022
cg26861593,0.002836285,0.010104102,0.048747204,0.038643102
cg22313322,0.011583271,0.014900011,0.057483883,0.042583871
cg05501817,0.087845176,0.009013995,0.044189117,0.035175122
cg17868994,0.198038846,0.015358524,0.047122214,0.03176369
cg06128509,0.10804154,0.016697803,0.051209696,0.034511893
cg10678486,-8.85E-05,0.01098324,0.046686607,0.035703368
cg10490745,0.064532153,0.009820588,0.049625774,0.039805186
cg16082606,0.266399801,0.013318064,0.052122679,0.038804614
cg14913676,0.385482609,0.011526904,0.047189382,0.035662479
