class,cg06358970,cg15934776,cg24461669,cg27133034,cg05630556,cg07824824,cg26037614,cg00010954,cg22827250,cg15772025,cg22372182,cg02308712,cg25940946,cg01108080,cg03028786,cg06132727,cg20807545,cg08115957,cg00179374,cg20002958,cg19489423,cg03354508,cg11614451,cg02444300,cg19224645,cg06753057,cg09320199,cg22417733,cg14413721,cg07570142,cg07806886,cg11032077,cg06816350,cg08918582,cg26244738,cg06211323,cg24589459,cg18126442,cg03329148,cg21051964,cg17703048,cg20150982,cg01416891,cg07035704,cg10588622,cg26343883,cg12518898,cg13172367,cg07608496,cg24053748,cg24244437,cg15607142,cg08357627,cg19451698,cg04808130,cg17239923,cg24304712,cg13474998,cg14355608,cg23213696,cg11864574,cg08957484,cg05456022,cg11410682,cg19738305,cg26307926,cg13466694,cg19744936,cg09682213,cg20784649
1.0,0.0114531,0.73596,0.942682,0.839659,0.0443554,0.355668,0.017455,0.403174,0.450533,0.0395567,0.264862,0.602609,0.0190223,0.0153275,0.52136,0.47377,0.156769,0.940111,0.537743,0.870345,0.954189,0.577644,0.0436057,0.0183953,0.120366,0.922462,0.735239,0.076994,0.152316,0.038252,0.0448415,0.839577,0.615298,0.549437,0.0669627,0.365579,0.0298303,0.218128,0.813236,0.8773,0.873387,0.338451,0.135467,0.711612,0.274593,0.120022,0.0121079,0.917884,0.0312228,0.0618174,0.0308126,0.714479,0.774713,0.0581391,0.916285,0.0659956,0.0445127,0.372826,0.0173987,0.038304,0.361583,0.167175,0.0181183,0.173546,0.0330046,0.15909,0.293078,0.0947857,0.615798,0.0304891
1.0,0.0112543,0.870431,0.952586,0.721869,0.0373608,0.333739,0.0239437,0.403705,0.345593,0.0934041,0.250678,0.373828,0.0240249,0.011444,0.88335,0.657453,0.188662,0.932369,0.528924,0.841997,0.834373,0.398374,0.0193371,0.0178001,0.157602,0.917319,0.734336,0.0714717,0.306093,0.0388803,0.0354583,0.946785,0.706144,0.760953,0.0373129,0.279548,0.0462593,0.220395,0.819854,0.872593,0.899195,0.296877,0.167166,0.761147,0.205605,0.158476,0.00840802,0.91806,0.0232689,0.0977193,0.0257343,0.719448,0.773562,0.0647706,0.922992,0.0291178,0.020453,0.415845,0.019499,0.0339901,0.367518,0.129356,0.0108524,0.152725,0.0526262,0.120896,0.270138,0.10605,0.634448,0.0542256
1.0,0.00800527,0.933,0.957521,0.551643,0.0304492,0.367951,0.0337735,0.455222,0.332265,0.0344779,0.464335,0.399843,0.0154785,0.0146688,0.895469,0.575106,0.110866,0.955917,0.571983,0.900457,0.961851,0.461219,0.0374441,0.0126784,0.120643,0.821052,0.695932,0.0949013,0.133004,0.0433973,0.0231303,0.959938,0.732545,0.695126,0.0538983,0.319839,0.0397093,0.192996,0.781759,0.937992,0.960445,0.235169,0.212131,0.814132,0.375313,0.155305,0.00845085,0.968179,0.0239578,0.0834074,0.0588713,0.752377,0.742298,0.0240834,0.909742,0.0184017,0.025902,0.355248,0.0145146,0.0321649,0.410333,0.127075,0.00864061,0.1277,0.0396409,0.17568,0.232212,0.0575621,0.748199,0.0341021
1.0,0.00945468,0.82477,0.68694,0.693337,0.0304934,0.391781,0.0184226,0.496077,0.233272,0.0253229,0.375012,0.549591,0.0410839,0.00444259,0.837553,0.499712,0.171417,0.947894,0.660488,0.88099,0.957482,0.310252,0.0445066,0.0114073,0.0693099,0.785205,0.754362,0.0557158,0.208853,0.0359669,0.0533404,0.964814,0.682087,0.793567,0.0698166,0.335739,0.0297674,0.197145,0.797916,0.929291,0.934746,0.189104,0.178858,0.654455,0.180144,0.147314,0.00869041,0.929445,0.0238413,0.0611358,0.0304747,0.677149,0.721434,0.071606,0.915514,0.0293861,0.103907,0.258063,0.0126408,0.0323389,0.41727,0.184746,0.012653,0.189256,0.0310286,0.141094,0.236211,0.0918656,0.598997,0.019658
1.0,0.00817553,0.798299,0.5907,0.755483,0.0258667,0.389072,0.0264081,0.387036,0.278841,0.0614032,0.417152,0.547583,0.049358,0.0121273,0.855648,0.600077,0.189007,0.946295,0.624461,0.89589,0.952886,0.497321,0.0633743,0.0115182,0.0876759,0.845369,0.63997,0.115551,0.213866,0.0447057,0.0221255,0.968775,0.799765,0.650145,0.0505808,0.316468,0.020205,0.159527,0.717693,0.922791,0.865498,0.205711,0.185549,0.752179,0.210147,0.129802,0.00578588,0.952072,0.0242055,0.0603164,0.0330114,0.662902,0.716739,0.0505005,0.912203,0.0208869,0.0255055,0.231147,0.0119365,0.0303131,0.391431,0.183065,0.011035,0.177497,0.0306877,0.162859,0.306284,0.09227,0.717853,-0.00272359
1.0,0.0095996,0.632356,0.939928,0.639928,0.033105,0.41401,0.0195645,0.472784,0.330466,0.0405104,0.403873,0.51631,0.0133085,0.0168433,0.502203,0.614226,0.166462,0.941957,0.482839,0.840689,0.95703,0.364314,0.0345606,0.0130739,0.149973,0.872707,0.714062,0.0747212,0.12956,0.0446572,0.0400646,0.960324,0.668276,0.572913,0.0810673,0.420542,0.0808027,0.210724,0.826953,0.881663,0.932888,0.328653,0.169049,0.715294,0.436162,0.148721,0.00808561,0.935402,0.0253347,0.0835754,0.0439589,0.634765,0.722421,0.0654782,0.90573,0.0720569,0.0280883,0.19254,0.0130074,0.0307358,0.453146,0.16475,0.0120038,0.208499,0.0311916,0.202632,0.252213,0.11401,0.630595,0.0214279
1.0,0.0112944,0.868298,0.952216,0.688107,0.032297,0.352042,0.0183168,0.521042,0.301638,0.0302913,0.208504,0.236317,0.0297173,0.0153146,0.889453,0.753819,0.147106,0.938162,0.610976,0.870219,0.96266,0.246597,0.0364478,0.0129858,0.188212,0.82989,0.723911,0.06557,0.175475,0.0548998,0.0544177,0.938789,0.702155,0.833651,0.0768264,0.355711,0.253786,0.197978,0.825081,0.943771,0.94985,0.254218,0.24605,0.76992,0.280223,0.19478,0.456407,0.924495,0.0244364,0.0549802,0.0234355,0.814674,0.719522,0.0953911,0.928157,0.05689,0.0337801,0.381373,0.0152668,0.0313739,0.376761,0.328797,0.0116198,0.161071,0.0306539,0.262542,0.307973,0.0750565,0.721967,0.00924951
1.0,0.0096014,0.884811,0.94884,0.591409,0.0395068,0.323048,0.035709,0.403371,0.337569,0.0471041,0.528619,0.404906,0.0355343,0.0123048,0.0218061,0.530283,0.179812,0.950347,0.496863,0.875922,0.95753,0.24492,0.0463368,0.0108952,0.12766,0.810932,0.695939,0.13643,0.152697,0.0570568,0.0672836,0.888568,0.597486,0.513869,0.119054,0.308454,0.217421,0.22507,0.807451,0.791055,0.922988,0.201876,0.185205,0.719849,0.331249,0.159756,0.0749538,0.924203,0.0226598,0.0818862,0.030967,0.757869,0.712114,0.07597,0.90721,0.0618446,0.0253984,0.328554,0.0173396,0.0316997,0.426257,0.131606,0.0131941,0.182996,0.0420259,0.178431,0.252699,0.0911624,0.645975,0.0934354
1.0,0.0100144,0.92204,0.94903,0.581896,0.037088,0.422432,0.0363769,0.388843,0.364356,0.0501907,0.536661,0.425786,0.0493859,0.0177265,0.870217,0.579859,0.163976,0.952341,0.532486,0.87244,0.956019,0.494016,0.0661137,0.0167797,0.274882,0.841599,0.696076,0.108397,0.133024,0.0486435,0.0350214,0.940151,0.803516,0.775371,0.0591649,0.322501,0.0748257,0.239448,0.752677,0.941638,0.954602,0.216047,0.216528,0.698035,0.387143,0.16708,0.0108842,0.952615,0.0260423,0.0844933,0.0399042,0.761105,0.681446,0.0464557,0.913855,0.0675567,0.028722,0.313116,0.0183456,0.0421319,0.500144,0.150997,0.0148976,0.157169,0.0360487,0.170138,0.253984,0.0993731,0.701692,0.0342872
1.0,0.0279152,0.722668,0.828772,0.706627,0.0238113,0.339054,0.0205336,0.469401,0.279999,0.039487,0.216048,0.326278,0.0332919,0.0167617,0.85658,0.569986,0.161355,0.93902,0.533665,0.815445,0.956555,0.376143,0.0494172,0.014647,0.107938,0.897992,0.714342,0.0800516,0.127902,0.0342637,0.0493486,0.838082,0.565762,0.818312,0.046916,0.396042,0.0357171,0.233314,0.805316,0.812753,0.882325,0.268833,0.14493,0.693637,0.48036,0.134473,0.0127736,0.900847,0.0231646,0.0812612,0.0261628,0.734507,0.763607,0.0659535,0.90155,0.0641015,0.0507875,0.298107,0.0223564,0.0261731,0.356353,0.188185,0.00893505,0.17096,0.0411322,0.149794,0.231948,0.0975596,0.690753,-0.0025698
