class,cg27413732,cg27627006,cg03068376,cg10150615,cg09545123,cg00949670,cg15004938,cg08042322,cg04656009,cg24061542,cg26996201,cg00656478,cg00589181,cg19212550,cg01517148,cg05835416,cg26864230,cg04181864,cg14913676,cg17492891,cg07093324,cg00957480,cg09716038,cg07512295,cg11826008,cg02706575,cg07195224,cg13380204,cg00113117,cg04445570,cg05419984,cg25986322,cg07563765,cg13017471,cg17098965,cg09812397,cg15719025,cg14337027,cg04312209,cg01353960,cg16989822,cg25983288,cg05241830,cg19446838,cg24343720,cg02379079,cg13888445,cg21034183,cg09551996,cg24046864
1.0,0.0898217,0.268461,0.0429799,0.0391438,0.0433068,0.0278458,0.79539,0.803189,0.668746,0.0374778,0.081454,0.865587,0.880654,0.826376,0.797462,0.702796,0.0506816,0.957644,0.0463265,0.0135691,0.270428,0.779884,0.913099,0.519618,0.727745,0.815674,0.500194,0.46252,0.828301,0.838324,0.0724875,0.765749,0.964047,0.847875,0.235651,0.657607,0.0655732,0.550378,0.395961,0.75903,0.922772,0.961755,0.826368,0.0419206,0.670415,0.533505,0.757076,0.546004,0.0605352,0.829591
1.0,0.0433151,0.478943,0.0346997,0.0542177,0.105958,0.0309332,0.722293,0.415319,0.73311,0.0493175,0.0167076,0.855986,0.837913,0.895316,0.782509,0.557288,0.0392374,0.857812,0.0640443,0.045765,0.588226,0.829879,0.924928,0.655203,0.637491,0.812016,0.54061,0.624215,0.838249,0.902603,0.0915186,0.840809,0.984199,0.87765,0.219022,0.678288,0.112294,0.21144,0.427581,0.820451,0.928401,0.958596,0.837817,0.0623097,0.754693,0.613913,0.803609,0.484034,0.0481504,0.868989
1.0,0.0532857,0.417468,0.0643553,0.082415,0.0677998,0.0201737,0.902881,0.330058,0.757525,0.0303424,0.0114183,0.944788,0.916035,0.593908,0.924134,0.495706,0.0309581,0.969451,0.0499812,0.0236659,0.347165,0.856508,0.961917,0.659864,0.818433,0.87166,0.735426,0.557355,0.900979,0.890103,0.0723816,0.880459,0.964917,0.928333,0.639568,0.7456,0.0655421,0.289157,0.562009,0.863004,0.924733,0.967754,0.912546,0.0303863,0.710226,0.704923,0.804331,0.598487,0.0831885,0.959297
1.0,0.0574692,0.342367,0.0272636,0.0444379,0.0353678,0.0217103,0.753189,0.531365,0.699233,0.0406763,0.0411036,0.835839,0.806307,0.816224,0.777399,0.658062,0.0266182,0.966146,0.033518,0.0156021,0.162883,0.812595,0.939486,0.597424,0.662194,0.795805,0.468176,0.58342,0.805227,0.872612,0.0645492,0.804282,0.975759,0.82884,0.199798,0.641067,0.0511249,0.231626,0.347415,0.762772,0.910021,0.968746,0.859749,0.0354503,0.696395,0.531941,0.790704,0.519344,0.0619666,0.87217
1.0,0.0708839,0.43956,0.150576,0.0660072,0.0875084,0.031403,0.876917,0.308539,0.704722,0.0553281,0.0285494,0.929772,0.93578,0.6123,0.934721,0.58453,0.0448133,0.96195,0.0351137,0.0307597,0.295293,0.850785,0.935217,0.739055,0.800397,0.883509,0.639884,0.577324,0.898713,0.874179,0.0610361,0.896491,0.877504,0.893565,0.707689,0.822959,0.0579859,0.337108,0.455796,0.902837,0.940944,0.959896,0.884845,0.0359907,0.770214,0.706434,0.829434,0.592627,0.0601967,0.88281
1.0,0.0534961,0.33261,0.0319026,0.0293319,0.0329985,0.0244702,0.800999,0.657765,0.731437,0.0319415,0.0275957,0.870461,0.861426,0.856484,0.793324,0.604349,0.029503,0.962615,0.0440065,0.0166463,0.128786,0.794111,0.886717,0.505598,0.724187,0.789933,0.417404,0.442762,0.806642,0.857358,0.0593025,0.751977,0.972648,0.847199,0.201439,0.656241,0.0755105,0.267871,0.301891,0.793093,0.907052,0.966032,0.85084,0.038963,0.685319,0.572672,0.791876,0.529529,0.0644676,0.86381
1.0,0.0485444,0.522582,0.0404424,0.0821378,0.0612317,0.0261754,0.760093,0.301211,0.619598,0.0486108,0.0124258,0.900373,0.923607,0.739164,0.852055,0.532047,0.031094,0.957859,0.0427682,0.0318923,0.156625,0.819307,0.926353,0.681289,0.721209,0.799822,0.520834,0.705571,0.771437,0.865711,0.083872,0.830648,0.973869,0.860105,0.326375,0.711802,0.0696581,0.185077,0.462623,0.781231,0.924555,0.958759,0.868135,0.0590912,0.747395,0.602142,0.8224,0.551894,0.0523283,0.877589
1.0,0.0809222,0.406591,0.0467201,0.05576,0.0736498,0.0329349,0.803216,0.463573,0.728397,0.0482805,0.0282148,0.895379,0.849336,0.800054,0.807961,0.597007,0.0612868,0.955539,0.0452994,0.0346736,0.298784,0.793787,0.919101,0.541341,0.737021,0.802069,0.443801,0.528763,0.788032,0.838804,0.0600794,0.8382,0.953153,0.876808,0.319547,0.65669,0.0719258,0.230489,0.475629,0.825716,0.897842,0.96482,0.80243,0.0522599,0.673243,0.587903,0.757809,0.542801,0.0718837,0.867525
1.0,0.0670064,0.39503,0.0903417,0.0699022,0.0808554,0.0296735,0.866417,0.380801,0.711914,0.0635278,0.040794,0.909873,0.915012,0.488818,0.910805,0.501058,0.0690786,0.940127,0.0638498,0.0380058,0.310748,0.837337,0.933373,0.617971,0.809848,0.861743,0.644215,0.530963,0.902033,0.890688,0.0724053,0.852679,0.906655,0.910617,0.743501,0.671349,0.134114,0.290283,0.453179,0.857366,0.923901,0.934972,0.878972,0.0454899,0.740571,0.660283,0.811459,0.560262,0.0979117,0.928678
1.0,0.0684477,0.403745,0.046123,0.035681,0.0598275,0.0231684,0.81681,0.416575,0.803412,0.0397105,0.0541893,0.850105,0.885407,0.794245,0.804028,0.576818,0.0330061,0.950521,0.0387157,0.0143947,0.306938,0.824623,0.931958,0.567756,0.746247,0.801414,0.520213,0.55953,0.796969,0.798336,0.0665717,0.806223,0.971512,0.859651,0.318398,0.675833,0.0727326,0.170071,0.463266,0.805276,0.888888,0.962244,0.871307,0.0467232,0.687524,0.625337,0.780864,0.522723,0.0595837,0.869826
1.0,0.0567029,0.540617,0.118043,0.107518,0.0885589,0.0373059,0.884155,0.296402,0.731777,0.0445526,0.0741341,0.937101,0.932653,0.551231,0.919731,0.599863,0.0404874,0.961259,0.0240001,0.0380325,0.307589,0.846264,0.961119,0.649315,0.834994,0.87129,0.779015,0.55049,0.911903,0.885788,0.0479706,0.904322,0.887371,0.928289,0.799518,0.708934,0.106181,0.275411,0.480542,0.878596,0.913161,0.952953,0.891587,0.0505005,0.727325,0.681776,0.819179,0.533395,0.0991606,0.927147
1.0,0.0618762,0.27468,0.0416422,0.124115,0.066804,0.0350039,0.846982,0.860927,0.645861,0.0405167,0.0487681,0.92074,0.912881,0.839849,0.843572,0.705569,0.0206049,0.972442,0.0246412,0.0420384,0.171213,0.843361,0.947676,0.549159,0.735841,0.823755,0.600459,0.549136,0.835289,0.903631,0.0662069,0.898823,0.976532,0.900153,0.432732,0.758968,0.0758161,0.428715,0.427646,0.820777,0.922823,0.965339,0.883248,0.0601754,0.671958,0.664005,0.848973,0.534867,0.0564142,0.907551
1.0,0.0514136,0.518335,0.0246725,0.110982,0.0578244,0.0232268,0.761301,0.465181,0.750534,0.0246883,0.0187812,0.873169,0.84967,0.721287,0.780621,0.591117,0.031574,0.941443,0.0637623,0.029523,0.218406,0.824968,0.921041,0.535686,0.773298,0.824871,0.454745,0.600039,0.802127,0.876294,0.0807325,0.829758,0.970993,0.864007,0.325075,0.697397,0.074321,0.213433,0.400997,0.809735,0.907762,0.966937,0.880029,0.0723153,0.665532,0.606323,0.76274,0.51471,0.0631287,0.841927
1.0,0.0470876,0.445354,0.0267941,0.055146,0.0533815,0.0299408,0.772291,0.615643,0.798993,0.0449486,0.0197211,0.928866,0.918489,0.815818,0.831446,0.612187,0.0208782,0.974166,0.0192952,0.0291907,0.186648,0.845922,0.927163,0.597622,0.720531,0.822453,0.465594,0.697203,0.800418,0.908735,0.0855126,0.868169,0.964052,0.900578,0.270724,0.713068,0.0710431,0.150266,0.382371,0.850961,0.913862,0.960982,0.912173,0.0344605,0.704122,0.615579,0.93586,0.527518,0.031321,0.925057
1.0,0.052525,0.502359,0.0356038,0.0482786,0.0634742,0.0212452,0.765276,0.600615,0.579145,0.0380188,0.025316,0.851126,0.835482,0.703999,0.796646,0.521396,0.0196777,0.965782,0.0416992,0.0271973,0.134061,0.816757,0.911611,0.607318,0.70647,0.767841,0.435717,0.464707,0.763071,0.888144,0.0547995,0.805672,0.973549,0.858435,0.18035,0.663497,0.069584,0.211052,0.343086,0.785467,0.9081,0.963615,0.83096,0.0434493,0.605081,0.556576,0.751917,0.478552,0.0521188,0.855415
