class,cg01062443,cg03068376,cg27413732,cg26864230,cg09545123
1.0,0.147728,0.0429799,0.0898217,0.0506816,0.0433068
1.0,0.161724,0.0346997,0.0433151,0.0392374,0.105958
1.0,0.350574,0.0643553,0.0532857,0.0309581,0.0677998
1.0,0.19495,0.0272636,0.0574692,0.0266182,0.0353678
1.0,0.324803,0.150576,0.0708839,0.0448133,0.0875084
1.0,0.127348,0.0319026,0.0534961,0.029503,0.0329985
1.0,0.112234,0.0404424,0.0485444,0.031094,0.0612317
1.0,0.124641,0.0467201,0.0809222,0.0612868,0.0736498
1.0,0.320933,0.0903417,0.0670064,0.0690786,0.0808554
1.0,0.19289,0.046123,0.0684477,0.0330061,0.0598275
1.0,0.34482,0.118043,0.0567029,0.0404874,0.0885589
1.0,0.114483,0.0416422,0.0618762,0.0206049,0.066804
1.0,0.152833,0.0246725,0.0514136,0.031574,0.0578244
1.0,0.148742,0.0267941,0.0470876,0.0208782,0.0533815
1.0,0.102262,0.0356038,0.052525,0.0196777,0.0634742
1.0,0.147975,0.0380931,0.0486528,0.0539266,0.0346429
1.0,0.160903,0.0282567,0.0683219,0.0426501,0.0775149
1.0,0.13774,0.0522689,0.0860335,0.0572035,0.0940938
1.0,0.116893,0.0331131,0.0524082,0.0178742,0.0570567
1.0,0.221976,0.0399938,0.0639712,0.0430263,0.0845115
1.0,0.093035,0.0385876,0.0621867,0.0209895,0.0395102
3.0,0.213603,0.051987,0.0927862,0.0770173,0.0900961
3.0,0.148566,0.044816,0.0550817,0.0501436,0.0337926
3.0,0.306526,0.117184,0.070217,0.0735939,0.0996331
3.0,0.164945,0.0499083,0.0754961,0.0742331,0.0743618
3.0,0.133466,0.0503866,0.0580876,0.0507138,0.0499133
3.0,0.127021,0.0266565,0.0752194,0.0685659,0.0681827
3.0,0.212721,0.0488148,0.063761,0.0593641,0.0752507
3.0,0.217608,0.0452625,0.096428,0.0546261,0.0841831
3.0,0.133431,0.0374269,0.0681905,0.0404769,0.105499
3.0,0.144944,0.0352253,0.0733045,0.0366508,0.0562809
3.0,0.142293,0.0424871,0.107161,0.0757337,0.0784259
3.0,0.312871,0.0792511,0.107307,0.0584382,0.0967767
3.0,0.167559,0.0449356,0.0724561,0.0559444,0.0984173
3.0,0.0965042,0.0333298,0.0565852,0.0428858,0.0577184
3.0,0.243561,0.0508805,0.0899087,0.060293,0.0679468
3.0,0.17119,0.0414013,0.0573633,0.0462729,0.0530871
3.0,0.0926151,0.0678048,0.0537969,0.285409,0.021512
3.0,0.374487,0.138025,0.131059,0.173505,0.087271
3.0,0.143358,0.0383398,0.0611947,0.0235096,0.0668769
3.0,0.141794,0.0360588,0.0653451,0.0350269,0.0719161
3.0,0.139035,0.0532195,0.0614784,0.0554063,0.0644451
3.0,0.18039,0.0488242,0.0645792,0.0437537,0.0200913
3.0,0.240672,0.0409276,0.0909156,0.0512476,0.0654541
3.0,0.178798,0.0707061,0.0887101,0.0545458,0.0803032
3.0,0.22283,0.0706233,0.0677139,0.0921642,0.0664971
3.0,0.147118,0.0495522,0.0721211,0.0602382,0.069682
3.0,0.107134,0.0323497,0.05612,0.0305635,0.0536422
3.0,0.275532,0.0632604,0.0939233,0.0894409,0.0823224
3.0,0.214851,0.0528242,0.0983637,0.053327,0.0819758
3.0,0.355922,0.111245,0.0988901,0.102959,0.114928
3.0,0.189239,0.0319049,0.0654498,0.0223366,0.0440809
3.0,0.278412,0.100603,0.0682378,0.0727805,0.0750349
3.0,0.119448,0.0488732,0.0698278,0.0337119,0.0611165
3.0,0.115478,0.0349812,0.0636615,0.0301045,0.0361704
3.0,0.119932,0.0349375,0.0566629,0.0194686,0.0437125
3.0,0.250328,0.0717562,0.0466081,0.117428,0.0933271
3.0,0.191346,0.0603399,0.0810702,0.045067,0.0513006
3.0,0.405982,0.111027,0.07779,0.0682926,0.0778736
3.0,0.183933,0.0663752,0.0967586,0.0942517,0.0846457
3.0,0.342812,0.0637101,0.060928,0.0511273,0.0843596
3.0,0.157046,0.0396584,0.0801422,0.0463439,0.0397505
3.0,0.119106,0.0342538,0.0575276,0.0205084,0.0548587
3.0,0.13398,0.0491427,0.0696391,0.0321906,0.0801231
3.0,0.110205,0.0455617,0.064559,0.0401533,0.0513154
3.0,0.474238,0.286027,0.0925885,0.149176,0.266457
3.0,0.0928822,0.0379753,0.0520388,0.0410753,0.0937861
3.0,0.134204,0.0410646,0.0718675,0.0559021,0.142643
3.0,0.140966,0.0440227,0.0544181,0.0645085,0.155984
3.0,0.201083,0.0597819,0.136524,0.0851934,0.0826104
3.0,0.141641,0.0316482,0.0626478,0.0195714,0.0720936
3.0,0.115254,0.0429864,0.0752603,0.0358885,0.0592112
3.0,0.146454,0.0896492,0.0758261,0.0527624,0.0474904
3.0,0.154602,0.0492159,0.0903407,0.0444486,0.0665747
3.0,0.105215,0.0673385,0.0706115,0.0273536,0.0953082
3.0,0.160603,0.0565265,0.0479069,0.0438303,0.0577624
3.0,0.142522,0.0415588,0.0644198,0.0323024,0.061643
3.0,0.459292,0.0995164,0.0740336,0.0580942,0.107872
3.0,0.197201,0.064772,0.0631604,0.0421004,0.0822879
3.0,0.177541,0.0509114,0.0820885,0.0537191,0.0708116
3.0,0.107839,0.0392653,0.0695387,0.0529135,0.0373075
3.0,0.110083,0.0267058,0.0415047,0.0270903,0.041554
