class,cg06358970,cg15934776,cg24461669,cg27133034,cg05630556,cg03028786,cg07824824,cg08115957,cg15772025,cg26037614,cg22827250,cg00010954,cg02308712,cg22372182,cg11032077,cg01108080,cg25940946,cg20002958,cg12518898,cg02444300,cg00179374,cg06753057,cg06132727,cg20807545,cg08918582,cg03354508,cg11614451,cg06816350,cg19489423,cg22417733,cg26244738,cg20150982,cg17703048,cg07570142,cg09320199,cg14413721,cg19224645,cg07806886,cg24589459,cg03329148,cg10588622,cg13474998,cg24304712,cg04808130,cg06211323,cg07035704,cg08357627,cg26603179,cg17239923,cg19451698,cg14355608,cg19744936,cg01416891,cg15607142,cg24244437,cg13172367,cg21051964,cg07608496,cg26343883,cg24053748,cg02081006,cg11864574,cg18181209,cg00837103,cg18126442,cg19738305,cg09682213,cg26307926,cg08128680,cg08695724,cg12866960,cg10469100,cg25364652,cg08650900,cg11410682,cg09723590,cg23213696,cg01376829,cg13466694,cg23273869,cg16025451,cg09545510,cg10285743,cg02348347,cg08492145,cg10548807,cg19610869,cg22581831,cg21833184,cg02159718,cg26114502,cg09316544,cg09175201,cg15784814,cg14167415,cg26441104,cg23319085,cg06772449,cg11706717,cg01316659
1.0,0.0114531,0.73596,0.942682,0.839659,0.0443554,0.52136,0.355668,0.940111,0.0395567,0.017455,0.450533,0.403174,0.602609,0.264862,0.839577,0.0153275,0.0190223,0.870345,0.0121079,0.0183953,0.537743,0.922462,0.47377,0.156769,0.549437,0.577644,0.0436057,0.615298,0.954189,0.076994,0.0669627,0.338451,0.873387,0.038252,0.735239,0.152316,0.120366,0.0448415,0.0298303,0.813236,0.274593,0.372826,0.0445127,0.916285,0.365579,0.711612,0.774713,0.247426,0.0659956,0.0581391,0.0173987,0.0947857,0.135467,0.714479,0.0308126,0.917884,0.8773,0.0312228,0.120022,0.0618174,0.278519,0.361583,0.886439,0.262755,0.218128,0.0330046,0.615798,0.15909,0.0745653,0.065561,0.901442,0.0599657,0.905389,0.896897,0.173546,0.0126433,0.038304,0.130755,0.293078,0.773654,0.141541,0.155809,0.0732297,0.891912,0.929805,0.0118574,0.0770317,0.0217812,0.657513,0.030338,0.771162,0.739682,0.919312,0.863147,0.557076,0.814772,0.854973,0.384331,0.799694,0.689587
1.0,0.0112543,0.870431,0.952586,0.721869,0.0373608,0.88335,0.333739,0.932369,0.0934041,0.0239437,0.345593,0.403705,0.373828,0.250678,0.946785,0.011444,0.0240249,0.841997,0.00840802,0.0178001,0.528924,0.917319,0.657453,0.188662,0.760953,0.398374,0.0193371,0.706144,0.834373,0.0714717,0.0373129,0.296877,0.899195,0.0388803,0.734336,0.306093,0.157602,0.0354583,0.0462593,0.819854,0.205605,0.415845,0.020453,0.922992,0.279548,0.761147,0.773562,0.212542,0.0291178,0.0647706,0.019499,0.10605,0.167166,0.719448,0.0257343,0.91806,0.872593,0.0232689,0.158476,0.0977193,0.347671,0.367518,0.905488,0.258095,0.220395,0.0526262,0.634448,0.120896,0.0160303,0.0793494,0.900246,0.0621246,0.84689,0.869774,0.152725,0.0131847,0.0339901,0.144127,0.270138,0.714219,0.163036,0.114963,0.0837793,0.886997,0.829005,0.0113692,0.0821614,0.02232,0.472572,0.0218107,0.778189,0.709319,0.842202,0.803052,0.835896,0.539291,0.80697,0.34496,0.877188,0.716632
1.0,0.00800527,0.933,0.957521,0.551643,0.0304492,0.895469,0.367951,0.955917,0.0344779,0.0337735,0.332265,0.455222,0.399843,0.464335,0.959938,0.0146688,0.0154785,0.900457,0.00845085,0.0126784,0.571983,0.821052,0.575106,0.110866,0.695126,0.461219,0.0374441,0.732545,0.961851,0.0949013,0.0538983,0.235169,0.960445,0.0433973,0.695932,0.133004,0.120643,0.0231303,0.0397093,0.781759,0.375313,0.355248,0.025902,0.909742,0.319839,0.814132,0.742298,0.409572,0.0184017,0.0240834,0.0145146,0.0575621,0.212131,0.752377,0.0588713,0.968179,0.937992,0.0239578,0.155305,0.0834074,0.607044,0.410333,0.902003,0.314279,0.192996,0.0396409,0.748199,0.17568,0.0117609,0.0818678,0.924465,0.0387184,0.942616,0.81717,0.1277,0.0129313,0.0321649,0.101465,0.232212,0.662983,0.208371,0.11853,0.194543,0.87978,0.914908,0.013075,0.0451649,0.0180994,0.369177,0.0220085,0.788128,0.556898,0.936296,0.882468,0.453866,0.70647,0.883751,0.34881,0.874271,0.505215
1.0,0.00945468,0.82477,0.68694,0.693337,0.0304934,0.837553,0.391781,0.947894,0.0253229,0.0184226,0.233272,0.496077,0.549591,0.375012,0.964814,0.00444259,0.0410839,0.88099,0.00869041,0.0114073,0.660488,0.785205,0.499712,0.171417,0.793567,0.310252,0.0445066,0.682087,0.957482,0.0557158,0.0698166,0.189104,0.934746,0.0359669,0.754362,0.208853,0.0693099,0.0533404,0.0297674,0.797916,0.180144,0.258063,0.103907,0.915514,0.335739,0.654455,0.721434,0.328323,0.0293861,0.071606,0.0126408,0.0918656,0.178858,0.677149,0.0304747,0.929445,0.929291,0.0238413,0.147314,0.0611358,0.402221,0.41727,0.908348,0.278176,0.197145,0.0310286,0.598997,0.141094,0.014445,0.0541181,0.909161,0.0395065,0.942566,0.880792,0.189256,0.0133189,0.0323389,0.104277,0.236211,0.754348,0.136036,0.135781,0.0913666,0.900633,0.940683,0.0235241,0.155644,0.0180753,0.493205,0.0225997,0.753051,0.62728,0.896489,0.867725,0.79613,0.675351,0.818076,0.379878,0.353499,0.484488
1.0,0.00817553,0.798299,0.5907,0.755483,0.0258667,0.855648,0.389072,0.946295,0.0614032,0.0264081,0.278841,0.387036,0.547583,0.417152,0.968775,0.0121273,0.049358,0.89589,0.00578588,0.0115182,0.624461,0.845369,0.600077,0.189007,0.650145,0.497321,0.0633743,0.799765,0.952886,0.115551,0.0505808,0.205711,0.865498,0.0447057,0.63997,0.213866,0.0876759,0.0221255,0.020205,0.717693,0.210147,0.231147,0.0255055,0.912203,0.316468,0.752179,0.716739,0.381365,0.0208869,0.0505005,0.0119365,0.09227,0.185549,0.662902,0.0330114,0.952072,0.922791,0.0242055,0.129802,0.0603164,0.2979,0.391431,0.877516,0.347509,0.159527,0.0306877,0.717853,0.162859,0.00997556,0.0551129,0.883775,0.0485798,0.943522,0.808882,0.177497,0.0128075,0.0303131,0.089521,0.306284,0.703937,0.14978,0.150907,0.0144074,0.908942,0.870204,0.00761834,0.0725511,0.0259966,0.552445,0.0239508,0.77926,0.636145,0.927857,0.850034,0.430227,0.785644,0.871386,0.409463,0.790423,0.549373
1.0,0.0095996,0.632356,0.939928,0.639928,0.033105,0.502203,0.41401,0.941957,0.0405104,0.0195645,0.330466,0.472784,0.51631,0.403873,0.960324,0.0168433,0.0133085,0.840689,0.00808561,0.0130739,0.482839,0.872707,0.614226,0.166462,0.572913,0.364314,0.0345606,0.668276,0.95703,0.0747212,0.0810673,0.328653,0.932888,0.0446572,0.714062,0.12956,0.149973,0.0400646,0.0808027,0.826953,0.436162,0.19254,0.0280883,0.90573,0.420542,0.715294,0.722421,0.338271,0.0720569,0.0654782,0.0130074,0.11401,0.169049,0.634765,0.0439589,0.935402,0.881663,0.0253347,0.148721,0.0835754,0.367801,0.453146,0.866289,0.286216,0.210724,0.0311916,0.630595,0.202632,0.0196994,0.0598926,0.87796,0.0455695,0.91616,0.858801,0.208499,0.0132802,0.0307358,0.156455,0.252213,0.729879,0.152431,0.129375,0.0470487,0.883566,0.937952,0.0171177,0.0710415,0.0199057,0.716316,0.02782,0.766216,0.678098,0.92989,0.849326,0.760847,0.653927,0.888359,0.347156,0.865433,0.560856
1.0,0.0112944,0.868298,0.952216,0.688107,0.032297,0.889453,0.352042,0.938162,0.0302913,0.0183168,0.301638,0.521042,0.236317,0.208504,0.938789,0.0153146,0.0297173,0.870219,0.456407,0.0129858,0.610976,0.82989,0.753819,0.147106,0.833651,0.246597,0.0364478,0.702155,0.96266,0.06557,0.0768264,0.254218,0.94985,0.0548998,0.723911,0.175475,0.188212,0.0544177,0.253786,0.825081,0.280223,0.381373,0.0337801,0.928157,0.355711,0.76992,0.719522,0.197672,0.05689,0.0953911,0.0152668,0.0750565,0.24605,0.814674,0.0234355,0.924495,0.943771,0.0244364,0.19478,0.0549802,0.426978,0.376761,0.894418,0.288602,0.197978,0.0306539,0.721967,0.262542,0.0117719,0.0582906,0.925154,0.0463025,0.931177,0.914653,0.161071,0.0141364,0.0313739,0.0946123,0.307973,0.776061,0.105405,0.14099,0.0589981,0.896337,0.943165,0.0229979,0.207522,0.0144531,0.559924,0.0220302,0.791764,0.660612,0.908036,0.846344,0.776733,0.868467,0.830416,0.389205,0.88629,0.469168
1.0,0.0096014,0.884811,0.94884,0.591409,0.0395068,0.0218061,0.323048,0.950347,0.0471041,0.035709,0.337569,0.403371,0.404906,0.528619,0.888568,0.0123048,0.0355343,0.875922,0.0749538,0.0108952,0.496863,0.810932,0.530283,0.179812,0.513869,0.24492,0.0463368,0.597486,0.95753,0.13643,0.119054,0.201876,0.922988,0.0570568,0.695939,0.152697,0.12766,0.0672836,0.217421,0.807451,0.331249,0.328554,0.0253984,0.90721,0.308454,0.719849,0.712114,0.466385,0.0618446,0.07597,0.0173396,0.0911624,0.185205,0.757869,0.030967,0.924203,0.791055,0.0226598,0.159756,0.0818862,0.431155,0.426257,0.864021,0.324612,0.22507,0.0420259,0.645975,0.178431,0.011796,0.07057,0.928037,0.0502206,0.937639,0.840861,0.182996,0.0141526,0.0316997,0.188461,0.252699,0.634375,0.132347,0.124486,0.100555,0.884786,0.910561,0.0177327,0.0815321,0.0191208,0.60662,0.02858,0.788554,0.786908,0.925633,0.807675,0.514351,0.599359,0.865486,0.328316,0.777734,0.684019
1.0,0.0100144,0.92204,0.94903,0.581896,0.037088,0.870217,0.422432,0.952341,0.0501907,0.0363769,0.364356,0.388843,0.425786,0.536661,0.940151,0.0177265,0.0493859,0.87244,0.0108842,0.0167797,0.532486,0.841599,0.579859,0.163976,0.775371,0.494016,0.0661137,0.803516,0.956019,0.108397,0.0591649,0.216047,0.954602,0.0486435,0.696076,0.133024,0.274882,0.0350214,0.0748257,0.752677,0.387143,0.313116,0.028722,0.913855,0.322501,0.698035,0.681446,0.506271,0.0675567,0.0464557,0.0183456,0.0993731,0.216528,0.761105,0.0399042,0.952615,0.941638,0.0260423,0.16708,0.0844933,0.524206,0.500144,0.853852,0.279268,0.239448,0.0360487,0.701692,0.170138,0.0157419,0.081123,0.929269,0.048619,0.933483,0.843042,0.157169,0.013718,0.0421319,0.110057,0.253984,0.68666,0.196324,0.135474,0.201945,0.799262,0.88367,0.022421,0.0571816,0.0218558,0.446854,0.0212772,0.813074,0.547756,0.930185,0.839571,0.372767,0.731698,0.880086,0.330779,0.804104,0.543904
1.0,0.0279152,0.722668,0.828772,0.706627,0.0238113,0.85658,0.339054,0.93902,0.039487,0.0205336,0.279999,0.469401,0.326278,0.216048,0.838082,0.0167617,0.0332919,0.815445,0.0127736,0.014647,0.533665,0.897992,0.569986,0.161355,0.818312,0.376143,0.0494172,0.565762,0.956555,0.0800516,0.046916,0.268833,0.882325,0.0342637,0.714342,0.127902,0.107938,0.0493486,0.0357171,0.805316,0.48036,0.298107,0.0507875,0.90155,0.396042,0.693637,0.763607,0.222797,0.0641015,0.0659535,0.0223564,0.0975596,0.14493,0.734507,0.0261628,0.900847,0.812753,0.0231646,0.134473,0.0812612,0.349176,0.356353,0.857485,0.405167,0.233314,0.0411322,0.690753,0.149794,0.0358254,0.0410184,0.913712,0.0523496,0.926737,0.907335,0.17096,0.0212586,0.0261731,0.117809,0.231948,0.601417,0.1352,0.132176,0.0845959,0.881012,0.93615,0.0239249,0.131238,0.0175986,0.579285,0.0369354,0.765529,0.633688,0.899726,0.818781,0.494496,0.841436,0.844809,0.330781,0.849811,0.514066
