class,cg06358970,cg15934776,cg18126442,cg05630556,cg01416891,cg00010954,cg07824824,cg22827250,cg26037614,cg27133034
1.0,0.0114531,0.73596,0.218128,0.0443554,0.135467,0.403174,0.355668,0.450533,0.017455,0.839659
1.0,0.0112543,0.870431,0.220395,0.0373608,0.167166,0.403705,0.333739,0.345593,0.0239437,0.721869
1.0,0.00800527,0.933,0.192996,0.0304492,0.212131,0.455222,0.367951,0.332265,0.0337735,0.551643
1.0,0.00945468,0.82477,0.197145,0.0304934,0.178858,0.496077,0.391781,0.233272,0.0184226,0.693337
1.0,0.00817553,0.798299,0.159527,0.0258667,0.185549,0.387036,0.389072,0.278841,0.0264081,0.755483
1.0,0.0095996,0.632356,0.210724,0.033105,0.169049,0.472784,0.41401,0.330466,0.0195645,0.639928
1.0,0.0112944,0.868298,0.197978,0.032297,0.24605,0.521042,0.352042,0.301638,0.0183168,0.688107
1.0,0.0096014,0.884811,0.22507,0.0395068,0.185205,0.403371,0.323048,0.337569,0.035709,0.591409
1.0,0.0100144,0.92204,0.239448,0.037088,0.216528,0.388843,0.422432,0.364356,0.0363769,0.581896
1.0,0.0279152,0.722668,0.233314,0.0238113,0.14493,0.469401,0.339054,0.279999,0.0205336,0.706627
1.0,0.00760284,0.780714,0.191792,0.0472729,0.187786,0.475471,0.357282,0.290395,0.0486792,0.443084
1.0,0.00777006,0.889788,0.140595,0.0430285,0.160092,0.548339,0.479752,0.236325,0.0302599,0.810409
1.0,0.0305787,0.808372,0.189857,0.0254191,0.155386,0.477497,0.323348,0.282827,0.0207227,0.741841
1.0,0.00596531,0.708828,0.149383,0.0336365,0.186643,0.434449,0.177729,0.352897,0.028251,0.700292
1.0,0.0104425,0.594439,0.162802,0.0442774,0.151542,0.47065,0.266227,0.334318,0.0227242,0.708405
1.0,0.0110831,0.904803,0.237002,0.059192,0.223525,0.54843,0.439219,0.410097,0.0185953,0.791372
1.0,0.00735559,0.891717,0.234562,0.0572753,0.193165,0.539178,0.328709,0.37423,0.0448252,0.662263
1.0,0.0117992,0.638134,0.257444,0.024967,0.238465,0.515747,0.420073,0.377874,0.0242707,0.824982
1.0,0.00441228,0.692875,0.136836,0.0241587,0.151385,0.461008,0.413181,0.28672,0.0185246,0.679917
1.0,0.00999089,0.89121,0.176796,0.0388983,0.174643,0.416372,0.310435,0.294109,0.0336226,0.850151
1.0,0.00987762,0.762405,0.232419,0.0464636,0.210067,0.549465,0.537373,0.29031,0.0185782,0.691758
-1.0,0.0119401,0.861595,0.244127,0.0337914,0.193695,0.441735,0.316097,0.381694,0.0372354,0.763088
-1.0,0.0106329,0.649049,0.179433,0.0486659,0.169584,0.544421,0.397762,0.381854,0.0248966,0.774011
-1.0,0.0118936,0.857161,0.254095,0.0397803,0.251208,0.507898,0.505051,0.380453,0.0525785,0.673274
-1.0,0.0127745,0.772341,0.265901,0.0465348,0.20891,0.543849,0.314608,0.361066,0.0336078,0.741102
-1.0,0.0100415,0.93301,0.32272,0.0568987,0.249357,0.663986,0.579469,0.391225,0.0332567,0.76879
-1.0,0.0112513,0.796743,0.151701,0.0445865,0.153922,0.535918,0.437507,0.272143,0.0343194,0.764528
-1.0,0.0108136,0.830245,0.238961,0.0451234,0.235866,0.458548,0.362698,0.296574,0.0264569,0.740342
-1.0,0.0114675,0.709606,0.283305,0.0478984,0.229808,0.540743,0.371297,0.358953,0.0295667,0.785849
-1.0,0.00990439,0.884397,0.278085,0.081666,0.251061,0.502163,0.487751,0.353925,0.0392989,0.748177
-1.0,0.0102923,0.793942,0.233319,0.048974,0.183221,0.479839,0.415379,0.37038,0.0218162,0.808267
-1.0,0.0107111,0.887453,0.256595,0.0861151,0.205044,0.567547,0.450345,0.40649,0.0473402,0.78951
-1.0,0.00957475,0.918233,0.260939,0.055295,0.268259,0.553781,0.570954,0.340073,0.0474648,0.869214
-1.0,0.0108329,0.856232,0.284095,0.0606132,0.230073,0.48985,0.526254,0.404187,0.0361842,0.690121
-1.0,0.00975322,0.872899,0.223989,0.0378233,0.25298,0.454149,0.486734,0.361283,0.0250935,0.701557
-1.0,0.0126671,0.914692,0.264258,0.0413127,0.215829,0.497285,0.428125,0.372181,0.0342096,0.698568
-1.0,0.0108379,0.90804,0.247402,0.0622617,0.18913,0.497176,0.454209,0.350901,0.0240341,0.792659
-1.0,0.0109656,0.902917,0.163904,0.0386556,0.195773,0.579711,0.408148,0.332882,0.0197304,0.710859
-1.0,0.0121243,0.827204,0.196746,0.0641911,0.197089,0.566366,0.434365,0.433549,0.0632796,0.584447
-1.0,0.00661379,0.934496,0.192939,0.0352159,0.15362,0.553808,0.470039,0.220956,0.0277663,0.545709
-1.0,0.0114639,0.910772,0.265669,0.0505333,0.30229,0.552719,0.468595,0.382671,0.029012,0.691847
-1.0,0.0139864,0.81453,0.257883,0.0446437,0.237085,0.545805,0.505405,0.329982,0.0285423,0.784205
-1.0,0.00956167,0.887433,0.218604,0.0495753,0.22846,0.558235,0.477902,0.371303,0.0269372,0.712692
-1.0,0.0106538,0.805471,0.253613,0.0472247,0.247925,0.500955,0.456728,0.396925,0.0336747,0.734693
-1.0,0.01723,0.936968,0.314275,0.0668583,0.253901,0.575841,0.469302,0.414218,0.0280256,0.816905
-1.0,0.00999326,0.916855,0.283064,0.0452671,0.324632,0.630438,0.623474,0.401364,0.0337068,0.837752
-1.0,0.0115609,0.903672,0.308253,0.0545948,0.240346,0.57748,0.475571,0.418146,0.0310768,0.779956
-1.0,0.0112442,0.803708,0.28998,0.0642118,0.22034,0.638952,0.52876,0.39005,0.0298682,0.767735
-1.0,0.0102683,0.906917,0.301542,0.073103,0.289612,0.536198,0.526476,0.386649,0.0403394,0.79053
-1.0,0.00907949,0.895895,0.257611,0.0583662,0.266879,0.575641,0.50768,0.394385,0.0258277,0.777586
-1.0,0.0137443,0.87282,0.283593,0.0499043,0.214369,0.477764,0.416237,0.35104,0.04368,0.635178
-1.0,0.0107459,0.884077,0.297387,0.0514575,0.20102,0.501167,0.419621,0.3582,0.0244259,0.775517
-1.0,0.0111272,0.929479,0.264836,0.0458815,0.233076,0.54992,0.603406,0.449199,0.036772,0.584894
-1.0,0.00710056,0.885215,0.26103,0.055671,0.273532,0.552284,0.648614,0.401394,0.0323739,0.759201
-1.0,0.0104033,0.726255,0.252906,0.0257693,0.245442,0.565979,0.446594,0.340281,0.0188344,0.814696
-1.0,0.0107192,0.897119,0.277175,0.0467391,0.216208,0.520235,0.545454,0.36981,0.0292132,0.752265
-1.0,0.00921281,0.844692,0.24082,0.0585494,0.231472,0.389406,0.570924,0.379582,0.0363554,0.641144
-1.0,0.0104045,0.864635,0.282931,0.0408376,0.199354,0.537794,0.38597,0.411154,0.0284586,0.773056
-1.0,0.00965444,0.881922,0.252097,0.0501109,0.225486,0.571937,0.513425,0.38853,0.0462221,0.656407
-1.0,0.0165531,0.897995,0.317886,0.0652523,0.313292,0.578243,0.570749,0.46445,0.0352081,0.715768
-1.0,0.00932477,0.935451,0.246616,0.0480208,0.242058,0.508876,0.415282,0.37648,0.0319325,0.647559
-1.0,0.0111879,0.897055,0.296573,0.0404077,0.234826,0.571853,0.535914,0.403886,0.0288806,0.667867
-1.0,0.00675689,0.931964,0.222429,0.0447227,0.322484,0.669498,0.567637,0.370824,0.0320093,0.819592
-1.0,0.0122123,0.888514,0.233563,0.0464355,0.278367,0.591833,0.589536,0.414403,0.0272855,0.825626
-1.0,0.0105956,0.899755,0.268939,0.0626822,0.210644,0.56824,0.409845,0.385273,0.0240083,0.52436
-1.0,0.0107401,0.89689,0.317458,0.145154,0.214398,0.697139,0.43283,0.263271,0.0889085,0.876354
-1.0,0.010663,0.891792,0.222199,0.0313954,0.154846,0.622494,0.361723,0.293074,0.026211,0.697325
-1.0,0.00928288,0.933269,0.233559,0.0440589,0.26288,0.591716,0.560295,0.363427,0.0342689,0.787996
-1.0,0.0117321,0.904488,0.237939,0.039674,0.26427,0.569131,0.481258,0.3474,0.0317781,0.784002
-1.0,0.01464,0.89142,0.322472,0.0495057,0.30751,0.540849,0.530066,0.48796,0.0500037,0.692729
-1.0,0.00756064,0.893919,0.257393,0.0645638,0.25777,0.600719,0.459587,0.354947,0.0318741,0.679937
-1.0,0.0125413,0.867358,0.318953,0.0479609,0.283492,0.604324,0.617184,0.456735,0.0259049,0.79658
-1.0,0.0113469,0.934099,0.325754,0.0452292,0.235859,0.548423,0.468948,0.395833,0.0369582,0.671527
-1.0,0.011539,0.944986,0.309316,0.0415974,0.240485,0.514698,0.441551,0.378178,0.0307833,0.827874
-1.0,0.0107933,0.828957,0.251871,0.0380468,0.236258,0.511556,0.510335,0.414518,0.0280587,0.663901
-1.0,0.0116552,0.952391,0.319593,0.0466344,0.306806,0.618023,0.618631,0.355265,0.0312624,0.765928
-1.0,0.0092454,0.874048,0.2565,0.0497193,0.25691,0.548738,0.584627,0.393359,0.0354878,0.784409
-1.0,0.0115401,0.860477,0.202109,0.0564271,0.20001,0.409313,0.38298,0.355875,0.0535493,0.624481
-1.0,0.0120011,0.845416,0.284064,0.0566294,0.223761,0.500642,0.541654,0.381667,0.0478135,0.732029
-1.0,0.0129177,0.916329,0.278593,0.058486,0.217849,0.573415,0.494036,0.372739,0.0260327,0.785173
-1.0,0.00825595,0.902163,0.274091,0.037267,0.281758,0.564016,0.526674,0.341351,0.0294621,0.776286
-1.0,0.0105768,0.864586,0.19687,0.0410313,0.185112,0.553758,0.555003,0.278076,0.0318104,0.745383
-1.0,0.082489,0.914277,0.315642,0.0519305,0.228167,0.509525,0.494395,0.474388,0.0295072,0.790549
-1.0,0.00789103,0.913086,0.184356,0.0529052,0.255403,0.631376,0.495307,0.272763,0.0421917,0.66963
-1.0,0.0129909,0.909278,0.294691,0.0477913,0.257353,0.529394,0.441495,0.426147,0.039064,0.835531
-1.0,0.0115118,0.874939,0.233141,0.0459829,0.242063,0.532913,0.569754,0.391363,0.0300642,0.775946
