class,cg04875128,cg21051964,cg15256305,cg00590036,cg03735012,cg12559685,cg21399832,cg01953615,cg10584587,cg03760191
1.0,0.201264,0.8773,0.116447,0.101338,0.347914,0.691721,0.364187,0.749526,0.819037,0.834049
1.0,0.386283,0.872593,0.12578,0.154425,0.358986,0.646684,0.465247,0.745203,0.890593,0.756144
1.0,0.0482444,0.937992,0.172886,0.118038,0.127589,0.709591,0.108298,0.699464,0.939017,0.746795
1.0,0.296457,0.929291,0.108932,0.132875,0.293041,0.824751,0.332848,0.740472,0.932285,0.827785
1.0,0.0405235,0.922791,0.0962084,0.167987,-0.016541,0.749583,0.048651,0.729707,0.970457,0.680073
1.0,0.318482,0.881663,0.220221,0.121143,0.419265,0.840076,0.425916,0.767996,0.969717,0.809479
1.0,0.508536,0.943771,0.602732,0.108125,0.58413,0.855104,0.586032,0.78446,0.969474,0.926439
1.0,0.393289,0.791055,0.338473,0.12922,0.384761,0.642494,0.438648,0.768462,0.935254,0.821009
1.0,0.161918,0.941638,0.263457,0.195027,0.231215,0.694957,0.178035,0.722,0.96472,0.74955
1.0,0.339232,0.812753,0.326107,0.135218,0.360034,0.79338,0.375409,0.788071,0.934143,0.832232
1.0,-0.000280317,0.925992,0.145458,0.212171,0.051331,0.769325,0.0347469,0.758478,0.950871,0.702333
1.0,0.234897,0.928525,0.224345,0.126835,0.511172,0.906003,0.385662,0.7556,0.942776,0.859545
1.0,0.430995,0.825081,0.298148,0.120815,0.481823,0.826771,0.43267,0.803493,0.975978,0.816357
1.0,0.364125,0.90902,0.230678,0.101976,0.597176,0.812066,0.289148,0.871514,0.95171,0.941001
1.0,0.368824,0.884287,0.353677,0.142653,0.501975,0.810292,0.468087,0.727945,0.965633,0.790469
1.0,0.478502,0.918926,0.293303,0.145916,0.495957,0.826023,0.487107,0.797348,0.947526,0.837473
1.0,0.464875,0.947025,0.279302,0.146406,0.442027,0.780735,0.467878,0.760498,0.976726,0.836747
1.0,0.493107,0.929561,0.391749,0.172539,0.520512,0.843218,0.497214,0.804615,0.979439,0.863167
1.0,0.301525,0.922443,0.243833,0.0967657,0.543983,0.944396,0.444744,0.768456,0.947088,0.926151
1.0,0.414996,0.884178,0.157604,0.133199,0.376188,0.813129,0.416617,0.765305,0.946885,0.764183
1.0,0.536121,0.954889,0.297438,0.109123,0.529041,0.858628,0.526352,0.773952,0.972782,0.880397
-1.0,0.284449,0.921519,0.216515,0.16812,0.347765,0.798542,0.345401,0.702946,0.970845,0.838189
-1.0,0.399664,0.921245,0.323954,0.12598,0.530427,0.871803,0.481895,0.744137,0.957606,0.862318
-1.0,0.121756,0.930567,0.128278,0.18962,0.109411,0.769495,0.154653,0.775476,0.977835,0.786381
-1.0,0.410932,0.860238,0.312597,0.172852,0.444726,0.872749,0.441424,0.808197,0.961909,0.824243
-1.0,0.532157,0.922904,0.437838,0.150494,0.620371,0.800991,0.622874,0.850038,0.975039,0.923462
-1.0,0.450288,0.926117,0.533666,0.126714,0.546988,0.887925,0.447011,0.866875,0.96298,0.865366
-1.0,0.429701,0.921561,0.23657,0.158887,0.460874,0.743916,0.404988,0.720596,0.952002,0.91347
-1.0,0.386877,0.849037,0.303307,0.169756,0.455275,0.876867,0.408654,0.791419,0.974923,0.823738
-1.0,0.439592,0.914459,0.221971,0.188492,0.432718,0.847035,0.490907,0.780931,0.967545,0.902886
-1.0,0.462203,0.941243,0.267075,0.155121,0.456117,0.844512,0.510384,0.780789,0.972674,0.847323
-1.0,0.430363,0.92204,0.333384,0.172671,0.52781,0.837825,0.491938,0.841534,0.932271,0.830867
-1.0,0.067452,0.94475,0.180482,0.145423,0.123717,0.819887,0.201006,0.872637,0.9755,0.832933
-1.0,0.458561,0.928344,0.445151,0.148892,0.464982,0.823801,0.501684,0.856413,0.967217,0.823968
