FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
88937,cg05415871,1.0,cg22641350,0.7734156847000122,cg24530480,0.5256878733634949,cg04507915,0.35065919160842896,cg21453840,0.33153653144836426,cg08396985,0.32252252101898193
125331,cg07804728,0.30124467611312866,cg22641350,0.30883079767227173,cg05415871,0.2884342074394226,cg08839164,0.2804015278816223,cg23792115,0.27421435713768005,cg00635674,0.2735184133052826
62331,cg03735012,0.2749829590320587,cg23290344,0.6738682985305786,cg05661282,0.6620325446128845,cg15027907,0.657662034034729,cg24909548,0.6524797081947327,cg05037927,0.6519117951393127
220735,cg14383422,0.251706063747406,cg24029517,0.6221330165863037,cg25561762,0.6153552532196045,cg21210224,0.5726615190505981,cg21399832,0.5708709955215454,cg18020955,0.570298969745636
201033,cg13202751,0.21133771538734436,cg14502484,0.6681562066078186,cg18020955,0.5244487524032593,cg06804778,0.5180287957191467,cg11663667,0.5069291591644287,cg13690424,0.5060644745826721
27330,cg01596963,0.18453025817871094,cg04023483,0.5466452836990356,cg08274637,0.5431509017944336,cg27102629,0.5417134761810303,cg14906690,0.5182915925979614,cg13846270,0.504447877407074
297288,cg20003638,0.147211492061615,cg01460436,0.5364471077919006,cg07060233,0.5220707654953003,cg06132069,0.44663944840431213,cg01287088,0.42162269353866577,cg04359418,0.4135380685329437
213079,cg13939055,0.11367039382457733,cg13808012,0.6586113572120667,cg00823843,0.5816305875778198,cg05965387,0.37859392166137695,cg08274637,0.3654230535030365,cg10804656,0.3600618541240692
331823,cg22795586,0.06697875261306763,cg06926146,0.7870773673057556,cg13703871,0.6989264488220215,cg22797031,0.6966764330863953,cg05037927,0.6939051151275635,cg20431250,0.685235857963562
192855,cg12559685,0.02372327260673046,cg16308533,0.6450481414794922,cg11629889,0.6398851275444031,cg07871971,0.6202481985092163,cg08860498,0.6042388081550598,cg05053327,0.49230295419692993
