class,cg27413732,cg27627006,cg26996201,cg04656009,cg24061542,cg10150615,cg07093324,cg00949670,cg03068376,cg00656478,cg17492891,cg04181864,cg19212550,cg14208041,cg05835416,cg08042322,cg05241830,cg15004938,cg22355463,cg25986322,cg00589181,cg16989822,cg00511596,cg05419984,cg13817545,cg26864230,cg14337027,cg15719025,cg07947533,cg04445570,cg09716038,cg22149137,cg08642716,cg20958098,cg06475503,cg14913676,cg19446838,cg02706575,cg15324185,cg00614392,cg00957480,cg13380204,cg25983288,cg11826008,cg18835596,cg11808459,cg01328621,cg01060952,cg15491094,cg15045943,cg13978347,cg24046864,cg01353960,cg04729070,cg04792024,cg23099959,cg10678486,cg24054683,cg07563765,cg01517148,cg01918222,cg17371436,cg21034183,cg13619623,cg14939641,cg11693709,cg18958531,cg06328456,cg01630567,cg20488820,cg08737815,cg02151101,cg18866817,cg16803064,cg00147216,cg09545123,cg08327690,cg21900829,cg15623149,cg23841361,cg19455335,cg24046411,cg12593394,cg05714773,cg12656611,cg20364512,cg27305525,cg13461336,cg25862140,cg27471901,cg26170066,cg00595787,cg26055718,cg05485968,cg18159276,cg00113117,cg21948655,cg08182501,cg05922925,cg17560586,cg22313322,cg26614578,cg09250072,cg03313126,cg16331823,cg15128147,cg07195224,cg07543711,cg13027184,cg05212836,cg10202788
1.0,0.0898217,0.268461,0.081454,0.668746,0.0374778,0.0391438,0.270428,0.0278458,0.0429799,0.865587,0.0135691,0.957644,0.826376,0.64527,0.702796,0.803189,0.826368,0.79539,0.0762142,0.765749,0.880654,0.922772,0.0330294,0.0724875,0.248756,0.0506816,0.550378,0.0655732,0.0214691,0.838324,0.913099,0.515281,0.808098,0.837148,0.947726,0.0463265,0.0419206,0.815674,0.879596,0.267953,0.779884,0.46252,0.961755,0.727745,0.856391,0.536642,0.847159,0.0390585,0.804423,0.0355502,0.805008,0.829591,0.75903,0.0482942,0.841787,0.874303,0.0272319,0.959034,0.964047,0.797462,0.595603,0.0335714,0.546004,0.89018,0.866236,0.7419,0.0533838,0.858484,0.0238351,0.127832,0.857719,0.907533,0.765992,0.776817,0.97388,0.0433068,0.0176618,0.970361,0.015578,0.0267718,0.0239437,0.0339227,0.0195519,0.825834,0.829114,0.854155,0.0208298,0.813605,0.860473,0.149706,0.0452128,0.910488,0.882165,0.853924,0.868644,0.828301,0.855413,0.78162,0.0279202,0.976718,0.0399473,0.0257335,0.805921,0.694717,0.0372019,0.364844,0.500194,0.841015,0.600418,0.0395265,0.874857
1.0,0.0433151,0.478943,0.0167076,0.73311,0.0493175,0.0542177,0.588226,0.0309332,0.0346997,0.855986,0.045765,0.857812,0.895316,0.405585,0.557288,0.415319,0.837817,0.722293,0.105587,0.840809,0.837913,0.928401,0.0484283,0.0915186,0.294916,0.0392374,0.21144,0.112294,0.0132502,0.902603,0.924928,0.182711,0.81165,0.854127,0.955155,0.0640443,0.0623097,0.812016,0.90203,0.21971,0.829879,0.624215,0.958596,0.637491,0.845831,0.549172,0.825016,0.0451552,0.844325,0.0744125,0.802658,0.868989,0.820451,0.0414976,0.886902,0.849386,0.0429706,0.95671,0.984199,0.782509,0.591106,0.0356678,0.484034,0.902798,0.854697,0.770947,0.0607704,0.80904,0.0344725,0.167016,0.888903,0.901908,0.856259,0.768428,0.953488,0.105958,0.0463797,0.974518,0.0171211,0.0244752,0.0555631,0.0395272,0.0223515,0.821435,0.800929,0.783022,0.0411958,0.84731,0.850062,0.223978,0.0396788,0.916058,0.869581,0.890066,0.849016,0.838249,0.879631,0.857764,0.0451452,0.926632,0.0450749,0.0396805,0.798727,0.683432,0.0750038,0.48498,0.54061,0.894619,0.622526,0.036941,0.812137
1.0,0.0532857,0.417468,0.0114183,0.757525,0.0303424,0.082415,0.347165,0.0201737,0.0643553,0.944788,0.0236659,0.969451,0.593908,0.554313,0.495706,0.330058,0.912546,0.902881,0.0527128,0.880459,0.916035,0.924733,0.0228971,0.0723816,0.256049,0.0309581,0.289157,0.0655421,0.0159336,0.890103,0.961917,0.174997,0.891932,0.866855,0.932202,0.0499812,0.0303863,0.87166,0.905977,0.159924,0.856508,0.557355,0.967754,0.818433,0.902276,0.397786,0.848104,0.0472058,0.84691,0.0611048,0.889362,0.959297,0.863004,0.0329051,0.868743,0.872137,0.0395063,0.958844,0.964917,0.924134,0.593995,0.0277825,0.598487,0.90041,0.855638,0.849386,0.0469323,0.839403,0.0228356,0.0711841,0.924146,0.948962,0.824091,0.87093,0.969807,0.0677998,0.018639,0.969764,0.0129022,0.0230149,0.0432447,0.0597041,0.0200005,0.810316,0.882837,0.833701,0.0262673,0.893546,0.932348,0.409593,0.037705,0.964561,0.824668,0.889553,0.864894,0.900979,0.933391,0.80355,0.0300517,0.951994,0.052408,0.0514549,0.910327,0.657556,0.0395262,0.435162,0.735426,0.921103,0.582028,0.0397149,0.875317
1.0,0.0574692,0.342367,0.0411036,0.699233,0.0406763,0.0444379,0.162883,0.0217103,0.0272636,0.835839,0.0156021,0.966146,0.816224,0.541726,0.658062,0.531365,0.859749,0.753189,0.0535355,0.804282,0.806307,0.910021,0.0229515,0.0645492,0.28321,0.0266182,0.231626,0.0511249,0.0202066,0.872612,0.939486,0.130196,0.840074,0.83262,0.952968,0.033518,0.0354503,0.795805,0.865955,0.25998,0.812595,0.58342,0.968746,0.662194,0.829506,0.504812,0.808991,0.035218,0.835238,0.0358877,0.768771,0.87217,0.762772,0.0294226,0.855952,0.914137,0.0457052,0.961857,0.975759,0.777399,0.519663,0.0307206,0.519344,0.879342,0.909036,0.749147,0.0383158,0.873671,0.0316796,0.152618,0.857613,0.912383,0.697731,0.771117,0.97501,0.0353678,0.0843238,0.967692,0.0140222,0.0225564,0.0279358,0.029658,0.0180742,0.829944,0.823267,0.865914,0.022298,0.828685,0.851706,0.157581,0.0324359,0.885947,0.886561,0.88587,0.828059,0.805227,0.909624,0.819154,0.0232232,0.96251,0.0322592,0.027913,0.7619,0.646671,0.0427541,0.370077,0.468176,0.839266,0.629404,0.0288596,0.900735
1.0,0.0708839,0.43956,0.0285494,0.704722,0.0553281,0.0660072,0.295293,0.031403,0.150576,0.929772,0.0307597,0.96195,0.6123,0.578614,0.58453,0.308539,0.884845,0.876917,0.0984534,0.896491,0.93578,0.940944,0.025899,0.0610361,0.250592,0.0448133,0.337108,0.0579859,0.0303335,0.874179,0.935217,0.22801,0.836145,0.88336,0.947895,0.0351137,0.0359907,0.883509,0.927142,0.145775,0.850785,0.577324,0.959896,0.800397,0.822157,0.420462,0.83313,0.0345266,0.757262,0.0506663,0.853933,0.88281,0.902837,0.0444352,0.809302,0.907272,0.0430107,0.955328,0.877504,0.934721,0.660979,0.0244045,0.592627,0.858897,0.877716,0.765074,0.0365927,0.845408,0.0306784,0.0913049,0.905646,0.936489,0.864577,0.866688,0.976738,0.0875084,0.0247579,0.961671,0.0126204,0.0161394,0.0322997,0.045842,0.0133377,0.815833,0.872905,0.900754,0.0416151,0.908405,0.925197,0.185395,0.0255258,0.949005,0.838928,0.894415,0.871487,0.898713,0.9059,0.719476,0.0252268,0.954161,0.0378658,0.0439176,0.9251,0.647942,0.032114,0.493323,0.639884,0.875619,0.620921,0.0237048,0.888315
1.0,0.0534961,0.33261,0.0275957,0.731437,0.0319415,0.0293319,0.128786,0.0244702,0.0319026,0.870461,0.0166463,0.962615,0.856484,0.621359,0.604349,0.657765,0.85084,0.800999,0.0447944,0.751977,0.861426,0.907052,0.0287846,0.0593025,0.26053,0.029503,0.267871,0.0755105,0.0222792,0.857358,0.886717,0.199138,0.80892,0.835956,0.945315,0.0440065,0.038963,0.789933,0.874799,0.263229,0.794111,0.442762,0.966032,0.724187,0.801235,0.589293,0.801312,0.0225038,0.772427,0.0243255,0.742559,0.86381,0.793093,0.03525,0.869244,0.885786,0.0330349,0.960182,0.972648,0.793324,0.525683,0.0333466,0.529529,0.877595,0.872203,0.703459,0.0506025,0.856718,0.0291821,0.0966073,0.876419,0.88763,0.751275,0.788389,0.969994,0.0329985,0.050035,0.969255,0.0134245,0.0222497,0.0301122,0.0389251,0.0165104,0.79792,0.801428,0.804633,0.0278985,0.820724,0.841539,0.274974,0.0396993,0.897207,0.896027,0.896134,0.88193,0.806642,0.855991,0.80233,0.0296475,0.954524,0.0447569,0.0363757,0.810291,0.652059,0.0368659,0.335868,0.417404,0.860247,0.630547,0.0337044,0.870599
1.0,0.0485444,0.522582,0.0124258,0.619598,0.0486108,0.0821378,0.156625,0.0261754,0.0404424,0.900373,0.0318923,0.957859,0.739164,0.643083,0.532047,0.301211,0.868135,0.760093,0.0719389,0.830648,0.923607,0.924555,0.0304552,0.083872,0.281345,0.031094,0.185077,0.0696581,0.0279475,0.865711,0.926353,0.0919156,0.849673,0.867127,0.952597,0.0427682,0.0590912,0.799822,0.910055,0.221854,0.819307,0.705571,0.958759,0.721209,0.865152,0.619011,0.833042,0.0419496,0.833149,0.0647821,0.801828,0.877589,0.781231,0.0316099,0.895241,0.9129,0.0395049,0.955896,0.973869,0.852055,0.588713,0.0356801,0.551894,0.904616,0.88387,0.74059,0.0352479,0.883671,0.0376871,0.167267,0.871622,0.916295,0.810356,0.797757,0.972136,0.0612317,0.0746865,0.956772,0.0146652,0.0234384,0.043624,0.0316747,0.0185855,0.87612,0.831752,0.846361,0.0446972,0.815511,0.868071,0.164829,0.0336437,0.881199,0.915431,0.862432,0.837536,0.771437,0.880878,0.840828,0.0294962,0.957935,0.0396817,0.0407972,0.854075,0.683514,0.0342984,0.523372,0.520834,0.876564,0.625542,0.0253476,0.898365
1.0,0.0809222,0.406591,0.0282148,0.728397,0.0482805,0.05576,0.298784,0.0329349,0.0467201,0.895379,0.0346736,0.955539,0.800054,0.573504,0.597007,0.463573,0.80243,0.803216,0.0808082,0.8382,0.849336,0.897842,0.0257019,0.0600794,0.235522,0.0612868,0.230489,0.0719258,0.0237691,0.838804,0.919101,0.170977,0.836784,0.805331,0.952961,0.0452994,0.0522599,0.802069,0.889191,0.228441,0.793787,0.528763,0.96482,0.737021,0.869937,0.618037,0.7729,0.0396849,0.729108,0.0464499,0.774119,0.867525,0.825716,0.0626172,0.835914,0.905706,0.0535139,0.956309,0.953153,0.807961,0.57279,0.0232025,0.542801,0.880135,0.881152,0.803265,0.0409749,0.864578,0.0230656,0.140278,0.846874,0.906221,0.803294,0.78445,0.974019,0.0736498,0.0856104,0.957195,0.0164994,0.0193372,0.0423,0.0470837,0.0247434,0.839669,0.798674,0.847925,0.0438974,0.80842,0.854517,0.213323,0.0295451,0.898169,0.89196,0.867016,0.850405,0.788032,0.86327,0.75781,0.0274832,0.953635,0.041853,0.0404501,0.77254,0.65421,0.0419555,0.408735,0.443801,0.862836,0.640437,0.0300145,0.886169
1.0,0.0670064,0.39503,0.040794,0.711914,0.0635278,0.0699022,0.310748,0.0296735,0.0903417,0.909873,0.0380058,0.940127,0.488818,0.515402,0.501058,0.380801,0.878972,0.866417,0.0597636,0.852679,0.915012,0.923901,0.0266537,0.0724053,0.247306,0.0690786,0.290283,0.134114,0.0193811,0.890688,0.933373,0.186234,0.85238,0.872483,0.935022,0.0638498,0.0454899,0.861743,0.873371,0.166072,0.837337,0.530963,0.934972,0.809848,0.888875,0.32142,0.831599,0.0521301,0.819548,0.0575428,0.855421,0.928678,0.857366,0.0373811,0.845496,0.866696,0.0422764,0.94482,0.906655,0.910805,0.563899,0.0361895,0.560262,0.892545,0.779252,0.832047,0.0394289,0.824831,0.0289684,0.104874,0.908488,0.936259,0.843962,0.862799,0.9683,0.0808554,0.0311011,0.95337,0.0170874,0.0327815,0.0602207,0.0590099,0.0257316,0.823025,0.896188,0.820007,0.0411988,0.862757,0.912244,0.274705,0.0502732,0.946626,0.767629,0.879759,0.861823,0.902033,0.900934,0.83601,0.0371139,0.944055,0.070103,0.0529084,0.904189,0.63549,0.0467644,0.471697,0.644215,0.876112,0.565837,0.040022,0.878921
1.0,0.0684477,0.403745,0.0541893,0.803412,0.0397105,0.035681,0.306938,0.0231684,0.046123,0.850105,0.0143947,0.950521,0.794245,0.591179,0.576818,0.416575,0.871307,0.81681,0.0506271,0.806223,0.885407,0.888888,0.030706,0.0665717,0.296099,0.0330061,0.170071,0.0727326,0.0233099,0.798336,0.931958,0.113619,0.823086,0.847096,0.948683,0.0387157,0.0467232,0.801414,0.892867,0.264224,0.824623,0.55953,0.962244,0.746247,0.842869,0.543301,0.849497,0.0318385,0.796225,0.0321667,0.807287,0.869826,0.805276,0.0406897,0.857754,0.890955,0.0339553,0.958507,0.971512,0.804028,0.617132,0.0304705,0.522723,0.887456,0.885984,0.751977,0.0473928,0.85559,0.0287501,0.130754,0.8755,0.888349,0.797529,0.779085,0.972589,0.0598275,0.044338,0.965549,0.0164872,0.0218735,0.0362094,0.0371897,0.0223188,0.845043,0.799198,0.834638,0.0197905,0.823517,0.860885,0.210116,0.0368253,0.902304,0.902738,0.878953,0.837985,0.796969,0.852859,0.813803,0.581828,0.956997,0.0442393,0.0365208,0.829888,0.670551,0.0397144,0.389215,0.520213,0.860869,0.661312,0.0395593,0.88042
