FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
310292,cg21051964,1.0,cg09932758,0.399771511554718,cg04359418,0.3444209694862366,cg08274637,0.3390132486820221,cg26422151,0.3320710062980652,cg14906690,0.3315243124961853
233582,cg15256305,0.9381938576698303,cg10184983,0.8501062989234924,cg22904737,0.611655056476593,cg14424407,0.5872045159339905,cg25467973,0.5341871380805969,cg23614791,0.5332607626914978
10523,cg00590036,0.8469173312187195,cg23193759,0.3957909345626831,cg08097417,0.37768155336380005,cg13433250,0.36658743023872375,cg23606718,0.3254530727863312,cg00445126,0.3122246265411377
265302,cg17590135,0.7841100692749023,cg21585707,0.2642609775066376,cg27440995,0.25536346435546875,cg26591066,0.24841824173927307,cg21798060,0.2469312697649002,cg10092251,0.2445620894432068
80296,cg04875128,0.7350317239761353,cg11377136,0.7070266604423523,cg19792599,0.6908693313598633,cg18274480,0.6781031489372253,cg21399832,0.6694707870483398,cg03544320,0.6649497151374817
165948,cg10584587,0.6263423562049866,cg04978831,0.3130343556404114,cg24932457,0.2814895808696747,cg24889998,0.27970805764198303,cg08396985,0.27817296981811523,cg18789918,0.275459885597229
89379,cg05453358,0.430267333984375,cg11471802,0.6784791350364685,cg10187894,0.45921504497528076,cg03199366,0.4532453715801239,cg11254700,0.4527405798435211,cg16450309,0.4522159695625305
52501,cg03127558,0.4247339963912964,cg19343034,0.40422526001930237,cg06422471,0.3599420189857483,cg05768922,0.3288227319717407,cg17179314,0.32254061102867126,cg00491255,0.3138532340526581
33112,cg01953615,0.408567875623703,cg03701266,0.45476970076560974,cg04507915,0.43729591369628906,cg06651450,0.42780840396881104,cg08396985,0.4245608448982239,cg23288807,0.40835532546043396
62331,cg03735012,0.3928801119327545,cg07351192,0.75786292552948,cg15027907,0.7547531127929688,cg18384778,0.752460777759552,cg16768018,0.7522329688072205,cg22759823,0.7512989640235901
59190,cg03545227,0.39237332344055176,cg25942450,0.42880210280418396,cg27209578,0.42093992233276367,cg17833476,0.4083305895328522,cg11970349,0.4009782671928406,cg24136205,0.40072041749954224
297273,cg20002958,0.3834674060344696,cg18537454,0.3143802285194397,cg13493426,0.3028894066810608,cg21024234,0.2968049645423889,cg05621259,0.2916848361492157,cg21686386,0.28775137662887573
2573,cg00135497,0.3788422644138336,cg01511232,0.601054310798645,cg08271909,0.5186790823936462,cg02032558,0.43209367990493774,cg22398226,0.3990403711795807,cg03065175,0.38041892647743225
125331,cg07804728,0.3028241693973541,cg10334121,0.24647633731365204,cg13590117,0.24608135223388672,cg13540805,0.23116308450698853,cg23008404,0.2307957112789154,cg10462643,0.22925764322280884
226160,cg14710459,0.28408777713775635,cg13976799,0.5386888980865479,cg20740102,0.5226823091506958,cg21185187,0.5186060070991516,cg22449854,0.5154104828834534,cg10374797,0.5073359608650208
56111,cg03354992,0.27803143858909607,cg06647751,0.5972127318382263,cg25835226,0.5214629769325256,cg09105193,0.38486307859420776,cg10343447,0.3804587423801422,cg10567964,0.3774756193161011
241934,cg15896098,0.2713230848312378,cg17185401,0.3161236643791199,cg11232610,0.3125476539134979,cg09323228,0.31058675050735474,cg26549029,0.3045412003993988,cg18732064,0.30421361327171326
223164,cg14527097,0.26502397656440735,cg15580869,0.23083005845546722,cg05770762,0.21736735105514526,cg00810529,0.20945653319358826,cg07106911,0.20895622670650482,cg15310415,0.2062453329563141
141353,cg08874430,0.25170978903770447,cg14784428,0.4636726379394531,cg16736242,0.45431721210479736,cg24123057,0.4039406180381775,cg15836394,0.3905498683452606,cg06911282,0.3536764085292816
192855,cg12559685,0.24544696509838104,cg07871971,0.6423774361610413,cg08860498,0.6022319197654724,cg16308533,0.5906006693840027,cg11629889,0.5594479441642761,cg20841748,0.5512661933898926
347156,cg23935300,0.2281174659729004,cg21126828,0.21857038140296936,cg05726556,0.21184074878692627,cg13967414,0.21018856763839722,cg09302724,0.20995007455348969,cg24303478,0.20989103615283966
50228,cg02983451,0.22742798924446106,cg22541755,0.8636779189109802,cg23458613,0.8543389439582825,cg01354088,0.7699500322341919,cg12005760,0.749823272228241,cg26276650,0.6989004611968994
376729,cg26168643,0.20513513684272766,cg16787483,0.5964219570159912,cg09823859,0.5660958290100098,cg05757365,0.548575758934021,cg02611934,0.5441922545433044,cg00525681,0.5279667973518372
237085,cg15544650,0.20468981564044952,cg24758173,0.4211796224117279,cg16471084,0.40733736753463745,cg13690588,0.402506947517395,cg23350198,0.4014584422111511,cg20624980,0.39883658289909363
126336,cg07871971,0.19940878450870514,cg12559685,0.6423774361610413,cg08860498,0.6375827789306641,cg16308533,0.627095639705658,cg11629889,0.6217401623725891,cg21946667,0.4860874116420746
142143,cg08926713,0.17603382468223572,cg18280909,0.6981148719787598,cg24900542,0.6893979907035828,cg18505691,0.6093621850013733,cg13813710,0.35429519414901733,cg08179037,0.32690826058387756
62725,cg03760191,0.17339317500591278,cg09099868,0.620697021484375,cg18537454,0.6191321015357971,cg10804656,0.5536032319068909,cg13846270,0.5248755216598511,cg08274637,0.5187274813652039
280689,cg18752716,0.13857537508010864,cg01717881,0.5273885130882263,cg07393508,0.5221651196479797,cg07016060,0.5115303993225098,cg17938919,0.5103042721748352,cg06194479,0.5006264448165894
317448,cg21610439,0.13705812394618988,cg20699586,0.34266671538352966,cg02657401,0.34214672446250916,cg15811515,0.3393554091453552,cg18675097,0.33731716871261597,cg11254700,0.3361752927303314
170292,cg10899301,0.1312861293554306,cg13373589,0.361555278301239,cg16226962,0.3538071811199188,cg17338430,0.3478999435901642,cg22265644,0.34602007269859314,cg15054725,0.3455255627632141
130198,cg08128680,0.12016510218381882,cg26889367,0.624887228012085,cg03849685,0.5571696162223816,cg23386807,0.5510706305503845,cg19839691,0.4804217517375946,cg02065795,0.4708034098148346
387785,cg26935102,0.1083076223731041,cg11529924,0.3170773386955261,cg25371036,0.30893629789352417,cg27409802,0.3072368800640106,cg14966878,0.30567407608032227,cg02438164,0.3008323907852173
207182,cg13590117,0.10212506353855133,cg07804728,0.24608135223388672,cg21453840,0.23924383521080017,cg22641350,0.23797038197517395,cg10510478,0.23358701169490814,cg09562563,0.23102566599845886
227410,cg14800351,0.09184496104717255,cg07478918,0.707383394241333,cg25764105,0.5645071864128113,cg00307066,0.50799560546875,cg21582373,0.4821537137031555,cg21163429,0.47300204634666443
145683,cg09180512,0.08765925467014313,cg22202401,0.28912806510925293,cg06852203,0.28323715925216675,cg03487897,0.22759564220905304,cg04238274,0.2179783135652542,cg09388160,0.20988647639751434
390122,cg27101452,0.08045896887779236,cg09315878,0.3758615255355835,cg27150870,0.3261743485927582,cg26282887,0.31611138582229614,cg08450017,0.31115424633026123,cg14531564,0.31105390191078186
376509,cg26154534,0.07802177220582962,cg20221591,0.4067273437976837,cg13749477,0.36395925283432007,cg22062537,0.3544275760650635,cg19757382,0.30728837847709656,cg07628769,0.3037443161010742
238886,cg15668967,0.07579673826694489,cg23364541,0.36156466603279114,cg07059151,0.18612134456634521,cg26838691,0.18316946923732758,cg26809482,0.17962101101875305,cg15735721,0.17673751711845398
221464,cg14426312,0.0748530849814415,cg26046435,0.2647385597229004,cg27286069,0.261888325214386,cg19040509,0.2554285228252411,cg22240667,0.25483736395835876,cg11249998,0.2535335123538971
29183,cg01717881,0.07225985825061798,cg07393508,0.7466943264007568,cg06194479,0.7096330523490906,cg07016060,0.6740772724151611,cg02990361,0.6630076766014099,cg13857689,0.6568161845207214
327043,cg22407458,0.06674601137638092,cg25299750,0.850318193435669,cg04812556,0.49668124318122864,cg21646955,0.4927746653556824,cg00491180,0.4463205337524414,cg07461772,0.44114696979522705
55657,cg03329165,0.06453631073236465,cg07251099,0.6674445867538452,cg04367486,0.5910472869873047,cg01031032,0.4765107035636902,cg09006015,0.2944077253341675,cg10777851,0.26804399490356445
