class,cg14337027,cg11777506,cg02052915,cg07263322,cg13017471,cg03151469,cg16001135,cg05678033,cg11675098,cg23345340,cg05162320,cg07263393,cg08121954,cg17560338,cg18731546,cg22117637,cg02069243,cg04656009,cg07090424,cg22191277,cg16174681,cg25148025,cg06289444,cg10796078,cg07851948,cg02349416,cg20840778,cg21253742,cg23982212,cg06646588,cg09641127,cg06583577,cg01248426,cg16334629,cg09812397,cg21128569,cg27038382,cg09191574,cg06957181,cg14339116,cg25477497,cg17233517,cg03052172,cg16166802,cg26218466,cg07539927,cg22036614,cg14065109,cg13025283,cg19190016
1.0,0.550378,0.597191,0.427964,0.520788,0.847875,0.540826,0.775312,0.840226,0.752918,0.897948,0.689291,0.261172,0.887479,0.0264235,0.730887,0.776928,0.772343,0.668746,0.780033,0.973911,0.494242,0.306992,0.872354,0.0346857,0.921407,0.911908,0.940733,0.701427,0.767006,0.600531,0.722448,0.760968,0.679077,0.0367323,0.657607,0.570874,0.662786,0.828201,0.914282,0.894061,0.598634,0.929728,0.937702,0.0136931,0.0190882,0.516399,0.873885,0.629478,0.88406,0.633832
1.0,0.21144,0.795973,0.328916,0.689641,0.87765,0.64186,0.808143,0.463113,0.76348,0.929359,0.757593,0.414195,0.901401,0.0521851,0.824356,0.818594,0.773741,0.73311,0.791673,0.968372,0.631617,0.506185,0.913699,0.0385225,0.936681,0.918395,0.922311,0.687492,0.814003,0.629682,0.885973,0.793266,0.64887,0.0845869,0.678288,0.581956,0.67967,0.82794,0.918353,0.901412,0.625557,0.933143,0.894952,0.0153742,0.0147756,0.525696,0.888032,0.628799,0.937676,0.786425
1.0,0.289157,0.811004,0.374988,0.789472,0.928333,0.542254,0.807503,0.697415,0.774288,0.912358,0.772863,0.308891,0.931835,0.0276501,0.787422,0.810081,0.881902,0.757525,0.831248,0.979447,0.700095,0.388164,0.902891,0.0208449,0.933165,0.958419,0.928585,0.776811,0.861046,0.664129,0.840885,0.793821,0.696679,0.0658096,0.7456,0.725264,0.729677,0.895078,0.920183,0.924609,0.702243,0.93704,0.953379,0.0114673,0.013544,0.544811,0.916228,0.718644,0.944311,0.826224
1.0,0.231626,0.758103,0.314524,0.531181,0.82884,0.568895,0.786009,0.884027,0.689094,0.898509,0.781343,0.50101,0.931053,0.0250063,0.753176,0.764914,0.796565,0.699233,0.784347,0.980026,0.524553,0.471943,0.884305,0.0341034,0.924227,0.927229,0.947249,0.553692,0.792542,0.64933,0.824781,0.752121,0.639902,0.0491999,0.641067,0.649374,0.684678,0.830343,0.866129,0.903261,0.536857,0.921874,0.929559,0.0108937,0.0175055,0.545571,0.876821,0.631224,0.943704,0.774782
1.0,0.337108,0.737601,0.451571,0.742745,0.893565,0.576847,0.868196,0.698376,0.732232,0.929711,0.795417,0.211327,0.939684,0.0381624,0.821962,0.820376,0.842824,0.704722,0.806562,0.977002,0.539748,0.317285,0.906758,0.0220176,0.945558,0.925821,0.928973,0.790337,0.860957,0.713819,0.835673,0.828471,0.703403,0.0808068,0.822959,0.585886,0.728989,0.871352,0.917504,0.918027,0.711663,0.953526,0.947819,0.0114823,0.0137411,0.588473,0.913613,0.64237,0.934386,0.763456
1.0,0.267871,0.707414,0.244527,0.6752,0.847199,0.565748,0.800342,0.771219,0.69623,0.900531,0.789943,0.531757,0.879853,0.0395965,0.735003,0.773851,0.795254,0.731437,0.807096,0.97621,0.543778,0.350323,0.906143,0.0260517,0.936647,0.924718,0.930288,0.73457,0.830757,0.663568,0.813313,0.790347,0.662585,0.063421,0.656241,0.658023,0.713323,0.874381,0.91329,0.923642,0.604929,0.949217,0.948656,0.0147211,0.0128922,0.551083,0.879851,0.666739,0.926508,0.762414
1.0,0.185077,0.856853,0.254756,0.809887,0.860105,0.734878,0.778217,0.800664,0.798524,0.901034,0.816399,0.489117,0.935494,0.0344558,0.808065,0.848198,0.832037,0.619598,0.83208,0.976111,0.720978,0.60393,0.909545,0.0283636,0.937497,0.928241,0.919511,0.693223,0.82489,0.645576,0.88991,0.86038,0.724289,0.109352,0.711802,0.558358,0.730657,0.871803,0.911806,0.918013,0.671906,0.929234,0.937094,0.0140148,0.0172085,0.598799,0.887324,0.730375,0.928232,0.795555
1.0,0.230489,0.763125,0.339705,0.676106,0.876808,0.634086,0.823331,0.826756,0.769782,0.862558,0.722686,0.420152,0.91306,0.0309259,0.797412,0.803815,0.784216,0.728397,0.732312,0.975981,0.578614,0.46256,0.889432,0.0279265,0.930603,0.922465,0.911546,0.739205,0.803859,0.645941,0.866077,0.814765,0.722306,0.0932437,0.65669,0.603474,0.728131,0.827271,0.91283,0.900144,0.595114,0.905219,0.932639,0.0160262,0.017997,0.573034,0.885753,0.654103,0.918508,0.828103
1.0,0.290283,0.832841,0.378859,0.745096,0.910617,0.564807,0.816591,0.708161,0.754608,0.908093,0.806785,0.277997,0.919665,0.0338738,0.775035,0.814808,0.850585,0.711914,0.782193,0.975086,0.648985,0.366243,0.910879,0.0280459,0.92273,0.907505,0.859341,0.798189,0.840823,0.71639,0.815094,0.826778,0.684393,0.0940724,0.671349,0.739838,0.73396,0.879371,0.900357,0.899471,0.680717,0.939797,0.947286,0.0140532,0.0158909,0.542424,0.889289,0.694382,0.937058,0.74262
1.0,0.170071,0.823063,0.20733,0.680225,0.859651,0.633601,0.77913,0.669577,0.745638,0.895534,0.795002,0.4862,0.928572,0.0294286,0.783343,0.820239,0.796309,0.803412,0.695067,0.975883,0.63383,0.513478,0.873804,0.0323693,0.925347,0.919142,0.948329,0.813216,0.80939,0.632525,0.867207,0.814172,0.727031,0.0841492,0.675833,0.419754,0.749773,0.858715,0.880871,0.885342,0.657365,0.939646,0.930336,0.0147258,0.0123638,0.540696,0.907781,0.646443,0.929339,0.742491
