class,cg27413732,cg27627006,cg03068376,cg10150615,cg26996201,cg24061542,cg04656009,cg00949670,cg00656478,cg15004938,cg00589181,cg08042322,cg07093324,cg09545123,cg04181864,cg05835416,cg19212550,cg17492891,cg14913676,cg26864230,cg14337027,cg25986322,cg01517148,cg05419984,cg00957480,cg09716038,cg11826008,cg02706575,cg13380204,cg04445570,cg05241830,cg15719025,cg16989822,cg25983288,cg07195224,cg14208041,cg07563765,cg19446838,cg01353960,cg00113117,cg22355463,cg13017471,cg13817545,cg20958098,cg08642716,cg07512295,cg24046864,cg11808459,cg15045943,cg09812397,cg00511596,cg01630567,cg15491094,cg21034183,cg01060952,cg26662007,cg01328621,cg13978347,cg09551996,cg16082606,cg26055718,cg02151101,cg07947533,cg16803064,cg18835596,cg26210364,cg15324185,cg04792024,cg19455335,cg13888445
1.0,0.0898217,0.268461,0.0429799,0.0391438,0.081454,0.0374778,0.668746,0.0278458,0.865587,0.79539,0.880654,0.803189,0.270428,0.0433068,0.957644,0.702796,0.826376,0.0135691,0.0463265,0.0506816,0.550378,0.765749,0.797462,0.0724875,0.779884,0.913099,0.727745,0.815674,0.46252,0.838324,0.826368,0.0655732,0.922772,0.961755,0.500194,0.64527,0.964047,0.0419206,0.75903,0.828301,0.0762142,0.847875,0.248756,0.837148,0.808098,0.519618,0.829591,0.536642,0.0355502,0.657607,0.0330294,0.0238351,0.804423,0.546004,0.0390585,0.0315064,0.847159,0.805008,0.0605352,0.0780032,0.882165,0.907533,0.0214691,0.776817,0.856391,0.829993,0.879596,0.841787,0.0239437,0.757076
1.0,0.0433151,0.478943,0.0346997,0.0542177,0.0167076,0.0493175,0.73311,0.0309332,0.855986,0.722293,0.837913,0.415319,0.588226,0.105958,0.857812,0.557288,0.895316,0.045765,0.0640443,0.0392374,0.21144,0.840809,0.782509,0.0915186,0.829879,0.924928,0.637491,0.812016,0.624215,0.902603,0.837817,0.112294,0.928401,0.958596,0.54061,0.405585,0.984199,0.0623097,0.820451,0.838249,0.105587,0.87765,0.294916,0.854127,0.81165,0.655203,0.868989,0.549172,0.0744125,0.678288,0.0484283,0.0344725,0.844325,0.484034,0.0451552,0.0277869,0.825016,0.802658,0.0481504,0.0879836,0.869581,0.901908,0.0132502,0.768428,0.845831,0.767033,0.90203,0.886902,0.0555631,0.803609
1.0,0.0532857,0.417468,0.0643553,0.082415,0.0114183,0.0303424,0.757525,0.0201737,0.944788,0.902881,0.916035,0.330058,0.347165,0.0677998,0.969451,0.495706,0.593908,0.0236659,0.0499812,0.0309581,0.289157,0.880459,0.924134,0.0723816,0.856508,0.961917,0.818433,0.87166,0.557355,0.890103,0.912546,0.0655421,0.924733,0.967754,0.735426,0.554313,0.964917,0.0303863,0.863004,0.900979,0.0527128,0.928333,0.256049,0.866855,0.891932,0.659864,0.959297,0.397786,0.0611048,0.7456,0.0228971,0.0228356,0.84691,0.598487,0.0472058,0.03158,0.848104,0.889362,0.0831885,0.0473931,0.824668,0.948962,0.0159336,0.87093,0.902276,0.831064,0.905977,0.868743,0.0432447,0.804331
1.0,0.0574692,0.342367,0.0272636,0.0444379,0.0411036,0.0406763,0.699233,0.0217103,0.835839,0.753189,0.806307,0.531365,0.162883,0.0353678,0.966146,0.658062,0.816224,0.0156021,0.033518,0.0266182,0.231626,0.804282,0.777399,0.0645492,0.812595,0.939486,0.662194,0.795805,0.58342,0.872612,0.859749,0.0511249,0.910021,0.968746,0.468176,0.541726,0.975759,0.0354503,0.762772,0.805227,0.0535355,0.82884,0.28321,0.83262,0.840074,0.597424,0.87217,0.504812,0.0358877,0.641067,0.0229515,0.0316796,0.835238,0.519344,0.035218,0.0231924,0.808991,0.768771,0.0619666,0.0287507,0.886561,0.912383,0.0202066,0.771117,0.829506,0.738717,0.865955,0.855952,0.0279358,0.790704
1.0,0.0708839,0.43956,0.150576,0.0660072,0.0285494,0.0553281,0.704722,0.031403,0.929772,0.876917,0.93578,0.308539,0.295293,0.0875084,0.96195,0.58453,0.6123,0.0307597,0.0351137,0.0448133,0.337108,0.896491,0.934721,0.0610361,0.850785,0.935217,0.800397,0.883509,0.577324,0.874179,0.884845,0.0579859,0.940944,0.959896,0.639884,0.578614,0.877504,0.0359907,0.902837,0.898713,0.0984534,0.893565,0.250592,0.88336,0.836145,0.739055,0.88281,0.420462,0.0506663,0.822959,0.025899,0.0306784,0.757262,0.592627,0.0345266,0.0218524,0.83313,0.853933,0.0601967,0.0358838,0.838928,0.936489,0.0303335,0.866688,0.822157,0.862558,0.927142,0.809302,0.0322997,0.829434
1.0,0.0534961,0.33261,0.0319026,0.0293319,0.0275957,0.0319415,0.731437,0.0244702,0.870461,0.800999,0.861426,0.657765,0.128786,0.0329985,0.962615,0.604349,0.856484,0.0166463,0.0440065,0.029503,0.267871,0.751977,0.793324,0.0593025,0.794111,0.886717,0.724187,0.789933,0.442762,0.857358,0.85084,0.0755105,0.907052,0.966032,0.417404,0.621359,0.972648,0.038963,0.793093,0.806642,0.0447944,0.847199,0.26053,0.835956,0.80892,0.505598,0.86381,0.589293,0.0243255,0.656241,0.0287846,0.0291821,0.772427,0.529529,0.0225038,0.0261123,0.801312,0.742559,0.0644676,0.0416621,0.896027,0.88763,0.0222792,0.788389,0.801235,0.726812,0.874799,0.869244,0.0301122,0.791876
1.0,0.0485444,0.522582,0.0404424,0.0821378,0.0124258,0.0486108,0.619598,0.0261754,0.900373,0.760093,0.923607,0.301211,0.156625,0.0612317,0.957859,0.532047,0.739164,0.0318923,0.0427682,0.031094,0.185077,0.830648,0.852055,0.083872,0.819307,0.926353,0.721209,0.799822,0.705571,0.865711,0.868135,0.0696581,0.924555,0.958759,0.520834,0.643083,0.973869,0.0590912,0.781231,0.771437,0.0719389,0.860105,0.281345,0.867127,0.849673,0.681289,0.877589,0.619011,0.0647821,0.711802,0.0304552,0.0376871,0.833149,0.551894,0.0419496,0.0262278,0.833042,0.801828,0.0523283,0.0435456,0.915431,0.916295,0.0279475,0.797757,0.865152,0.862393,0.910055,0.895241,0.043624,0.8224
1.0,0.0809222,0.406591,0.0467201,0.05576,0.0282148,0.0482805,0.728397,0.0329349,0.895379,0.803216,0.849336,0.463573,0.298784,0.0736498,0.955539,0.597007,0.800054,0.0346736,0.0452994,0.0612868,0.230489,0.8382,0.807961,0.0600794,0.793787,0.919101,0.737021,0.802069,0.528763,0.838804,0.80243,0.0719258,0.897842,0.96482,0.443801,0.573504,0.953153,0.0522599,0.825716,0.788032,0.0808082,0.876808,0.235522,0.805331,0.836784,0.541341,0.867525,0.618037,0.0464499,0.65669,0.0257019,0.0230656,0.729108,0.542801,0.0396849,0.0262862,0.7729,0.774119,0.0718837,0.0372859,0.89196,0.906221,0.0237691,0.78445,0.869937,0.72264,0.889191,0.835914,0.0423,0.757809
1.0,0.0670064,0.39503,0.0903417,0.0699022,0.040794,0.0635278,0.711914,0.0296735,0.909873,0.866417,0.915012,0.380801,0.310748,0.0808554,0.940127,0.501058,0.488818,0.0380058,0.0638498,0.0690786,0.290283,0.852679,0.910805,0.0724053,0.837337,0.933373,0.809848,0.861743,0.530963,0.890688,0.878972,0.134114,0.923901,0.934972,0.644215,0.515402,0.906655,0.0454899,0.857366,0.902033,0.0597636,0.910617,0.247306,0.872483,0.85238,0.617971,0.928678,0.32142,0.0575428,0.671349,0.0266537,0.0289684,0.819548,0.560262,0.0521301,0.0346075,0.831599,0.855421,0.0979117,0.0513969,0.767629,0.936259,0.0193811,0.862799,0.888875,0.830157,0.873371,0.845496,0.0602207,0.811459
1.0,0.0684477,0.403745,0.046123,0.035681,0.0541893,0.0397105,0.803412,0.0231684,0.850105,0.81681,0.885407,0.416575,0.306938,0.0598275,0.950521,0.576818,0.794245,0.0143947,0.0387157,0.0330061,0.170071,0.806223,0.804028,0.0665717,0.824623,0.931958,0.746247,0.801414,0.55953,0.798336,0.871307,0.0727326,0.888888,0.962244,0.520213,0.591179,0.971512,0.0467232,0.805276,0.796969,0.0506271,0.859651,0.296099,0.847096,0.823086,0.567756,0.869826,0.543301,0.0321667,0.675833,0.030706,0.0287501,0.796225,0.522723,0.0318385,0.0286197,0.849497,0.807287,0.0595837,0.0461895,0.902738,0.888349,0.0233099,0.779085,0.842869,0.761531,0.892867,0.857754,0.0362094,0.780864
