class,cg21051964,cg15256305,cg04875128,cg00590036,cg10584587,cg17590135,cg03735012,cg01953615,cg05453358,cg03127558,cg03545227,cg00135497,cg12559685,cg20002958,cg07804728,cg03354992,cg02983451,cg03760191,cg07871971,cg14710459,cg15544650,cg26168643,cg15896098,cg21399832,cg08926713,cg14527097,cg21610439,cg13590117,cg08874430,cg14800351
1.0,0.8773,0.116447,0.201264,0.101338,0.819037,0.961918,0.347914,0.749526,0.917958,0.921154,0.155073,0.644755,0.691721,0.870345,0.802142,0.123509,0.287072,0.834049,0.710834,0.801212,0.099936,0.525229,0.0177035,0.364187,0.782734,0.819485,0.811575,0.813142,0.0118749,0.471406
1.0,0.872593,0.12578,0.386283,0.154425,0.890593,0.963411,0.358986,0.745203,0.897336,0.872952,0.174749,0.700624,0.646684,0.841997,0.880792,0.188309,0.286633,0.756144,0.683729,0.822716,0.037041,0.514966,0.213125,0.465247,0.653982,0.890245,0.882836,0.930261,0.0134403,0.49374
1.0,0.937992,0.172886,0.0482444,0.118038,0.939017,0.965015,0.127589,0.699464,0.820114,0.916477,0.125575,0.976158,0.709591,0.900457,0.890489,0.0650135,0.156721,0.746795,0.734916,0.882261,0.0669926,0.559964,0.0105794,0.108298,0.570938,0.691451,0.780545,0.965932,0.00687234,0.555601
1.0,0.929291,0.108932,0.296457,0.132875,0.932285,0.964196,0.293041,0.740472,0.884231,0.940686,0.167993,0.738817,0.824751,0.88099,0.928504,0.130511,0.344323,0.827785,0.876567,0.621459,0.042741,0.596429,0.0154955,0.332848,0.815918,0.904083,0.851962,0.950286,0.00819201,0.495437
1.0,0.922791,0.0962084,0.0405235,0.167987,0.970457,0.948355,-0.016541,0.729707,0.734654,0.849019,0.151773,0.876853,0.749583,0.89589,0.905896,0.0567523,0.0128535,0.680073,0.835032,0.832222,-0.0040437,0.590673,0.00770364,0.048651,0.682915,0.918905,0.771714,0.949226,0.00860344,0.558771
1.0,0.881663,0.220221,0.318482,0.121143,0.969717,0.96881,0.419265,0.767996,0.826249,0.903561,0.17611,0.711512,0.840076,0.840689,0.838443,0.129654,0.376481,0.809479,0.83862,0.55792,0.0895242,0.555729,0.0127285,0.425916,0.73136,0.811215,0.844141,0.914572,0.00888548,0.482905
1.0,0.943771,0.602732,0.508536,0.108125,0.969474,0.427235,0.58413,0.78446,0.951056,0.93982,0.23712,0.858613,0.855104,0.870219,0.916394,0.297368,0.664157,0.926439,0.844501,0.805961,0.0480563,0.783986,0.0170731,0.586032,0.857585,0.889478,0.874075,0.948674,0.0107567,0.636174
1.0,0.791055,0.338473,0.393289,0.12922,0.935254,0.433566,0.384761,0.768462,0.942308,0.90952,0.221297,0.700197,0.642494,0.875922,0.922654,0.104106,0.304877,0.821009,0.693165,0.853565,0.0268258,0.735251,0.0110924,0.438648,0.791347,0.871006,0.837022,0.949845,0.0115617,0.484607
1.0,0.941638,0.263457,0.161918,0.195027,0.96472,0.425575,0.231215,0.722,0.727048,0.923182,0.16612,0.84904,0.694957,0.87244,0.91822,0.131417,0.194087,0.74955,0.783484,0.655697,0.0881705,0.557512,0.013791,0.178035,0.745573,0.890592,0.796822,0.937414,0.0109078,0.575797
1.0,0.812753,0.326107,0.339232,0.135218,0.934143,0.96877,0.360034,0.788071,0.926897,0.932777,0.182736,0.695008,0.79338,0.815445,0.876589,0.139986,0.280265,0.832232,0.798976,0.85573,0.122648,0.592026,0.0157723,0.375409,0.783352,0.922335,0.866744,0.905665,0.0130027,0.501964
1.0,0.925992,0.145458,-0.000280317,0.212171,0.950871,0.939967,0.051331,0.758478,0.333249,0.767392,0.191677,0.865784,0.769325,0.827775,0.928568,0.0530972,0.116134,0.702333,0.847694,0.586026,0.0631313,0.563366,0.044016,0.0347469,0.640054,0.898691,0.831593,0.93695,0.00680731,0.620834
1.0,0.928525,0.224345,0.234897,0.126835,0.942776,0.960063,0.511172,0.7556,0.984463,0.910085,0.186451,0.814112,0.906003,0.894273,0.894744,0.226466,0.674556,0.859545,0.906843,0.916529,0.0587344,0.604117,0.0275646,0.385662,0.724148,0.922363,0.822876,0.900285,0.00689084,0.58687
1.0,0.825081,0.298148,0.430995,0.120815,0.975978,0.971226,0.481823,0.803493,0.870944,0.600204,0.173718,0.675399,0.826771,0.861764,0.907539,0.0814255,0.307667,0.816357,0.840829,0.863181,0.0246638,0.706473,0.0102337,0.43267,0.726807,0.495756,0.896356,0.965595,0.00869896,0.49644
1.0,0.90902,0.230678,0.364125,0.101976,0.95171,0.965317,0.597176,0.871514,0.97603,0.95611,0.174537,0.784981,0.812066,0.855388,0.897251,0.223496,0.579757,0.941001,0.857951,0.668653,0.0694393,0.702461,0.00839109,0.289148,0.808862,0.820785,0.920104,0.97753,0.00630857,0.6448
1.0,0.884287,0.353677,0.368824,0.142653,0.965633,0.95167,0.501975,0.727945,0.915741,0.834371,0.184085,0.811863,0.810292,0.86792,0.910609,0.141064,0.308534,0.790469,0.819398,0.848949,0.0150254,0.684442,0.0106531,0.468087,0.8363,0.891776,0.870211,0.91513,0.0112567,0.521816
1.0,0.918926,0.293303,0.478502,0.145916,0.947526,0.425307,0.495957,0.797348,0.92274,0.885038,0.196099,0.778566,0.826023,0.906293,0.930113,0.108922,0.444141,0.837473,0.773576,0.844142,0.109689,0.741243,0.0163117,0.487107,0.806134,0.908055,0.830029,0.963763,0.0110626,0.523826
1.0,0.947025,0.279302,0.464875,0.146406,0.976726,0.971332,0.442027,0.760498,0.927756,0.93933,0.211214,0.779866,0.780735,0.883941,0.949783,0.111522,0.409383,0.836747,0.774645,0.836218,0.0552842,0.727727,0.0106127,0.467878,0.771191,0.860083,0.854468,0.923163,0.010034,0.550734
1.0,0.929561,0.391749,0.493107,0.172539,0.979439,0.95119,0.520512,0.804615,0.86557,0.933937,0.17087,0.844164,0.843218,0.882953,0.910552,0.307459,0.476181,0.863167,0.866178,0.857011,0.0390314,0.691517,0.0111985,0.497214,0.826685,0.895621,0.876831,0.94245,0.00898208,0.604037
1.0,0.922443,0.243833,0.301525,0.0967657,0.947088,0.960825,0.543983,0.768456,0.974252,0.84779,0.140977,0.710534,0.944396,0.902816,0.88393,0.107921,0.629905,0.926151,0.924819,0.896768,0.0622952,0.723094,0.0093255,0.444744,0.76244,0.896358,0.925951,0.914584,0.00496888,0.601858
1.0,0.884178,0.157604,0.414996,0.133199,0.946885,0.952637,0.376188,0.765305,0.890622,0.919587,0.218355,0.775418,0.813129,0.906841,0.909571,0.194923,0.407497,0.764183,0.782053,0.856753,0.0605714,0.630107,0.0122859,0.416617,0.886268,0.874369,0.847575,0.923327,0.00364849,0.528521
1.0,0.954889,0.297438,0.536121,0.109123,0.972782,0.959267,0.529041,0.773952,0.961219,0.933358,0.171072,0.851957,0.858628,0.906716,0.903406,0.219729,0.464445,0.880397,0.865603,0.809342,0.079609,0.540989,0.0174435,0.526352,0.90663,0.423668,0.894282,0.915357,0.00924008,0.568431
-1.0,0.921519,0.216515,0.284449,0.16812,0.970845,0.958116,0.347765,0.702946,0.832486,0.912398,0.173739,0.833395,0.798542,0.869215,0.890026,0.15984,0.35151,0.838189,0.85904,0.847389,0.0748986,0.62789,0.013781,0.345401,0.812062,0.926939,0.832746,0.93943,0.0119499,0.547984
-1.0,0.921245,0.323954,0.399664,0.12598,0.957606,0.952768,0.530427,0.744137,0.939439,0.922923,0.180153,0.80941,0.871803,0.891165,0.927578,0.29047,0.452546,0.862318,0.879667,0.799073,0.068336,0.647992,0.0231715,0.481895,0.819537,0.819098,0.834191,0.957552,0.0107922,0.555787
-1.0,0.930567,0.128278,0.121756,0.18962,0.977835,0.935043,0.109411,0.775476,0.687253,0.934004,0.183029,0.888514,0.769495,0.894178,0.917388,0.11001,0.107338,0.786381,0.825346,0.843098,0.0832453,0.594479,0.0146098,0.154653,0.681743,0.889723,0.821098,0.94991,0.00971983,0.56627
-1.0,0.860238,0.312597,0.410932,0.172852,0.961909,0.916612,0.444726,0.808197,0.892038,0.935596,0.216195,0.773329,0.872749,0.816822,0.910614,0.313825,0.401821,0.824243,0.857076,0.8838,0.077209,0.718643,0.0150524,0.441424,0.832969,0.872424,0.841237,0.95532,0.0111034,0.536003
-1.0,0.922904,0.437838,0.532157,0.150494,0.975039,0.956901,0.620371,0.850038,0.971557,0.940071,0.201271,0.848387,0.800991,0.875766,0.910715,0.255237,0.567064,0.923462,0.787756,0.862466,0.0801851,0.77174,0.0127592,0.622874,0.90472,0.889991,0.876578,0.962496,0.00984471,0.498616
-1.0,0.926117,0.533666,0.450288,0.126714,0.96298,0.939878,0.546988,0.866875,0.894083,0.899188,0.185899,0.700292,0.887925,0.890486,0.896363,0.230603,0.510695,0.865366,0.878404,0.859906,0.0222068,0.691881,0.0104523,0.447011,0.889772,0.916028,0.846094,0.903982,0.0100225,0.49513
-1.0,0.921561,0.23657,0.429701,0.158887,0.952002,0.964497,0.460874,0.720596,0.948977,0.880413,0.186454,0.779004,0.743916,0.914872,0.895074,0.225303,0.471985,0.91347,0.753005,0.859357,0.0571948,0.679551,0.0122473,0.404988,0.855958,0.921152,0.871407,0.908718,0.0101767,0.599866
-1.0,0.849037,0.303307,0.386877,0.169756,0.974923,0.939502,0.455275,0.791419,0.898419,0.945356,0.208284,0.801811,0.876867,0.84792,0.917422,0.313456,0.410565,0.823738,0.817686,0.856658,0.0486171,0.763521,0.0143038,0.408654,0.824269,0.887355,0.864884,0.952517,0.0102084,0.5472
-1.0,0.914459,0.221971,0.439592,0.188492,0.967545,0.976465,0.432718,0.780931,0.938294,0.934705,0.195357,0.785798,0.847035,0.90335,0.869474,0.295854,0.428291,0.902886,0.818791,0.853687,0.0506347,0.7505,0.0142108,0.490907,0.860373,0.913173,0.878373,0.948265,0.00875283,0.540469
-1.0,0.941243,0.267075,0.462203,0.155121,0.972674,0.962939,0.456117,0.780789,0.895802,0.926594,0.195384,0.797181,0.844512,0.913521,0.852555,0.162694,0.432563,0.847323,0.852273,0.848694,0.107513,0.705755,0.0143414,0.510384,0.801671,0.902032,0.857937,0.94471,0.0102751,0.506048
-1.0,0.92204,0.333384,0.430363,0.172671,0.932271,0.487923,0.52781,0.841534,0.957214,0.946113,0.206016,0.80466,0.837825,0.896829,0.884543,0.249453,0.506372,0.830867,0.806281,0.787032,0.0692811,0.652878,0.012949,0.491938,0.859127,0.878982,0.862936,0.934067,0.00878123,0.564456
