class,cg27413732,cg09545123,cg03068376,cg27627006,cg17098965,cg10150615,cg15004938,cg08042322,cg00656478,cg01517148,cg26864230,cg00589181,cg24343720,cg07512295,cg19212550,cg00949670,cg04656009,cg07563765,cg07195224,cg04312209,cg02379079,cg09363891,cg00957480,cg05835416,cg00113117,cg09812397,cg26996201,cg24061542,cg13017471,cg21546155
1.0,0.0898217,0.0433068,0.0429799,0.268461,0.235651,0.0391438,0.79539,0.803189,0.865587,0.797462,0.0506816,0.880654,0.670415,0.519618,0.826376,0.0278458,0.668746,0.964047,0.500194,0.395961,0.533505,0.686841,0.779884,0.702796,0.828301,0.657607,0.081454,0.0374778,0.847875,0.0918593
1.0,0.0433151,0.105958,0.0346997,0.478943,0.219022,0.0542177,0.722293,0.415319,0.855986,0.782509,0.0392374,0.837913,0.754693,0.655203,0.895316,0.0309332,0.73311,0.984199,0.54061,0.427581,0.613913,0.782685,0.829879,0.557288,0.838249,0.678288,0.0167076,0.0493175,0.87765,0.0407507
1.0,0.0532857,0.0677998,0.0643553,0.417468,0.639568,0.082415,0.902881,0.330058,0.944788,0.924134,0.0309581,0.916035,0.710226,0.659864,0.593908,0.0201737,0.757525,0.964917,0.735426,0.562009,0.704923,0.84289,0.856508,0.495706,0.900979,0.7456,0.0114183,0.0303424,0.928333,0.205805
1.0,0.0574692,0.0353678,0.0272636,0.342367,0.199798,0.0444379,0.753189,0.531365,0.835839,0.777399,0.0266182,0.806307,0.696395,0.597424,0.816224,0.0217103,0.699233,0.975759,0.468176,0.347415,0.531941,0.733083,0.812595,0.658062,0.805227,0.641067,0.0411036,0.0406763,0.82884,0.0617772
1.0,0.0708839,0.0875084,0.150576,0.43956,0.707689,0.0660072,0.876917,0.308539,0.929772,0.934721,0.0448133,0.93578,0.770214,0.739055,0.6123,0.031403,0.704722,0.877504,0.639884,0.455796,0.706434,0.842341,0.850785,0.58453,0.898713,0.822959,0.0285494,0.0553281,0.893565,0.227397
1.0,0.0534961,0.0329985,0.0319026,0.33261,0.201439,0.0293319,0.800999,0.657765,0.870461,0.793324,0.029503,0.861426,0.685319,0.505598,0.856484,0.0244702,0.731437,0.972648,0.417404,0.301891,0.572672,0.69023,0.794111,0.604349,0.806642,0.656241,0.0275957,0.0319415,0.847199,0.0657849
1.0,0.0485444,0.0612317,0.0404424,0.522582,0.326375,0.0821378,0.760093,0.301211,0.900373,0.852055,0.031094,0.923607,0.747395,0.681289,0.739164,0.0261754,0.619598,0.973869,0.520834,0.462623,0.602142,0.74671,0.819307,0.532047,0.771437,0.711802,0.0124258,0.0486108,0.860105,0.0306048
1.0,0.0809222,0.0736498,0.0467201,0.406591,0.319547,0.05576,0.803216,0.463573,0.895379,0.807961,0.0612868,0.849336,0.673243,0.541341,0.800054,0.0329349,0.728397,0.953153,0.443801,0.475629,0.587903,0.674699,0.793787,0.597007,0.788032,0.65669,0.0282148,0.0482805,0.876808,0.0479665
1.0,0.0670064,0.0808554,0.0903417,0.39503,0.743501,0.0699022,0.866417,0.380801,0.909873,0.910805,0.0690786,0.915012,0.740571,0.617971,0.488818,0.0296735,0.711914,0.906655,0.644215,0.453179,0.660283,0.796991,0.837337,0.501058,0.902033,0.671349,0.040794,0.0635278,0.910617,0.210525
1.0,0.0684477,0.0598275,0.046123,0.403745,0.318398,0.035681,0.81681,0.416575,0.850105,0.804028,0.0330061,0.885407,0.687524,0.567756,0.794245,0.0231684,0.803412,0.971512,0.520213,0.463266,0.625337,0.712663,0.824623,0.576818,0.796969,0.675833,0.0541893,0.0397105,0.859651,0.0682675
1.0,0.0567029,0.0885589,0.118043,0.540617,0.799518,0.107518,0.884155,0.296402,0.937101,0.919731,0.0404874,0.932653,0.727325,0.649315,0.551231,0.0373059,0.731777,0.887371,0.779015,0.480542,0.681776,0.782521,0.846264,0.599863,0.911903,0.708934,0.0741341,0.0445526,0.928289,0.178004
1.0,0.0618762,0.066804,0.0416422,0.27468,0.432732,0.124115,0.846982,0.860927,0.92074,0.843572,0.0206049,0.912881,0.671958,0.549159,0.839849,0.0350039,0.645861,0.976532,0.600459,0.427646,0.664005,0.685459,0.843361,0.705569,0.835289,0.758968,0.0487681,0.0405167,0.900153,0.0241468
1.0,0.0514136,0.0578244,0.0246725,0.518335,0.325075,0.110982,0.761301,0.465181,0.873169,0.780621,0.031574,0.84967,0.665532,0.535686,0.721287,0.0232268,0.750534,0.970993,0.454745,0.400997,0.606323,0.703347,0.824968,0.591117,0.802127,0.697397,0.0187812,0.0246883,0.864007,0.0727486
1.0,0.0470876,0.0533815,0.0267941,0.445354,0.270724,0.055146,0.772291,0.615643,0.928866,0.831446,0.0208782,0.918489,0.704122,0.597622,0.815818,0.0299408,0.798993,0.964052,0.465594,0.382371,0.615579,0.630408,0.845922,0.612187,0.800418,0.713068,0.0197211,0.0449486,0.900578,0.0457315
1.0,0.052525,0.0634742,0.0356038,0.502359,0.18035,0.0482786,0.765276,0.600615,0.851126,0.796646,0.0196777,0.835482,0.605081,0.607318,0.703999,0.0212452,0.579145,0.973549,0.435717,0.343086,0.556576,0.640751,0.816757,0.521396,0.763071,0.663497,0.025316,0.0380188,0.858435,0.0690268
1.0,0.0486528,0.0346429,0.0380931,0.389461,0.12585,0.0561734,0.77656,0.495802,0.853383,0.773505,0.0539266,0.829606,0.632506,0.522817,0.800266,0.0254258,0.652942,0.965402,0.393411,0.341929,0.546813,0.680736,0.829163,0.588112,0.785225,0.648275,0.0362238,0.0340568,0.840429,0.0841522
1.0,0.0683219,0.0775149,0.0282567,0.427319,0.315448,0.0758457,0.787645,0.591583,0.873045,0.789963,0.0426501,0.873621,0.678288,0.57596,0.797735,0.0404441,0.658752,0.974393,0.419874,0.354347,0.600169,0.631228,0.803526,0.600469,0.818889,0.714038,0.0102876,0.0527746,0.837057,0.0681053
1.0,0.0860335,0.0940938,0.0522689,0.35741,0.325143,0.112709,0.842849,0.674418,0.884876,0.837432,0.0572035,0.871256,0.714146,0.64285,0.753678,0.0325523,0.730975,0.93866,0.499801,0.372877,0.60725,0.768928,0.781294,0.603137,0.846249,0.728002,0.12109,0.0555905,0.869689,0.0818572
1.0,0.0524082,0.0570567,0.0331131,0.210042,0.0788695,0.0713335,0.786258,0.860916,0.862961,0.776891,0.0178742,0.919681,0.60833,0.397588,0.853394,0.0334703,0.688798,0.971902,0.447939,0.3352,0.592616,0.692388,0.877654,0.712675,0.796671,0.658667,0.0123814,0.0495402,0.896329,0.0216091
1.0,0.0639712,0.0845115,0.0399938,0.476685,0.457219,0.0682099,0.817153,0.546539,0.906281,0.874305,0.0430263,0.900565,0.752477,0.669779,0.792598,0.0294499,0.841297,0.957793,0.551541,0.408085,0.684432,0.793807,0.839442,0.601579,0.862952,0.762968,0.0530445,0.0561522,0.855192,0.116319
