FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
102568,cg06358970,1.0,cg10104482,0.4662266671657562,cg17842912,0.4596589505672455,cg17150474,0.4478748142719269,cg12443753,0.4443499445915222,cg22093805,0.4428750276565552
242478,cg15934776,0.4384017586708069,cg22039234,0.5853488445281982,cg25354918,0.5609108209609985,cg19542849,0.4398665726184845,cg11298724,0.3838610351085663,cg26355072,0.35039764642715454
390585,cg27133034,0.29833489656448364,cg05168229,0.40702924132347107,cg00004700,0.39176252484321594,cg21251203,0.39169958233833313,cg14327359,0.39029639959335327,cg07324245,0.3902874290943146
91985,cg05630556,0.2901511490345001,cg24053748,0.3992040455341339,cg02624770,0.3940666615962982,cg14380094,0.36709535121917725,cg12766736,0.3635067343711853,cg03711485,0.3634165823459625
354259,cg24461669,0.255694180727005,cg26811065,0.4550349712371826,cg14862171,0.37155959010124207,cg06194479,0.34656086564064026,cg15238467,0.3401285707950592,cg01842774,0.32974326610565186
374869,cg26037614,0.24547411501407623,cg03216529,0.4856390655040741,cg16761550,0.4843783974647522,cg20244474,0.4803510904312134,cg02538199,0.48012539744377136,cg26365553,0.4791266620159149
125673,cg07824824,0.24452608823776245,cg00491255,0.4453604221343994,cg03457195,0.42944401502609253,cg18217235,0.41752713918685913,cg08396985,0.41736939549446106,cg08703337,0.4134247303009033
221,cg00010954,0.2239992320537567,cg18217235,0.46297144889831543,cg00491255,0.4615958631038666,cg01791371,0.448444128036499,cg15509361,0.42157015204429626,cg09415754,0.4187345504760742
332310,cg22827250,0.2059800624847412,cg07274716,0.6595546007156372,cg22488797,0.578650176525116,cg22637594,0.5090863108634949,cg04931256,0.4523959159851074,cg13369325,0.44770169258117676
240306,cg15772025,0.14042460918426514,cg05876635,0.31249773502349854,cg13327846,0.30712971091270447,cg24515095,0.3038600981235504,cg23298782,0.30267131328582764,cg06330722,0.2973692715167999
373559,cg25940946,0.13746857643127441,cg14774086,0.7388555407524109,cg25037461,0.7209771871566772,cg20489026,0.486873984336853,cg11417653,0.48256441950798035,cg13552867,0.45634204149246216
38948,cg02308712,0.13673733174800873,cg00968270,0.4494010806083679,cg02576296,0.4231330156326294,cg04772241,0.4142294228076935,cg17149262,0.41109514236450195,cg19511382,0.4056834876537323
272284,cg18126442,0.13511645793914795,cg02931001,0.5510624647140503,cg00592781,0.5380322933197021,cg11229513,0.5326946973800659,cg13612083,0.5280075669288635,cg02488942,0.5174480676651001
19419,cg01108080,0.13407403230667114,cg22336774,0.49552810192108154,cg10286128,0.4716411828994751,cg23890800,0.4693845808506012,cg14603867,0.4686891436576843,cg08320059,0.4670177698135376
24382,cg01416891,0.11416490375995636,cg18217235,0.5294723510742188,cg11770080,0.47105059027671814,cg05940231,0.4691365659236908,cg03457195,0.46192389726638794,cg13223107,0.460646390914917
307350,cg20807545,0.10152257233858109,cg03739573,0.5777319669723511,cg15250797,0.4024665951728821,cg19761272,0.4023400545120239,cg07857469,0.39899569749832153,cg02418899,0.39858099818229675
99482,cg06132727,0.09746146947145462,cg13782301,0.4740319848060608,cg11945824,0.44555482268333435,cg22897615,0.43844324350357056,cg21401642,0.43419405817985535,cg10791959,0.4294114410877228
179809,cg11614451,0.08050501346588135,cg00702638,0.5612542629241943,cg13169065,0.5327562093734741,cg25272655,0.5306462049484253,cg26678012,0.5240126848220825,cg14592933,0.5211579203605652
326597,cg22372182,0.07979755103588104,cg05333568,0.8714286088943481,cg27202708,0.8533549904823303,cg21262649,0.836441695690155,cg26603179,0.8215160965919495,cg04926766,0.7713069915771484
379265,cg26343883,0.07942385971546173,cg19402991,0.6745542287826538,cg09729613,0.6008089184761047,cg27207308,0.5792047381401062,cg04920358,0.5789214372634888,cg20701689,0.5777291059494019
310292,cg21051964,0.07915184646844864,cg00135497,0.44221949577331543,cg09932758,0.4326840937137604,cg17134770,0.38248586654663086,cg04636402,0.36879342794418335,cg21784396,0.3670389652252197
147732,cg09320199,0.07840588688850403,cg16650677,0.4567480981349945,cg06402675,0.4078265428543091,cg17816637,0.38492417335510254,cg12667939,0.3694956600666046,cg16716189,0.3686392307281494
286618,cg19224645,0.07739897072315216,cg13202591,0.630388081073761,cg23237972,0.4431856870651245,cg13117164,0.34658122062683105,cg26224466,0.3463200628757477,cg21067341,0.33298397064208984
348929,cg24053748,0.07302320003509521,cg04128746,0.5696806311607361,cg23896164,0.4542064070701599,cg18313899,0.4415912628173828,cg18126442,0.4283299744129181,cg12109291,0.42581087350845337
100596,cg06211323,0.06627243757247925,cg13555662,0.5012623071670532,cg27014380,0.45556092262268066,cg11545720,0.44172823429107666,cg16830930,0.4382849931716919,cg23329272,0.43783605098724365
221211,cg14413721,0.0648561641573906,cg25124064,0.3203560709953308,cg03923966,0.3181004226207733,cg18761997,0.3125956952571869,cg13877109,0.3086971938610077,cg27584112,0.30456018447875977
290046,cg19489423,0.062171339988708496,cg03108419,0.48206713795661926,cg24726553,0.47805365920066833,cg07887012,0.4608883261680603,cg13529074,0.46077120304107666,cg08520191,0.4598129391670227
125376,cg07806886,0.06131679192185402,cg16648355,0.5729583501815796,cg01592801,0.5121254324913025,cg21336235,0.4975948929786682,cg23606718,0.4904344081878662,cg07354515,0.4743606448173523
142587,cg08957484,0.06117403879761696,cg03740978,0.4759277403354645,cg05213896,0.4732585549354553,cg16751357,0.472608745098114,cg01456368,0.46900221705436707,cg06636831,0.4683825969696045
121821,cg07570142,0.05931369960308075,cg24171907,0.4564773142337799,cg06733470,0.4332164525985718,cg11831043,0.428564190864563,cg17872757,0.42116019129753113,cg12970542,0.4176490306854248
327123,cg22417733,0.057888463139534,cg03707948,0.4654596447944641,cg04801402,0.419007271528244,cg21115608,0.40986764430999756,cg19267205,0.40882959961891174,cg02446871,0.4018002152442932
3367,cg00179374,0.05135047435760498,cg12293170,0.6721736192703247,cg00347757,0.3499145209789276,cg27421939,0.34970951080322266,cg16135698,0.3495323061943054,cg04423727,0.348050981760025
113415,cg07035704,0.04523944482207298,cg09135441,0.41377928853034973,cg21917090,0.4101612865924835,cg12804755,0.398642897605896,cg09767588,0.37101510167121887,cg08317284,0.36482277512550354
56098,cg03354508,0.04359059780836105,cg14224481,0.3059305250644684,cg01304575,0.30586546659469604,cg01071459,0.29897844791412354,cg14675404,0.2981198728084564,cg04760493,0.29737532138824463
297273,cg20002958,0.04083015397191048,cg20480274,0.37067732214927673,cg05621259,0.35757341980934143,cg03986578,0.3344044089317322,cg22595443,0.32196754217147827,cg16968885,0.3214321434497833
89413,cg05456022,0.038798265159130096,cg10679147,0.51701420545578,cg09441501,0.5054747462272644,cg05372260,0.5027030110359192,cg12104764,0.49410194158554077,cg12664207,0.49189311265945435
237994,cg15607142,0.03349318727850914,cg03919657,0.46597716212272644,cg08164191,0.437038779258728,cg07044422,0.42668208479881287,cg20040747,0.4263276755809784,cg10881749,0.4203633964061737
289550,cg19451698,0.028986159712076187,cg10523019,0.6295059323310852,cg02091109,0.4230646789073944,cg18190187,0.40680694580078125,cg12100751,0.40053218603134155,cg08863620,0.39021462202072144
200658,cg13172367,0.028908921405673027,cg19315854,0.474361389875412,cg13577149,0.45489948987960815,cg03903831,0.4543165862560272,cg23191950,0.4361323118209839,cg22668995,0.43507760763168335
122464,cg07608496,0.026541391387581825,cg06185817,0.3992013931274414,cg08923626,0.39654871821403503,cg21474955,0.39319348335266113,cg10840526,0.38672223687171936,cg14332223,0.3854130208492279
351467,cg24244437,0.02429259568452835,cg08313757,0.42807552218437195,cg05605029,0.41790586709976196,cg00917471,0.413675993680954,cg08848847,0.4130343198776245,cg14252141,0.4076039493083954
337593,cg23213696,0.023762110620737076,cg11614451,0.38116782903671265,cg25567963,0.362437903881073,cg04080270,0.36155062913894653,cg11353250,0.35741856694221497,cg20577205,0.3569163978099823
108618,cg06753057,0.01439971849322319,cg18496262,0.3079696595668793,cg23259381,0.3030703365802765,cg13978441,0.3026939928531647,cg05974178,0.2994064688682556,cg24236265,0.29146718978881836
166020,cg10588622,0.011335899122059345,cg16304215,0.3542035222053528,cg15299832,0.3533489406108856,cg04380340,0.3501802086830139,cg24874555,0.3485081195831299,cg19402991,0.3448382616043091
55655,cg03329148,0.010003446601331234,cg02081305,0.4658821225166321,cg04574826,0.4511067569255829,cg06982745,0.4498017430305481,cg08695912,0.4431873857975006,cg02725334,0.4414879083633423
109708,cg06816350,0.0093174884095788,cg04115185,0.7198867201805115,cg12924936,0.6473602652549744,cg08126875,0.428066223859787,cg17744883,0.420327752828598,cg05919044,0.38376185297966003
377773,cg26244738,0.008465832099318504,cg04917391,0.8227208852767944,cg12455762,0.8136354684829712,cg05894734,0.7879366874694824,cg06485940,0.7875210642814636,cg23735712,0.7841086983680725
41161,cg02444300,0.0037347336765378714,cg23142731,0.572856605052948,cg01096478,0.5472961068153381,cg14263942,0.5244537591934204,cg10678018,0.5132036209106445,cg03705926,0.5093980431556702
133777,cg08357627,0.0024454963859170675,cg10023178,0.3395163416862488,cg27119919,0.33345407247543335,cg16048817,0.32936397194862366,cg06266991,0.324217289686203,cg10002888,0.32362496852874756
183576,cg11864574,0.0009779445827007294,cg01978213,0.3840259313583374,cg07301044,0.3819557726383209,cg00491255,0.35626107454299927,cg23910413,0.35082343220710754,cg18303437,0.3464450538158417
