class,cg05415871,cg07804728,cg13202751,cg22736354,cg06489728,cg13939055,cg20003638,cg04836492,cg03735012,cg14383422,cg00135497,cg21946667,cg03127558,cg12559685,cg13493426,cg01596963,cg18192222,cg02886806,cg05028639,cg26333652,cg15792367,cg11788523,cg02404636,cg05599106,cg06818047,cg09603381,cg18074954,cg22407458,cg00461685,cg04071270
1.0,0.80478,0.777106,0.290767,0.147435,0.972861,0.271158,0.618983,0.884717,0.146258,0.139431,0.639832,0.49948,0.759974,0.594752,0.795641,0.401947,0.076116,0.758782,0.949843,0.445302,0.429921,0.19364,0.0223916,0.13366,0.850108,0.737226,0.0272539,0.197355,0.581309,0.700577
1.0,0.893383,0.810248,0.349366,0.263214,0.884995,0.398916,0.671313,0.877108,0.218401,0.270722,0.775147,0.642291,0.929032,0.748362,0.819176,0.497884,0.029242,0.912957,0.86248,0.585577,0.489563,0.322775,0.0338658,0.18837,0.670357,0.896683,0.296474,0.324794,0.822602,0.751677
1.0,0.796579,0.805156,0.3783,0.254818,0.976287,0.435409,0.642499,0.845342,0.354245,0.321491,0.736325,0.655624,0.911605,0.703115,0.848299,0.462709,0.0624866,0.828745,0.951072,0.514632,0.430852,0.277543,0.0290735,0.156189,0.833164,0.878436,0.125011,0.256889,0.703251,0.719992
1.0,0.829237,0.867013,0.369433,0.301044,0.974267,0.434402,0.717618,0.852757,0.375306,0.307726,0.670962,0.70113,0.907354,0.750362,0.846454,0.473852,0.0252413,0.832605,0.953295,0.598386,0.366855,0.331205,0.0279771,0.130803,0.911676,0.899651,0.277729,0.333377,0.651077,0.777599
1.0,0.938527,0.875315,0.399342,0.268259,0.973721,0.52328,0.748015,0.87027,0.4692,0.447738,0.79442,0.758744,0.922322,0.860307,0.900572,0.510048,0.0342073,0.888731,0.945127,0.560308,0.394946,0.300135,0.0294624,0.116731,0.915629,0.891956,0.12817,0.430998,0.725538,0.739146
1.0,0.893996,0.833262,0.374426,0.290828,0.968977,0.381008,0.685532,0.849164,0.539266,0.466896,0.665298,0.651947,0.861187,0.680924,0.844958,0.481182,0.030745,0.893856,0.823458,0.619218,0.391356,0.325473,0.034616,0.108225,0.836293,0.878834,0.208287,0.354295,0.629601,0.768924
1.0,0.952152,0.900171,0.339104,0.274922,0.913929,0.41577,0.705589,0.282457,0.428537,0.317287,0.771847,0.700095,0.903647,0.744269,0.818501,0.449643,0.111493,0.844022,0.949414,0.580212,0.412567,0.240702,0.220045,0.124749,0.816279,0.868964,0.0420642,0.315346,0.715278,0.806163
1.0,0.860574,0.886825,0.454867,0.258752,0.976348,0.387533,0.702941,0.878177,0.425336,0.404634,0.768727,0.700326,0.733691,0.668656,0.731843,0.473321,0.0202646,0.821832,0.895177,0.532903,0.419294,0.281544,0.0272643,0.122687,0.832539,0.902292,0.0694541,0.225054,0.68706,0.739173
1.0,0.680104,0.853847,0.41966,0.291348,0.968486,0.330104,0.753031,0.873387,0.423594,0.436383,0.839786,0.759985,0.921631,0.85667,0.812499,0.474686,0.0392113,0.761612,0.880432,0.522501,0.378938,0.325152,0.0280166,0.0889159,0.810851,0.857482,0.14085,0.34288,0.70536,0.779578
1.0,0.907231,0.893701,0.401741,0.283936,0.969392,0.361141,0.754593,0.886091,0.491859,0.423329,0.855712,0.783699,0.924537,0.832506,0.881511,0.530935,0.0348597,0.900529,0.890364,0.609525,0.341883,0.310856,0.0177768,0.100188,0.852536,0.93669,0.179335,0.262638,0.722044,0.771557
1.0,0.7404,0.763561,0.337391,0.275376,0.97556,0.333935,0.661745,0.820037,0.352093,0.0871969,0.602421,0.794005,0.819322,0.915598,0.677191,0.437551,0.0847507,0.705631,0.950979,0.432465,0.545251,0.191584,0.021851,0.130986,0.795096,0.827563,0.0809613,0.247664,0.680166,0.701596
1.0,0.954201,0.873826,0.415971,0.316788,0.9769,0.44635,0.790343,0.873274,0.508859,0.376248,0.795992,0.759164,0.935258,0.78801,0.885802,0.484646,0.0831437,0.88514,0.85743,0.673453,0.397432,0.324862,0.0358937,0.121635,0.906864,0.83873,0.262695,0.296245,0.704397,0.840742
1.0,0.958665,0.889249,0.428232,0.296457,0.97915,0.407062,0.729,0.871968,0.483883,0.354792,0.745647,0.714178,0.916863,0.776591,0.85869,0.495706,0.0257694,0.833866,0.950494,0.599307,0.44175,0.320078,0.0163185,0.11639,0.810999,0.87539,0.0604442,0.335546,0.687576,0.744826
1.0,0.962496,0.871948,0.373907,0.270089,0.976557,0.463335,0.728842,0.910583,0.437526,0.337175,0.763582,0.723329,0.896794,0.799247,0.914836,0.497135,0.0294256,0.87668,0.951386,0.562834,0.407964,0.315696,0.102059,0.0957339,0.859085,0.907266,0.166687,0.24736,0.814761,0.731831
1.0,0.958672,0.858773,0.38699,0.341761,0.94064,0.485025,0.744503,0.872598,0.439203,0.419107,0.808593,0.768174,0.910461,0.822491,0.879861,0.508622,0.10134,0.867965,0.944751,0.605542,0.428529,0.311719,0.0218849,0.0857099,0.872103,0.894862,0.137286,0.267492,0.724364,0.80072
1.0,0.971065,0.914459,0.395068,0.28885,0.971383,0.484135,0.787117,0.881278,0.454567,0.362588,0.814708,0.768709,0.953985,0.803521,0.886645,0.522418,0.0602114,0.903306,0.938792,0.550577,0.447076,0.302786,0.0230137,0.101747,0.869018,0.906418,0.343515,0.209729,0.761555,0.730362
1.0,0.967897,0.889069,0.427056,0.286258,0.952909,0.415973,0.801015,0.854894,0.547049,0.433069,0.76575,0.753135,0.921907,0.889555,0.886762,0.543488,0.0281377,0.88562,0.921489,0.633693,0.443364,0.392116,0.0265606,0.0722393,0.878518,0.925913,0.43319,0.417721,0.754941,0.778587
-1.0,0.93443,0.868669,0.470085,0.374354,0.976151,0.460709,0.822511,0.862994,0.488128,0.427443,0.811537,0.763702,0.902044,0.809461,0.826848,0.568351,0.018764,0.868066,0.964211,0.630559,0.400148,0.384732,0.0246809,0.105642,0.859154,0.888624,0.268224,0.386311,0.726414,0.840339
-1.0,0.92605,0.896808,0.436617,0.318229,0.973463,0.415931,0.777546,0.856786,0.538947,0.472069,0.810753,0.746769,0.926319,0.812786,0.92003,0.514262,0.0194817,0.905636,0.958099,0.647976,0.400412,0.347259,0.0354349,0.083722,0.794615,0.914068,0.294396,0.32868,0.805331,0.788029
-1.0,0.905877,0.880955,0.492545,0.327547,0.817131,0.412302,0.733454,0.879119,0.572618,0.503964,0.807597,0.803331,0.949738,0.862348,0.906878,0.557983,0.0309431,0.892536,0.945653,0.688432,0.324847,0.323795,0.0189356,0.0918146,0.881268,0.919996,0.369007,0.313478,0.807069,0.784487
-1.0,0.958454,0.901631,0.534461,0.364023,0.973737,0.523171,0.811773,0.872291,0.536546,0.429458,0.814498,0.796428,0.943039,0.846527,0.872152,0.621199,0.0274706,0.895082,0.93403,0.701445,0.327358,0.469541,0.0228849,0.0787384,0.884645,0.915634,0.393444,0.325091,0.79437,0.785201
-1.0,0.955785,0.913905,0.400996,0.346406,0.977281,0.51122,0.701391,0.869204,0.513288,0.37946,0.825343,0.744782,0.947212,0.817725,0.854868,0.506364,0.0311608,0.867197,0.903293,0.660146,0.286243,0.330794,0.0345812,0.0763449,0.837633,0.87619,0.348863,0.530207,0.73532,0.768381
-1.0,0.963511,0.892322,0.578105,0.35724,0.977927,0.507266,0.817307,0.858823,0.61742,0.623716,0.82106,0.824405,0.953858,0.864593,0.909672,0.526324,0.017661,0.802509,0.955057,0.716168,0.313975,0.381009,0.028179,0.091672,0.754851,0.919946,0.437533,0.358571,0.78752,0.828963
-1.0,0.947845,0.888305,0.45051,0.329443,0.978307,0.492738,0.776931,0.903212,0.518557,0.406798,0.732075,0.821893,0.903044,0.867172,0.903016,0.498512,0.016088,0.872528,0.860846,0.595328,0.385995,0.246564,0.0249498,0.072251,0.930139,0.938294,0.203498,0.34878,0.747639,0.798891
-1.0,0.946919,0.927303,0.47632,0.368201,0.974372,0.519881,0.842758,0.86661,0.515605,0.487589,0.839075,0.776093,0.937409,0.87529,0.91843,0.563129,0.0262334,0.879796,0.952776,0.630092,0.383392,0.345666,0.0286963,0.0921349,0.840255,0.911763,0.400649,0.343782,0.798198,0.777627
-1.0,0.958171,0.887868,0.499428,0.350183,0.977427,0.521095,0.845458,0.869448,0.551666,0.565009,0.836615,0.814903,0.955845,0.855177,0.855994,0.608441,0.046716,0.892529,0.94992,0.675244,0.387392,0.431696,0.0296806,0.124939,0.887122,0.934738,0.423766,0.420012,0.812533,0.808658
-1.0,0.970658,0.916909,0.434975,0.300452,0.979256,0.546802,0.809557,0.88622,0.459528,0.381756,0.829093,0.79562,0.937891,0.909797,0.927988,0.568589,0.0219689,0.921155,0.927806,0.586453,0.573508,0.322864,0.030336,0.113871,0.775682,0.92538,0.322321,0.25413,0.865118,0.789644
-1.0,0.971166,0.91952,0.382376,0.253835,0.968226,0.543231,0.837559,0.874352,0.397818,0.263055,0.815465,0.765406,0.973419,0.866506,0.921889,0.55903,0.0332914,0.890843,0.894512,0.591102,0.560069,0.310145,0.0252831,0.102268,0.895251,0.899772,0.130826,0.216487,0.745601,0.738189
-1.0,0.906422,0.888645,0.48886,0.332219,0.97685,0.437732,0.745042,0.906376,0.520404,0.570849,0.830015,0.76731,0.90149,0.810596,0.914266,0.526142,0.0736051,0.870632,0.948131,0.641205,0.302285,0.36404,0.0284864,0.0731933,0.937979,0.894036,0.320603,0.418189,0.747353,0.855192
-1.0,0.942121,0.915192,0.430119,0.289341,0.9791,0.393033,0.765669,0.862921,0.532426,0.442542,0.829184,0.734984,0.917825,0.779325,0.902691,0.534077,0.0286742,0.895232,0.946633,0.581068,0.333732,0.393533,0.0298645,0.0864834,0.846693,0.877132,0.189767,0.368735,0.707369,0.801725
-1.0,0.936193,0.897226,0.501647,0.343029,0.976593,0.578285,0.797908,0.876892,0.532735,0.527878,0.826687,0.80364,0.938098,0.89711,0.899708,0.538174,0.0366765,0.897337,0.955085,0.620496,0.34274,0.394967,0.0298176,0.0874592,0.898632,0.883722,0.434869,0.382527,0.81728,0.783636
-1.0,0.957671,0.840009,0.430744,0.273129,0.975354,0.443558,0.768039,0.854328,0.57683,0.561719,0.877512,0.771556,0.928051,0.812574,0.891055,0.540786,0.0244066,0.897678,0.957477,0.682095,0.360711,0.346386,0.0225946,0.0765485,0.886911,0.924643,0.444905,0.334299,0.759288,0.837304
-1.0,0.95691,0.883893,0.392536,0.342702,0.91408,0.574738,0.876803,0.861517,0.503442,0.446054,0.827867,0.804661,0.947216,0.836699,0.908148,0.517849,0.0430483,0.882904,0.936276,0.65757,0.47315,0.364927,0.0255855,0.0988683,0.726637,0.906716,0.112184,0.285595,0.771095,0.805889
-1.0,0.958749,0.900164,0.457482,0.357528,0.979671,0.575825,0.864171,0.902219,0.567595,0.56337,0.857913,0.78659,0.954976,0.836267,0.846234,0.595793,0.0311197,0.85784,0.956297,0.697219,0.404372,0.432673,0.0301796,0.122943,0.893777,0.912245,0.359204,0.378015,0.754675,0.770329
-1.0,0.966151,0.897804,0.464817,0.294518,0.972263,0.48628,0.760596,0.861355,0.481354,0.429799,0.859357,0.758102,0.899566,0.831114,0.853365,0.533716,0.246932,0.840997,0.950743,0.627543,0.437193,0.412136,0.026399,0.142657,0.922768,0.899786,0.0678276,0.380799,0.783122,0.832468
-1.0,0.956656,0.921223,0.520841,0.329739,0.976714,0.537691,0.795861,0.865462,0.507101,0.521867,0.832013,0.813438,0.936862,0.877636,0.924401,0.545031,0.0313082,0.920391,0.946904,0.670356,0.413017,0.340635,0.028401,0.0871693,0.934138,0.898643,0.198131,0.426854,0.817953,0.754341
