FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
88937,cg05415871,1.0,cg22641350,0.7734156847000122,cg24530480,0.5256878733634949,cg04507915,0.35065919160842896,cg21453840,0.33153653144836426,cg08396985,0.32252252101898193
125331,cg07804728,0.7516676783561707,cg22641350,0.30883079767227173,cg05415871,0.2884342074394226,cg08839164,0.2804015278816223,cg23792115,0.27421435713768005,cg00635674,0.2735184133052826
104451,cg06489728,0.507928729057312,cg25805837,0.2575744092464447,cg01411255,0.24291087687015533,cg03040554,0.2357819378376007,cg27324327,0.21489731967449188,cg21490485,0.21254442632198334
331104,cg22736354,0.47217923402786255,cg20697984,0.5047286748886108,cg06497198,0.4812265634536743,cg24745495,0.4401549994945526,cg23444265,0.4362601935863495,cg11846112,0.43067947030067444
79593,cg04836492,0.46904245018959045,cg17514168,0.4160085916519165,cg00821186,0.32899659872055054,cg18315861,0.32712480425834656,cg08118287,0.2874644696712494,cg22673542,0.24006101489067078
201033,cg13202751,0.38021084666252136,cg14502484,0.6681562066078186,cg18020955,0.5244487524032593,cg06804778,0.5180287957191467,cg11663667,0.5069291591644287,cg13690424,0.5060644745826721
40657,cg02404636,0.36776697635650635,cg20820438,0.2406063824892044,cg19412076,0.23959818482398987,cg19879265,0.23654161393642426,cg09081385,0.23308712244033813,cg04879832,0.23104143142700195
213079,cg13939055,0.34860503673553467,cg13808012,0.6586113572120667,cg00823843,0.5816305875778198,cg05965387,0.37859392166137695,cg08274637,0.3654230535030365,cg10804656,0.3600618541240692
297288,cg20003638,0.3226166367530823,cg01460436,0.5364471077919006,cg07060233,0.5220707654953003,cg06132069,0.44663944840431213,cg01287088,0.42162269353866577,cg04359418,0.4135380685329437
2573,cg00135497,0.3222905695438385,cg01511232,0.6499906182289124,cg08271909,0.5256821513175964,cg02032558,0.49260228872299194,cg12635937,0.3842698037624359,cg22398226,0.37936529517173767
67921,cg04097388,0.28639569878578186,cg17653955,0.5482575297355652,cg01206017,0.4764717221260071,cg23246666,0.35928642749786377,cg16053920,0.21749632060527802,cg17041152,0.2162516564130783
48524,cg02886806,0.2841777503490448,cg11342468,0.2853682339191437,cg02125910,0.2848103940486908,cg22709192,0.2814484238624573,cg13690424,0.27020734548568726,cg00272200,0.2663131356239319
