class,cg27413732,cg26864230,cg07804728,cg21946667,cg20716209,cg24046864,cg19212550,cg21051964,cg21948655,cg22407458,cg10462643,cg11693709,cg27349795,cg17492891,cg05415871,cg01338084,cg05835416,cg10678486,cg04500632,cg07676859,cg17590135,cg13590117,cg10150615,cg10334121,cg09545123,cg26996201,cg27009008,cg01248426,cg23099959,cg22641350,cg25141069,cg04704634,cg04875128,cg03068376,cg02061431,cg05714219,cg22052948,cg15004938,cg06804311,cg25986322,cg02825728,cg14862260,cg11354603,cg08957018,cg12624829,cg05634428,cg05241830,cg27627006,cg06475503,cg18764516,cg22867629,cg23843090,cg00656478,cg05070626,cg05419984,cg23018039,cg20488820,cg03760191,cg26154534,cg08185095,cg22209441,cg00949670,cg05212836,cg21375869,cg26333652,cg27138727,cg17208530,cg11851429,cg23668257,cg02515103,cg20416129,cg06359059,cg05482498,cg19998533,cg11969637,cg01517148,cg13956443,cg02255700,cg12559685,cg15094912,cg11826324,cg01970427,cg17371436,cg08327690,cg11691214,cg04992576,cg14640772,cg26916609,cg22850234,cg26614578,cg05497345,cg02558362,cg13969273,cg05886952,cg14992768,cg07010687,cg21492137,cg14046414,cg05549611,cg04475375
1.0,0.0898217,0.0506816,0.802142,0.63326,0.0316082,0.829591,0.826376,0.8773,0.855413,0.359907,0.741594,0.7419,0.0290026,0.0135691,0.929554,0.221554,0.702796,0.0272319,0.886985,0.418401,0.961918,0.813142,0.0391438,0.72322,0.0433068,0.081454,0.0111334,0.679077,0.874303,0.927986,0.0189767,0.817264,0.201264,0.0429799,0.0665054,0.031027,0.257691,0.79539,0.97811,0.765749,0.666374,0.861039,0.499543,0.0181807,0.0227912,0.442994,0.826368,0.268461,0.947726,0.0266269,0.754148,0.890593,0.865587,0.0630876,0.0724875,0.932901,0.127832,0.834049,0.261936,0.690978,0.722656,0.0278458,0.0395265,0.135082,0.476551,0.025752,0.781906,0.00952819,0.0424816,0.023339,0.899495,0.025685,0.108625,0.55383,0.720268,0.797462,0.867539,0.0668665,0.691721,0.0313907,0.687319,0.906574,0.0335714,0.0176618,0.0759056,0.827526,0.0848345,0.957478,0.0319784,0.0257335,0.0932267,0.432692,0.0312571,0.0168546,0.753209,0.795231,0.812881,0.836379,0.834669,0.0641428
1.0,0.0433151,0.0392374,0.880792,0.640344,0.0461886,0.868989,0.895316,0.872593,0.879631,0.366933,0.767902,0.770947,0.0300123,0.045765,0.760213,0.0290103,0.557288,0.0429706,0.882984,0.490595,0.963411,0.930261,0.0542177,0.911858,0.105958,0.0167076,0.0427761,0.64887,0.849386,0.834716,0.0134706,0.805837,0.386283,0.0346997,0.0771683,0.0276394,0.370722,0.722293,0.978283,0.840809,0.758204,0.962491,0.482752,0.0364705,0.0217636,0.578913,0.837817,0.478943,0.955155,0.0292081,0.843564,0.864526,0.855986,0.0594023,0.0915186,0.92286,0.167016,0.756144,0.130619,0.368935,0.736071,0.0309332,0.036941,0.144907,0.633344,0.037882,0.811971,0.0162951,0.145728,0.0360484,0.866773,0.0298758,0.31832,0.479697,0.83194,0.782509,0.9018,0.128342,0.646684,0.0374154,0.693077,0.795016,0.0356678,0.0463797,0.073411,0.808306,0.0696907,0.84704,0.0235299,0.0396805,0.122872,0.226331,0.0218995,0.0154024,0.832608,0.756141,0.799945,0.828547,0.789097,0.106866
1.0,0.0532857,0.0309581,0.890489,0.578636,0.0170434,0.959297,0.593908,0.937992,0.933391,0.321797,0.914235,0.849386,0.0243486,0.0236659,0.958989,0.0192965,0.495706,0.0395063,0.919301,0.0535312,0.965015,0.965932,0.082415,0.911978,0.0677998,0.0114183,0.00750825,0.696679,0.872137,0.957571,0.0181119,0.846909,0.0482444,0.0643553,0.0538848,0.0254054,0.181173,0.902881,0.982349,0.880459,0.833936,0.891545,0.248386,0.0234467,0.0143642,0.703121,0.912546,0.417468,0.932202,0.0239101,0.850871,0.926153,0.944788,0.0894363,0.0723816,0.95245,0.0711841,0.746795,0.170506,0.287015,0.777565,0.0201737,0.0397149,0.250835,0.270494,0.0279726,0.834631,0.0275454,0.045057,0.0322376,0.903975,0.0185904,0.255588,0.638739,0.771775,0.924134,0.916757,0.0868923,0.709591,0.0237609,0.828886,0.924998,0.0277825,0.018639,0.129754,0.865807,0.0848268,0.955168,0.0258605,0.0514549,0.161269,0.333995,0.0223842,0.0125077,0.86438,0.81503,0.903468,0.905911,0.845677,0.107932
1.0,0.0574692,0.0266182,0.928504,0.744909,0.0734553,0.87217,0.816224,0.929291,0.909624,0.419081,0.844987,0.749147,0.0260304,0.0156021,0.897023,0.0200918,0.658062,0.0457052,0.890394,0.384418,0.964196,0.950286,0.0444379,0.875065,0.0353678,0.0411036,0.00861912,0.639902,0.914137,0.938571,0.0147177,0.837474,0.296457,0.0272636,0.048924,0.0183331,0.357044,0.753189,0.983335,0.804282,0.654159,0.936657,0.64543,0.0208136,0.0269674,0.642741,0.859749,0.342367,0.952968,0.0188803,0.81679,0.873429,0.835839,0.0562639,0.0645492,0.94783,0.152618,0.827785,0.31012,0.498593,0.728563,0.0217103,0.0288596,0.13631,0.381543,0.037622,0.775112,0.00432946,0.0409363,0.0188557,0.874528,0.0307435,0.115613,0.5551,0.719217,0.777399,0.910657,0.0569753,0.824751,0.0250049,0.723546,0.948566,0.0307206,0.0843238,0.0630425,0.841267,0.0970257,0.960644,0.0198926,0.027913,0.117768,0.267368,0.0227881,0.0129785,0.753614,0.808289,0.879882,0.850334,0.77786,0.0610629
1.0,0.0708839,0.0448133,0.905896,0.61134,0.023073,0.88281,0.6123,0.922791,0.9059,0.198455,0.902291,0.765074,0.0223737,0.0307597,0.958354,0.017089,0.58453,0.0430107,0.88348,0.0817264,0.948355,0.949226,0.0660072,0.892854,0.0875084,0.0285494,0.00759234,0.703403,0.907272,0.948731,0.0160365,0.82574,0.0405235,0.150576,0.0426663,0.0283947,0.163824,0.876917,0.982847,0.896491,0.833896,0.880321,0.27228,0.0338011,0.0196133,0.652997,0.884845,0.43956,0.947895,0.0181414,0.868008,0.917549,0.929772,0.143691,0.0610361,0.948613,0.0913049,0.680073,0.11129,0.164149,0.803676,0.031403,0.0237048,0.231102,0.124747,0.036117,0.802433,0.0183872,0.04315,0.0283731,0.901507,0.0146537,0.194963,0.652054,0.669583,0.934721,0.927635,0.113279,0.749583,0.030267,0.858524,0.890376,0.0244045,0.0247579,0.0458578,0.849907,0.121819,0.95466,0.0218906,0.0439176,0.125444,0.419765,0.0208297,0.0102776,0.832964,0.795294,0.894953,0.921677,0.86982,0.111768
1.0,0.0534961,0.029503,0.838443,0.77574,0.0268748,0.86381,0.856484,0.881663,0.855991,0.35451,0.77627,0.703459,0.0350175,0.0166463,0.955009,0.0206511,0.604349,0.0330349,0.916632,0.573629,0.96881,0.914572,0.0293319,0.883488,0.0329985,0.0275957,0.00913162,0.662585,0.885786,0.962699,0.0158325,0.823735,0.318482,0.0319026,0.0774532,0.0453314,0.416989,0.800999,0.977516,0.751977,0.722539,0.915895,0.640473,0.0174322,0.0187959,0.49334,0.85084,0.33261,0.945315,0.0240243,0.78062,0.869509,0.870461,0.0772005,0.0593025,0.947129,0.0966073,0.809479,0.212191,0.517611,0.735136,0.0244702,0.0337044,0.175252,0.560764,0.0452716,0.737145,0.0111249,0.054772,0.028262,0.89104,0.0241358,0.223045,0.512233,0.705371,0.793324,0.864352,0.0548941,0.840076,0.0265952,0.707625,0.928788,0.0333466,0.050035,0.0911258,0.848651,0.100281,0.816304,0.029658,0.0363757,0.103761,0.336347,0.0216156,0.0141413,0.691041,0.808921,0.863961,0.802564,0.788031,0.0611012
1.0,0.0485444,0.031094,0.916394,0.801878,0.0279706,0.877589,0.739164,0.943771,0.880878,0.552036,0.871353,0.74059,0.0235726,0.0318923,0.955237,0.0210048,0.532047,0.0395049,0.891064,0.629627,0.427235,0.948674,0.0821378,0.909675,0.0612317,0.0124258,0.0115907,0.724289,0.9129,0.946967,0.0189847,0.859303,0.508536,0.0404424,0.125696,0.027758,0.646491,0.760093,0.980084,0.830648,0.865117,0.881537,0.644098,0.0279706,0.021776,0.703147,0.868135,0.522582,0.952597,0.0233546,0.80666,0.895977,0.900373,0.0235737,0.083872,0.934647,0.167267,0.926439,0.0920158,0.249446,0.769374,0.0261754,0.0253476,0.363882,0.761892,0.0384242,0.841356,0.0143769,0.07978,0.0331568,0.898845,0.0237844,0.130981,0.517341,0.729696,0.852055,0.895961,0.0680544,0.855104,0.025231,0.75247,0.888452,0.0356801,0.0746865,0.0595493,0.840198,0.0566604,0.830527,0.0257416,0.0407972,0.154671,0.391238,0.0253035,0.0102031,0.7929,0.814618,0.863774,0.900578,0.827462,0.0853419
1.0,0.0809222,0.0612868,0.922654,0.664005,0.0413233,0.867525,0.800054,0.791055,0.86327,0.459534,0.858773,0.803265,0.025022,0.0346736,0.931132,0.0222875,0.597007,0.0535139,0.882871,0.505503,0.433566,0.949845,0.05576,0.906734,0.0736498,0.0282148,0.0130032,0.722306,0.905706,0.935707,0.0237403,0.821167,0.393289,0.0467201,0.0924607,0.0211378,0.388905,0.803216,0.977047,0.8382,0.777253,0.866978,0.62779,0.0319257,0.0203632,0.748332,0.80243,0.406591,0.952961,0.0230957,0.785315,0.874518,0.895379,0.0723874,0.0600794,0.930981,0.140278,0.821009,0.0645216,0.452182,0.724016,0.0329349,0.0300145,0.165933,0.644653,0.0466299,0.815289,0.010446,0.050862,0.021329,0.848238,0.0196265,0.155502,0.533377,0.759591,0.807961,0.890736,0.0848203,0.642494,0.0288787,0.708723,0.908262,0.0232025,0.0856104,0.0760723,0.837077,0.094978,0.736314,0.13684,0.0404501,0.126692,0.287915,0.0201866,0.0138015,0.698368,0.787352,0.868119,0.867024,0.776595,0.0752892
1.0,0.0670064,0.0690786,0.91822,0.616595,0.0313331,0.928678,0.488818,0.941638,0.900934,0.339785,0.905857,0.832047,0.0307571,0.0380058,0.948546,0.197941,0.501058,0.0422764,0.913162,0.302654,0.425575,0.937414,0.0699022,0.87086,0.0808554,0.040794,0.00891284,0.684393,0.866696,0.950242,0.0228117,0.848774,0.161918,0.0903417,0.0518136,0.0314589,0.215617,0.866417,0.971125,0.852679,0.842305,0.868917,0.41,0.0327537,0.0200028,0.563141,0.878972,0.39503,0.935022,0.0290281,0.849057,0.876748,0.909873,0.102787,0.0724053,0.952097,0.104874,0.74955,0.20857,0.296747,0.783326,0.0296735,0.040022,0.30776,0.392785,0.0569223,0.793784,0.0273934,0.0516413,0.0351978,0.906544,0.022935,0.206903,0.5157,0.778285,0.910805,0.911359,0.0483457,0.694957,0.0299302,0.831599,0.926253,0.0361895,0.0311011,0.0781222,0.863145,0.0966306,0.946782,0.0308238,0.0529084,0.120203,0.382597,0.0296865,0.0144419,0.824762,0.804892,0.889214,0.906011,0.830431,0.0971636
1.0,0.0684477,0.0330061,0.876589,0.727835,0.0399106,0.869826,0.794245,0.812753,0.852859,0.454107,0.830987,0.751977,0.0281057,0.0143947,0.740644,0.0365606,0.576818,0.0339553,0.880603,0.460584,0.96877,0.905665,0.035681,0.836051,0.0598275,0.0541893,0.011614,0.727031,0.890955,0.790433,0.0197155,0.814851,0.339232,0.046123,0.0656776,0.030104,0.414129,0.81681,0.978525,0.806223,0.839074,0.912773,0.480895,0.0208149,0.0251933,0.538907,0.871307,0.403745,0.948683,0.0258036,0.800447,0.904986,0.850105,0.039444,0.0665717,0.935246,0.130754,0.832232,0.177814,0.37903,0.770159,0.0231684,0.0395593,0.179756,0.529701,0.040076,0.73745,0.0167137,0.051243,0.0292884,0.906745,0.0256926,0.156316,0.558911,0.748874,0.804028,0.911511,0.0538688,0.79338,0.025543,0.754499,0.936073,0.0304705,0.044338,0.0676713,0.841905,0.308651,0.95876,0.0275886,0.0365208,0.113499,0.333165,0.0221546,0.0148556,0.791389,0.784077,0.871538,0.834727,0.815143,0.0836379
1.0,0.0567029,0.0404874,0.928568,0.664468,0.0393463,0.927147,0.551231,0.925992,0.935801,0.181088,0.949976,0.849382,0.0190408,0.0380325,0.950644,0.0199049,0.599863,0.057944,0.90876,0.0214615,0.939967,0.93695,0.107518,0.896856,0.0885589,0.0741341,0.00881741,0.713567,0.919809,0.956397,0.0148521,0.858302,-0.000280317,0.118043,0.154521,0.025478,0.218588,0.884155,0.946073,0.904322,0.867767,0.907187,0.232627,0.0597884,0.0165015,0.600447,0.891587,0.540617,0.928306,0.0155407,0.824264,0.924252,0.937101,0.127641,0.0479706,0.947327,0.11949,0.702333,0.210379,0.246148,0.802219,0.0373059,0.0256604,0.305418,0.0642759,0.0682678,0.817061,0.0402378,0.0494859,0.0236764,0.880468,0.0244694,0.15865,0.578745,0.779136,0.919731,0.943824,0.102962,0.769325,0.0319297,0.820917,0.917175,0.0494245,0.019754,0.045138,0.878404,0.0868456,0.957757,0.0507465,0.0755906,0.105387,0.413354,0.0406074,0.0112908,0.811338,0.831131,0.89184,0.916794,0.880499,0.164255
1.0,0.0618762,0.0206049,0.894744,0.856644,0.066216,0.907551,0.839849,0.928525,0.901559,0.350945,0.841595,0.823293,0.0146864,0.0420384,0.772402,0.0156824,0.705569,0.0547905,0.925398,0.487741,0.960063,0.900285,0.124115,0.858994,0.066804,0.0487681,0.00824971,0.72785,0.930586,0.751299,0.0165339,0.858058,0.234897,0.0416422,0.152875,0.0268284,0.469724,0.846982,0.986182,0.898823,0.783888,0.90611,0.637459,0.0540507,0.0152602,0.528405,0.883248,0.27468,0.931402,0.0142182,0.801252,0.896812,0.92074,0.0387353,0.0662069,0.928841,0.125026,0.859545,0.135024,0.564265,0.79061,0.0350039,0.0218574,0.248418,0.652751,0.0810508,0.813274,0.0394866,0.0509835,0.0223648,0.8772,0.0307377,0.13082,0.56734,0.74854,0.843572,0.93348,0.0625485,0.906003,0.0341911,0.776825,0.934578,0.0238693,0.0198089,0.0431008,0.886541,0.134675,0.962013,0.0389986,0.0944846,0.128905,0.450923,0.03741,0.00919771,0.832859,0.870425,0.892472,0.89424,0.847554,0.104403
1.0,0.0514136,0.031574,0.907539,0.800532,0.0296472,0.841927,0.721287,0.825081,0.859847,0.406011,0.821244,0.751848,0.0344657,0.029523,0.914614,0.0231275,0.591117,0.0382009,0.830754,0.582165,0.971226,0.965595,0.110982,0.918074,0.0578244,0.0187812,0.0162836,0.682844,0.913324,0.944548,0.0185559,0.824146,0.430995,0.0246725,0.13306,0.021213,0.44352,0.761301,0.98021,0.829758,0.821905,0.904865,0.625474,0.0281245,0.0165398,0.6755,0.880029,0.518335,0.938736,0.0291232,0.808997,0.866133,0.873169,0.0622466,0.0807325,0.913663,0.142413,0.816357,0.141021,0.377141,0.738793,0.0232268,0.0373831,0.221629,0.661406,0.0418817,0.801154,0.0082735,0.0593061,0.0207831,0.876847,0.020315,0.171685,0.549558,0.746076,0.780621,0.917139,0.0838853,0.826771,0.0228699,0.727813,0.934984,0.0338637,0.0134626,0.0502928,0.864177,0.0779342,0.957334,0.0159005,0.0260185,0.0906973,0.346395,0.0237284,0.0114979,0.821598,0.787724,0.845588,0.85916,0.814001,0.0883421
1.0,0.0470876,0.0208782,0.897251,0.823244,0.0621679,0.925057,0.815818,0.90902,0.897486,0.534512,0.828905,0.728781,0.0292253,0.0291907,0.977164,0.0182147,0.612187,0.0758966,0.917536,0.627372,0.965317,0.97753,0.055146,0.929795,0.0533815,0.0197211,0.00718617,0.761981,0.887581,0.975752,0.0190901,0.870332,0.364125,0.0267941,0.110698,0.0307079,0.551461,0.772291,0.988517,0.868169,0.739111,0.922286,0.805806,0.0310833,0.0161922,0.72191,0.912173,0.445354,0.937559,0.0191253,0.75964,0.903066,0.928866,0.0522842,0.0855126,0.943532,0.149902,0.941001,0.302014,0.357354,0.820471,0.0299408,0.0295719,0.264984,0.722583,0.044315,0.826769,0.0206761,0.031462,0.0171686,0.916311,0.02238,0.181898,0.529973,0.766426,0.831446,0.933763,0.0616925,0.812066,0.0189643,0.784404,0.926805,0.0317615,0.0190139,0.108733,0.868084,0.0890641,0.880673,0.0101512,0.0388636,0.174062,0.368355,0.018952,0.00926831,0.838512,0.893381,0.903386,0.891095,0.87016,0.0975707
1.0,0.052525,0.0196777,0.910609,0.766109,0.0274294,0.855415,0.703999,0.884287,0.877817,0.409364,0.838709,0.712836,0.0195859,0.0271973,0.926316,0.0168765,0.521396,0.0453256,0.893054,0.603586,0.95167,0.91513,0.0482786,0.886615,0.0634742,0.025316,0.0114168,0.648953,0.921807,0.942941,0.0165698,0.785956,0.368824,0.0356038,0.0570689,0.0281617,0.538811,0.765276,0.982733,0.805672,0.788784,0.941857,0.690921,0.0287473,0.0223226,0.395286,0.83096,0.502359,0.951906,0.0220922,0.728303,0.861068,0.851126,0.0399089,0.0547995,0.927767,0.104494,0.790469,0.15269,0.413568,0.742901,0.0212452,0.0265247,0.232151,0.67563,0.0344978,0.744033,0.0103101,0.062436,0.0272753,0.881947,0.018121,0.132006,0.405592,0.737594,0.796646,0.885318,0.0648548,0.810292,0.0220225,0.786497,0.871573,0.0374954,0.0176246,0.0536951,0.844046,0.0498255,0.956157,0.024286,0.0384522,0.103564,0.370229,0.0207738,0.0102539,0.750876,0.730757,0.79907,0.842856,0.81353,0.0938864
1.0,0.0486528,0.0539266,0.930113,0.703059,0.0413532,0.842899,0.800266,0.918926,0.846932,0.494021,0.777523,0.737136,0.0320072,0.0165034,0.969348,0.0208969,0.588112,0.029634,0.894787,0.581432,0.425307,0.963763,0.0561734,0.901984,0.0346429,0.0362238,0.0162114,0.714642,0.879528,0.956348,0.0169022,0.820229,0.478502,0.0380931,0.06326,0.0249677,0.465742,0.77656,0.979782,0.796856,0.782642,0.868904,0.663197,0.0144945,0.0253155,0.597592,0.837856,0.389461,0.950488,0.0211839,0.760202,0.894102,0.853383,0.0361126,0.0671467,0.929401,0.0842375,0.837473,0.0802107,0.490346,0.738474,0.0254258,0.0279634,0.169336,0.631379,0.0407823,0.787708,0.00764202,0.0343157,0.0257069,0.858133,0.021359,0.0943631,0.552665,0.789108,0.773505,0.880305,0.0496109,0.826023,0.026182,0.727459,0.918406,0.0243978,0.0180173,0.057675,0.823062,0.0663992,0.889079,0.126708,0.0289835,0.084224,0.407105,0.0295389,0.0142521,0.716495,0.747336,0.78168,0.822173,0.772925,0.0502918
