class,cg27413732,cg26864230,cg21946667,cg24046864,cg07804728,cg19212550,cg20716209,cg10150615,cg27349795,cg09545123,cg21948655,cg11693709,cg22407458,cg07676859,cg10462643,cg17492891,cg05835416,cg03068376,cg21051964,cg22641350,cg01248426,cg10678486,cg05415871,cg06804311,cg15004938,cg13590117,cg26996201,cg01338084,cg04875128,cg22867629,cg11354603,cg02825728,cg02061431,cg10334121,cg04704634,cg02379079,cg05070626,cg01517148,cg21375869,cg00656478,cg25986322,cg27627006,cg27138727,cg18764516,cg00949670,cg22052948,cg17208530,cg05419984,cg01062443,cg04500632,cg05241830,cg11691214,cg23099959,cg20488820,cg14046414,cg14862260,cg23668257,cg02255700,cg05212836,cg05634428,cg27009008,cg22209441,cg26333652,cg08957018,cg19998533,cg23843090,cg26614578,cg02463513,cg05714219,cg03760191
1.0,0.0898217,0.0506816,0.63326,0.829591,0.802142,0.826376,0.0316082,0.0391438,0.0290026,0.0433068,0.855413,0.7419,0.359907,0.418401,0.741594,0.0135691,0.702796,0.0429799,0.8773,0.927986,0.679077,0.0272319,0.929554,0.97811,0.79539,0.813142,0.081454,0.221554,0.201264,0.754148,0.499543,0.666374,0.0665054,0.72322,0.817264,0.533505,0.0630876,0.797462,0.135082,0.865587,0.765749,0.268461,0.025752,0.0266269,0.0278458,0.257691,0.781906,0.0724875,0.147728,0.886985,0.826368,0.0759056,0.874303,0.127832,0.836379,0.861039,0.0424816,0.0668665,0.0395265,0.442994,0.0111334,0.722656,0.476551,0.0181807,0.55383,0.890593,0.0257335,0.872008,0.031027,0.834049
1.0,0.0433151,0.0392374,0.640344,0.868989,0.880792,0.895316,0.0461886,0.0542177,0.0300123,0.105958,0.879631,0.770947,0.366933,0.490595,0.767902,0.045765,0.557288,0.0346997,0.872593,0.834716,0.64887,0.0429706,0.760213,0.978283,0.722293,0.930261,0.0167076,0.0290103,0.386283,0.843564,0.482752,0.758204,0.0771683,0.911858,0.805837,0.613913,0.0594023,0.782509,0.144907,0.855986,0.840809,0.478943,0.037882,0.0292081,0.0309332,0.370722,0.811971,0.0915186,0.161724,0.882984,0.837817,0.073411,0.849386,0.167016,0.828547,0.962491,0.145728,0.128342,0.036941,0.578913,0.0427761,0.736071,0.633344,0.0364705,0.479697,0.864526,0.0396805,0.830171,0.0276394,0.756144
1.0,0.0532857,0.0309581,0.578636,0.959297,0.890489,0.593908,0.0170434,0.082415,0.0243486,0.0677998,0.933391,0.849386,0.321797,0.0535312,0.914235,0.0236659,0.495706,0.0643553,0.937992,0.957571,0.696679,0.0395063,0.958989,0.982349,0.902881,0.965932,0.0114183,0.0192965,0.0482444,0.850871,0.248386,0.833936,0.0538848,0.911978,0.846909,0.704923,0.0894363,0.924134,0.250835,0.944788,0.880459,0.417468,0.0279726,0.0239101,0.0201737,0.181173,0.834631,0.0723816,0.350574,0.919301,0.912546,0.129754,0.872137,0.0711841,0.905911,0.891545,0.045057,0.0868923,0.0397149,0.703121,0.00750825,0.777565,0.270494,0.0234467,0.638739,0.926153,0.0514549,0.875284,0.0254054,0.746795
1.0,0.0574692,0.0266182,0.744909,0.87217,0.928504,0.816224,0.0734553,0.0444379,0.0260304,0.0353678,0.909624,0.749147,0.419081,0.384418,0.844987,0.0156021,0.658062,0.0272636,0.929291,0.938571,0.639902,0.0457052,0.897023,0.983335,0.753189,0.950286,0.0411036,0.0200918,0.296457,0.81679,0.64543,0.654159,0.048924,0.875065,0.837474,0.531941,0.0562639,0.777399,0.13631,0.835839,0.804282,0.342367,0.037622,0.0188803,0.0217103,0.357044,0.775112,0.0645492,0.19495,0.890394,0.859749,0.0630425,0.914137,0.152618,0.850334,0.936657,0.0409363,0.0569753,0.0288596,0.642741,0.00861912,0.728563,0.381543,0.0208136,0.5551,0.873429,0.027913,0.841565,0.0183331,0.827785
1.0,0.0708839,0.0448133,0.61134,0.88281,0.905896,0.6123,0.023073,0.0660072,0.0223737,0.0875084,0.9059,0.765074,0.198455,0.0817264,0.902291,0.0307597,0.58453,0.150576,0.922791,0.948731,0.703403,0.0430107,0.958354,0.982847,0.876917,0.949226,0.0285494,0.017089,0.0405235,0.868008,0.27228,0.833896,0.0426663,0.892854,0.82574,0.706434,0.143691,0.934721,0.231102,0.929772,0.896491,0.43956,0.036117,0.0181414,0.031403,0.163824,0.802433,0.0610361,0.324803,0.88348,0.884845,0.0458578,0.907272,0.0913049,0.921677,0.880321,0.04315,0.113279,0.0237048,0.652997,0.00759234,0.803676,0.124747,0.0338011,0.652054,0.917549,0.0439176,0.906888,0.0283947,0.680073
1.0,0.0534961,0.029503,0.77574,0.86381,0.838443,0.856484,0.0268748,0.0293319,0.0350175,0.0329985,0.855991,0.703459,0.35451,0.573629,0.77627,0.0166463,0.604349,0.0319026,0.881663,0.962699,0.662585,0.0330349,0.955009,0.977516,0.800999,0.914572,0.0275957,0.0206511,0.318482,0.78062,0.640473,0.722539,0.0774532,0.883488,0.823735,0.572672,0.0772005,0.793324,0.175252,0.870461,0.751977,0.33261,0.0452716,0.0240243,0.0244702,0.416989,0.737145,0.0593025,0.127348,0.916632,0.85084,0.0911258,0.885786,0.0966073,0.802564,0.915895,0.054772,0.0548941,0.0337044,0.49334,0.00913162,0.735136,0.560764,0.0174322,0.512233,0.869509,0.0363757,0.810543,0.0453314,0.809479
1.0,0.0485444,0.031094,0.801878,0.877589,0.916394,0.739164,0.0279706,0.0821378,0.0235726,0.0612317,0.880878,0.74059,0.552036,0.629627,0.871353,0.0318923,0.532047,0.0404424,0.943771,0.946967,0.724289,0.0395049,0.955237,0.980084,0.760093,0.948674,0.0124258,0.0210048,0.508536,0.80666,0.644098,0.865117,0.125696,0.909675,0.859303,0.602142,0.0235737,0.852055,0.363882,0.900373,0.830648,0.522582,0.0384242,0.0233546,0.0261754,0.646491,0.841356,0.083872,0.112234,0.891064,0.868135,0.0595493,0.9129,0.167267,0.900578,0.881537,0.07978,0.0680544,0.0253476,0.703147,0.0115907,0.769374,0.761892,0.0279706,0.517341,0.895977,0.0407972,0.883829,0.027758,0.926439
1.0,0.0809222,0.0612868,0.664005,0.867525,0.922654,0.800054,0.0413233,0.05576,0.025022,0.0736498,0.86327,0.803265,0.459534,0.505503,0.858773,0.0346736,0.597007,0.0467201,0.791055,0.935707,0.722306,0.0535139,0.931132,0.977047,0.803216,0.949845,0.0282148,0.0222875,0.393289,0.785315,0.62779,0.777253,0.0924607,0.906734,0.821167,0.587903,0.0723874,0.807961,0.165933,0.895379,0.8382,0.406591,0.0466299,0.0230957,0.0329349,0.388905,0.815289,0.0600794,0.124641,0.882871,0.80243,0.0760723,0.905706,0.140278,0.867024,0.866978,0.050862,0.0848203,0.0300145,0.748332,0.0130032,0.724016,0.644653,0.0319257,0.533377,0.874518,0.0404501,0.813325,0.0211378,0.821009
1.0,0.0670064,0.0690786,0.616595,0.928678,0.91822,0.488818,0.0313331,0.0699022,0.0307571,0.0808554,0.900934,0.832047,0.339785,0.302654,0.905857,0.0380058,0.501058,0.0903417,0.941638,0.950242,0.684393,0.0422764,0.948546,0.971125,0.866417,0.937414,0.040794,0.197941,0.161918,0.849057,0.41,0.842305,0.0518136,0.87086,0.848774,0.660283,0.102787,0.910805,0.30776,0.909873,0.852679,0.39503,0.0569223,0.0290281,0.0296735,0.215617,0.793784,0.0724053,0.320933,0.913162,0.878972,0.0781222,0.866696,0.104874,0.906011,0.868917,0.0516413,0.0483457,0.040022,0.563141,0.00891284,0.783326,0.392785,0.0327537,0.5157,0.876748,0.0529084,0.865691,0.0314589,0.74955
1.0,0.0684477,0.0330061,0.727835,0.869826,0.876589,0.794245,0.0399106,0.035681,0.0281057,0.0598275,0.852859,0.751977,0.454107,0.460584,0.830987,0.0143947,0.576818,0.046123,0.812753,0.790433,0.727031,0.0339553,0.740644,0.978525,0.81681,0.905665,0.0541893,0.0365606,0.339232,0.800447,0.480895,0.839074,0.0656776,0.836051,0.814851,0.625337,0.039444,0.804028,0.179756,0.850105,0.806223,0.403745,0.040076,0.0258036,0.0231684,0.414129,0.73745,0.0665717,0.19289,0.880603,0.871307,0.0676713,0.890955,0.130754,0.834727,0.912773,0.051243,0.0538688,0.0395593,0.538907,0.011614,0.770159,0.529701,0.0208149,0.558911,0.904986,0.0365208,0.860377,0.030104,0.832232
