FeatureIdx,FeatureName,Importance_Score,T1RF,T1RS,T2RF,T2RS,T3RF,T3RS,T4RF,T4RS,T5RF,T5RS
394475,cg27413732,1.0,270934,0.46316951513290405,129601,0.45492100715637207,84860,0.44781410694122314,315592,0.4454754590988159,196388,0.44337213039398193
397383,cg27627006,0.7289330363273621,153555,0.6843597888946533,44955,0.647994875907898,128871,0.6389238834381104,303643,0.6269226670265198,133987,0.6226553916931152
51639,cg03068376,0.6620267033576965,37595,0.5964224934577942,92393,0.5950176119804382,272519,0.5917516946792603,257505,0.5902607440948486,10546,0.5864952206611633
159651,cg10150615,0.5852085947990417,199796,0.729378342628479,93631,0.7173284292221069,180574,0.7139530777931213,34676,0.7128115892410278,344465,0.7036144733428955
150987,cg09545123,0.5185059905052185,82312,0.5619627237319946,176658,0.5582783222198486,267298,0.5532490611076355,210761,0.5460931658744812,364443,0.5424456596374512
16563,cg00949670,0.4065840244293213,60715,0.49756133556365967,244749,0.4946940839290619,264055,0.48890337347984314,174869,0.4836379587650299,203994,0.4798082709312439
230227,cg15004938,0.3990275263786316,23052,0.4803917706012726,235833,0.4629572629928589,75879,0.46292057633399963,276632,0.460114449262619,248580,0.4580400586128235
128871,cg08042322,0.3986647129058838,153555,0.8432273864746094,117987,0.7971786856651306,28327,0.79044109582901,48193,0.7869262099266052,266408,0.7849954962730408
76857,cg04656009,0.38889384269714355,388738,0.5627219080924988,255108,0.46357864141464233,803,0.4556640684604645,197690,0.4462434947490692,276593,0.4359353482723236
349040,cg24061542,0.3781597316265106,201472,0.40038418769836426,378196,0.39881449937820435,87238,0.3888545334339142,105140,0.3875434696674347,219334,0.3868028521537781
388680,cg26996201,0.3777475357055664,316536,0.5112285017967224,394942,0.5054576992988586,96174,0.5053845643997192,205898,0.49650105834007263,264188,0.48649755120277405
11603,cg00656478,0.37121638655662537,183314,0.44241011142730713,101383,0.43978697061538696,45584,0.43896257877349854,343243,0.4372433125972748,214718,0.4331726133823395
10501,cg00589181,0.3686545789241791,265130,0.49332118034362793,236499,0.4853062331676483,264828,0.4795963764190674,276632,0.4774106740951538,135243,0.477163165807724
286473,cg19212550,0.29371973872184753,107602,0.4751085340976715,134768,0.474534273147583,51450,0.46924835443496704,182536,0.46853333711624146,214157,0.46505796909332275
